,ID,SEQUENCE,POS,PROJECT,FILE
403,501,create,VB,hadoop,HarFileSystem.java
404,502,create non recursive,VB RB JJ,hadoop,HarFileSystem.java
405,503,append,VB,hadoop,HarFileSystem.java
406,505,set replication,VB NN,hadoop,HarFileSystem.java
407,506,rename,VB,hadoop,HarFileSystem.java
408,508,delete,VB,hadoop,HarFileSystem.java
409,509,list status,VB NN,hadoop,HarFileSystem.java
410,510,get home directory,VB NN NN,hadoop,HarFileSystem.java
411,511,set working directory,VB JJ NN,hadoop,HarFileSystem.java
412,512,mkdirs,NNP,hadoop,HarFileSystem.java
413,513,copy from local file,VB IN JJ NN,hadoop,HarFileSystem.java
414,515,copy to local file,VB TO JJ NN,hadoop,HarFileSystem.java
415,516,start local output,VB JJ NN,hadoop,HarFileSystem.java
416,517,complete local output,VB JJ NN,hadoop,HarFileSystem.java
417,518,set owner,VB NN,hadoop,HarFileSystem.java
418,519,set times,VB NNS,hadoop,HarFileSystem.java
419,520,set permission,VB NN,hadoop,HarFileSystem.java
420,521,available,JJ,hadoop,HarFileSystem.java
421,523,mark,VB,hadoop,HarFileSystem.java
422,524,reset,VB,hadoop,HarFileSystem.java
423,528,skip,VB,hadoop,HarFileSystem.java
424,529,get pos,VB NN,hadoop,HarFileSystem.java
425,530,seek,VB,hadoop,HarFileSystem.java
426,531,validate position,VB NN,hadoop,HarFileSystem.java
427,532,seek to new source,VB TO JJ NN,hadoop,HarFileSystem.java
428,534,read fully,VB RB,hadoop,HarFileSystem.java
429,536,set readahead,VB NN,hadoop,HarFileSystem.java
430,537,set drop behind,VB NN IN,hadoop,HarFileSystem.java
431,538,get part file status,VB JJ NN NN,hadoop,HarFileSystem.java
432,539,get master index timestamp,VB JJ NN NN,hadoop,HarFileSystem.java
433,540,get archive index timestamp,VB NN NN NN,hadoop,HarFileSystem.java
434,541,get version,VB NN,hadoop,HarFileSystem.java
435,542,parse meta data,VB NN NNS,hadoop,HarFileSystem.java
436,543,get metadata,VB NNS,hadoop,HarFileSystem.java
437,544,remove eldest entry,VB JJS NN,hadoop,HarFileSystem.java
438,545,get server defaults,VB NN NNS,hadoop,HarFileSystem.java
439,547,get used,VB VBN,hadoop,HarFileSystem.java
440,548,get default block size,VB JJ NN NN,hadoop,HarFileSystem.java
441,550,get default replication,VB JJ NN,hadoop,HarFileSystem.java
442,552,get test string,VB JJ NN,hadoop,TestUTF8.java
443,553,test writable,VB JJ,hadoop,TestUTF8.java
444,554,test get bytes,VB VB NNS,hadoop,TestUTF8.java
445,555,test i o,VB NN NN,hadoop,TestUTF8.java
446,556,test null encoding,VB JJ VBG,hadoop,TestUTF8.java
447,557,test non basic multilingual plane,VB RB JJ JJ NN,hadoop,TestUTF8.java
448,558,test invalid utf8,VB JJ NNP,hadoop,TestUTF8.java
449,559,test 5 byte utf8 sequence,VB CD NN NNP NN,hadoop,TestUTF8.java
450,560,test invalid utf8 truncated,VB JJ NNP JJ,hadoop,TestUTF8.java
451,562,set progressable,VB JJ,hadoop,BasicTypeSorterBase.java
452,563,add key value,VB NN NN,hadoop,BasicTypeSorterBase.java
453,564,set input buffer,VB NN NN,hadoop,BasicTypeSorterBase.java
454,565,get memory utilized,VB NN JJ,hadoop,BasicTypeSorterBase.java
455,566,sort,VB,hadoop,BasicTypeSorterBase.java
456,568,grow,VB,hadoop,BasicTypeSorterBase.java
457,570,get progress,VB NN,hadoop,BasicTypeSorterBase.java
458,571,get key,VB NN,hadoop,BasicTypeSorterBase.java
459,572,get value,VB NN,hadoop,BasicTypeSorterBase.java
460,573,next,JJ,hadoop,BasicTypeSorterBase.java
461,577,write uncompressed bytes,VB JJ NNS,hadoop,BasicTypeSorterBase.java
462,578,write compressed bytes,NN JJ NNS,hadoop,BasicTypeSorterBase.java
463,579,get exec string,VB NN NN,hadoop,TestShell.java
464,580,parse exec result,VB NN NN,hadoop,TestShell.java
465,581,get run count,VB NN NN,hadoop,TestShell.java
466,582,test interval,VB NN,hadoop,TestShell.java
467,583,assert in string,VB IN NN,hadoop,TestShell.java
468,584,test shell command executor to string,VB NN NN NN TO NN,hadoop,TestShell.java
469,585,test shell command timeout,VB NN NN NN,hadoop,TestShell.java
470,586,count timer threads,VB NN NNS,hadoop,TestShell.java
471,587,test shell command timer leak,VB NN NN NN NN,hadoop,TestShell.java
472,589,test logalyzer,VB NN,hadoop,TestLogalyzer.java
473,590,check result,VB NN,hadoop,TestLogalyzer.java
474,591,create log file,VB NN NN,hadoop,TestLogalyzer.java
475,593,get application id,VB NN NN,hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
476,594,set application id,VB NN NN,hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
477,595,get target queue,VB NN NN,hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
478,596,set target queue,VB NN NN,hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
479,598,merge local to proto,VB JJ TO NN,hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
480,605,update process tree,VB NN NN,hadoop,TestResourceCalculatorProcessTree.java
481,606,get process tree dump,VB NN NN NN,hadoop,TestResourceCalculatorProcessTree.java
482,607,get cumulative rssmem,VB JJ NNP,hadoop,TestResourceCalculatorProcessTree.java
483,608,get cumulative vmem,VB JJ NN,hadoop,TestResourceCalculatorProcessTree.java
484,609,get cumulative cpu time,VB JJ NNP NN,hadoop,TestResourceCalculatorProcessTree.java
485,610,check pid pgrpid for match,VB NNP NNP IN NN,hadoop,TestResourceCalculatorProcessTree.java
486,611,test create instance,VB VB NN,hadoop,TestResourceCalculatorProcessTree.java
487,612,test created instance configured,VB VBN NN VBD,hadoop,TestResourceCalculatorProcessTree.java
488,613,constructor fail params,NN NN NNS,hadoop,TestServerConstructor.java
489,614,constructor fail,NN NN,hadoop,TestServerConstructor.java
490,615,write v int,VB FW NN,hadoop,Utils.java
491,616,write v long,VB FW NN,hadoop,Utils.java
492,617,read v int,VB FW NN,hadoop,Utils.java
493,618,read v long,VB FW NN,hadoop,Utils.java
494,619,write string,VB NN,hadoop,Utils.java
495,620,read string,VB NN,hadoop,Utils.java
496,621,write,VB,hadoop,Utils.java
497,622,get major,VB NN,hadoop,Utils.java
498,623,get minor,VB NN,hadoop,Utils.java
499,624,size,NN,hadoop,Utils.java
500,626,compatible with,JJ IN,hadoop,Utils.java
501,627,compare to,VB TO,hadoop,Utils.java
502,630,lower bound,JJR NN,hadoop,Utils.java
503,631,upper bound,JJR NN,hadoop,Utils.java
504,634,test cluster admins,VB NN NNS,hadoop,TestJobAclsManager.java
505,635,test cluster no admins,VB NN DT NNS,hadoop,TestJobAclsManager.java
506,636,test acls off,VB NNPS IN,hadoop,TestJobAclsManager.java
507,637,test groups,VB NNS,hadoop,TestJobAclsManager.java
508,638,setup,NN,hadoop,TestEncryptionZones.java
509,639,teardown,NN,hadoop,TestEncryptionZones.java
510,640,assert num zones,VB NN NNS,hadoop,TestEncryptionZones.java
511,641,assert zone present,VB NN JJ,hadoop,TestEncryptionZones.java
512,642,test basic operations,VB JJ NNS,hadoop,TestEncryptionZones.java
513,644,test list encryption zones as non super user,VB NN NN NNS IN RB JJ NN,hadoop,TestEncryptionZones.java
514,646,test get e z as non super user,VB VB FW FW IN RB JJ NN,hadoop,TestEncryptionZones.java
515,648,do rename encryption zone,VB VB NN NN,hadoop,TestEncryptionZones.java
516,649,test rename file system,VB VB NN NN,hadoop,TestEncryptionZones.java
517,650,test rename file context,VB VB NN NN,hadoop,TestEncryptionZones.java
518,651,get file encryption info,VB NN NN NN,hadoop,TestEncryptionZones.java
519,652,test read write,VB VB VB,hadoop,TestEncryptionZones.java
520,653,test cipher suite negotiation,VB NN NN NN,hadoop,TestEncryptionZones.java
521,654,test create e z with no provider,VB VB FW FW IN DT NN,hadoop,TestEncryptionZones.java
522,655,start file after generate key,VB NN IN VB NN,hadoop,TestEncryptionZones.java
523,656,call,VB,hadoop,TestEncryptionZones.java
524,658,do fault,VB NN,hadoop,TestEncryptionZones.java
525,659,do cleanup,VB NN,hadoop,TestEncryptionZones.java
526,660,test start file retry,VB NN NN NN,hadoop,TestEncryptionZones.java
527,668,raw next job,JJ JJ NN,hadoop,DeskewedJobTraceReader.java
528,669,next job,JJ NN,hadoop,DeskewedJobTraceReader.java
529,670,fill skew buffer,VB JJ NN,hadoop,DeskewedJobTraceReader.java
530,671,needed skew buffer size,VBN JJ NN NN,hadoop,DeskewedJobTraceReader.java
531,673,wait for verification,VB IN NN,hadoop,TestDatanodeBlockScanner.java
532,674,test datanode block scanner,VB NN NN NN,hadoop,TestDatanodeBlockScanner.java
533,675,corrupt replica,JJ NN,hadoop,TestDatanodeBlockScanner.java
534,676,test block corruption policy,VB NN NN NN,hadoop,TestDatanodeBlockScanner.java
535,677,test block corruption recovery policy 1,VB NN NN NN NN CD,hadoop,TestDatanodeBlockScanner.java
536,678,test block corruption recovery policy 2,VB NN NN NN NN CD,hadoop,TestDatanodeBlockScanner.java
537,679,block corruption recovery policy,NN NN NN NN,hadoop,TestDatanodeBlockScanner.java
538,680,test truncated block report,VB JJ NN NN,hadoop,TestDatanodeBlockScanner.java
539,681,change replica length,VB NN NN,hadoop,TestDatanodeBlockScanner.java
540,682,wait for block deleted,VB IN NN VBN,hadoop,TestDatanodeBlockScanner.java
541,683,test replica info parsing,VB NN NN VBG,hadoop,TestDatanodeBlockScanner.java
542,684,test replica info parsing single,VB NN NN VBG JJ,hadoop,TestDatanodeBlockScanner.java
543,685,test duplicate scans,VB NN NNS,hadoop,TestDatanodeBlockScanner.java
544,687,to enum set,TO NN NN,hadoop,EnumSetParam.java
545,689,get value string,VB NN NN,hadoop,EnumSetParam.java
546,692,test dir no annotation,VB NN DT NN,hadoop,TestHFSTestCase.java
547,693,test jetty no annotation,VB NN DT NN,hadoop,TestHFSTestCase.java
548,694,test jetty no annotation 2,VB NN DT NN CD,hadoop,TestHFSTestCase.java
549,695,test hdfs no annotation,VB NNP DT NN,hadoop,TestHFSTestCase.java
550,696,test hdfs no annotation 2,VB NNP DT NN CD,hadoop,TestHFSTestCase.java
551,697,test dir annotation,VB NN NN,hadoop,TestHFSTestCase.java
552,698,wait for,VB IN,hadoop,TestHFSTestCase.java
553,699,evaluate,VB,hadoop,TestHFSTestCase.java
554,700,wait for time out ratio 1,VB IN NN IN NN CD,hadoop,TestHFSTestCase.java
555,702,wait for time out ratio 2,VB IN NN IN NN CD,hadoop,TestHFSTestCase.java
556,704,sleep ratio 1,VB NN CD,hadoop,TestHFSTestCase.java
557,705,sleep ratio 2,VB NN CD,hadoop,TestHFSTestCase.java
558,706,test hadoop file system,VB NN NN NN,hadoop,TestHFSTestCase.java
559,707,do get,VB VB,hadoop,TestHFSTestCase.java
560,708,test jetty,VB NN,hadoop,TestHFSTestCase.java
561,709,test exception 0,VB NN CD,hadoop,TestHFSTestCase.java
562,710,test exception 1,VB NN CD,hadoop,TestHFSTestCase.java
563,711,validate options,VB NNS,hadoop,RPCCallBenchmark.java
564,712,build options,VB NNS,hadoop,RPCCallBenchmark.java
565,713,process options,VB NNS,hadoop,RPCCallBenchmark.java
566,716,start server,VB NN,hadoop,RPCCallBenchmark.java
567,717,get total cpu time,VB JJ NNP NN,hadoop,RPCCallBenchmark.java
568,719,setup client test context,NN NN NN NN,hadoop,RPCCallBenchmark.java
569,721,do an action,VB DT NN,hadoop,RPCCallBenchmark.java
570,722,do echo,VB NN,hadoop,RPCCallBenchmark.java
571,723,create rpc client,VB NN NN,hadoop,RPCCallBenchmark.java
572,730,set name node logging level,VB NN NN VBG NN,hadoop,NNThroughputBenchmark.java
573,731,get op name,VB NN NN,hadoop,NNThroughputBenchmark.java
574,732,parse arguments,VB NNS,hadoop,NNThroughputBenchmark.java
575,733,generate inputs,VB NNS,hadoop,NNThroughputBenchmark.java
576,734,get execution argument,VB NN NN,hadoop,NNThroughputBenchmark.java
577,735,execute op,VB NN,hadoop,NNThroughputBenchmark.java
578,736,print results,VB NNS,hadoop,NNThroughputBenchmark.java
579,737,benchmark,NN,hadoop,NNThroughputBenchmark.java
580,738,is in porgress,VBZ IN NN,hadoop,NNThroughputBenchmark.java
581,739,clean up,VB RP,hadoop,NNThroughputBenchmark.java
582,740,get num ops executed,VB NN NNS VBD,hadoop,NNThroughputBenchmark.java
583,741,get cumulative time,VB JJ NN,hadoop,NNThroughputBenchmark.java
584,742,get elapsed time,VB JJ NN,hadoop,NNThroughputBenchmark.java
585,743,get average time,VB JJ NN,hadoop,NNThroughputBenchmark.java
586,744,get ops per second,VB NNS IN NN,hadoop,NNThroughputBenchmark.java
587,745,get base dir,VB NN NN,hadoop,NNThroughputBenchmark.java
588,746,get client name,VB NN NN,hadoop,NNThroughputBenchmark.java
589,747,increment stats,NN NNS,hadoop,NNThroughputBenchmark.java
590,748,verify op argument,VB NN NN,hadoop,NNThroughputBenchmark.java
591,749,print stats,VB NNS,hadoop,NNThroughputBenchmark.java
592,752,benchmark one,NN CD,hadoop,NNThroughputBenchmark.java
593,753,is in progress,VBZ IN NN,hadoop,NNThroughputBenchmark.java
594,754,terminate,VB,hadoop,NNThroughputBenchmark.java
595,764,dummy action no synch,JJ NN DT NN,hadoop,NNThroughputBenchmark.java
596,785,get node port,VB NN NN,hadoop,NNThroughputBenchmark.java
597,787,get xfer addr,VB NN NN,hadoop,NNThroughputBenchmark.java
598,788,register,NN,hadoop,NNThroughputBenchmark.java
599,790,add block,VB NN,hadoop,NNThroughputBenchmark.java
600,791,form block report,VB NN NN,hadoop,NNThroughputBenchmark.java
601,792,get block report list,VB NN NN NN,hadoop,NNThroughputBenchmark.java
602,794,replicate blocks,VB NNS,hadoop,NNThroughputBenchmark.java
603,795,transfer blocks,VB NNS,hadoop,NNThroughputBenchmark.java
604,796,get num datanodes,VB NN NNS,hadoop,NNThroughputBenchmark.java
605,800,add blocks,VB NNS,hadoop,NNThroughputBenchmark.java
606,807,decommission nodes,NN NNS,hadoop,NNThroughputBenchmark.java
607,811,get blocks per second,VB NNS IN NN,hadoop,NNThroughputBenchmark.java
608,813,run benchmark,VB NN,hadoop,NNThroughputBenchmark.java
609,820,get expected owner,VB JJ NN,hadoop,TestBlobMetadata.java
610,821,get expected permission string,VB JJ NN NN,hadoop,TestBlobMetadata.java
611,822,test container version metadata,VB NN NN NNS,hadoop,TestBlobMetadata.java
612,823,get fs,VB NN,hadoop,TestBlobMetadata.java
613,824,get container metadata,VB NN NNS,hadoop,TestBlobMetadata.java
614,828,test pre existing container version metadata,VB IN JJ NN NN NNS,hadoop,TestBlobMetadata.java
615,829,test first container version metadata,VB DT NN NN NNS,hadoop,TestBlobMetadata.java
616,830,test permission metadata,VB NN NNS,hadoop,TestBlobMetadata.java
617,831,test old permission metadata,VB JJ NN NNS,hadoop,TestBlobMetadata.java
618,832,test folder metadata,VB NN NNS,hadoop,TestBlobMetadata.java
619,833,check block location,VB NN NN,hadoop,TestBlockLocation.java
620,836,test block location constructors,VB NN NN NNS,hadoop,TestBlockLocation.java
621,837,test block location setters,VB NN NN NNS,hadoop,TestBlockLocation.java
622,838,get,VB,hadoop,ObjectWritable.java
623,839,get declared class,VB JJ NN,hadoop,ObjectWritable.java
624,842,read fields,VB NNS,hadoop,ObjectWritable.java
625,846,write object,VB NN,hadoop,ObjectWritable.java
626,848,read object,VB NN,hadoop,ObjectWritable.java
627,850,try instantiate protobuf,VB NN NN,hadoop,ObjectWritable.java
628,851,get static protobuf method,VB JJ NN NN,hadoop,ObjectWritable.java
629,852,load class,VB NN,hadoop,ObjectWritable.java
630,857,map,VB,hadoop,ExternalMapReduce.java
631,858,reduce,VB,hadoop,ExternalMapReduce.java
632,861,test default offsets,VB JJ NNS,hadoop,TestBinaryPartitioner.java
633,862,test custom offsets,VB JJ NNS,hadoop,TestBinaryPartitioner.java
634,863,test lower bound,VB JJR NN,hadoop,TestBinaryPartitioner.java
635,864,test upper bound,VB NN NN,hadoop,TestBinaryPartitioner.java
636,866,flush,VB,hadoop,EventWriter.java
637,868,to avro,TO NNP,hadoop,EventWriter.java
638,870,test fs,VB NN,hadoop,TestFileSystem.java
639,872,test command format,VB NN NN,hadoop,TestFileSystem.java
640,873,create control file,VB NN NN,hadoop,TestFileSystem.java
641,877,write test,VB NN,hadoop,TestFileSystem.java
642,881,read test,VB NN,hadoop,TestFileSystem.java
643,885,seek test,VB NN,hadoop,TestFileSystem.java
644,887,test fs cache,VB NNP NN,hadoop,TestFileSystem.java
645,889,run test cache,VB NN NN,hadoop,TestFileSystem.java
646,891,test fs close,VB NN NN,hadoop,TestFileSystem.java
647,892,test fs shutdown hook,VB NN NN NN,hadoop,TestFileSystem.java
648,893,test cache keys are case insensitive,VB NN NNS VBP NN JJ,hadoop,TestFileSystem.java
649,894,test fs uniqueness,VB NN NN,hadoop,TestFileSystem.java
650,895,set closed set,VB JJ NN,hadoop,TestFileSystem.java
651,903,has next,VBZ NN,hadoop,BackupStore.java
652,905,next value,JJ NN,hadoop,BackupStore.java
653,906,next key,JJ NN,hadoop,BackupStore.java
654,907,reinitialize,VB,hadoop,BackupStore.java
655,908,exit reset mode,VB NN NN,hadoop,BackupStore.java
656,909,get output stream,VB NN NN,hadoop,BackupStore.java
657,910,update counters,VB NNS,hadoop,BackupStore.java
658,911,clear mark,VB NN,hadoop,BackupStore.java
659,912,clear segment list,VB NN NN,hadoop,BackupStore.java
660,913,unreserve,NN,hadoop,BackupStore.java
661,915,create new memory block,VB JJ NN NN,hadoop,BackupStore.java
662,916,reserve space,VB NN,hadoop,BackupStore.java
663,919,create in memory segment,VB IN NN NN,hadoop,BackupStore.java
664,922,activate,VB,hadoop,BackupStore.java
665,923,create in disk segment,VB IN NN NN,hadoop,BackupStore.java
666,924,is active,VBZ JJ,hadoop,BackupStore.java
667,925,create spill file,VB NN NN,hadoop,BackupStore.java
668,926,reserve,VB,hadoop,BackupStore.java
669,932,test compressor pool counts,VB NN NN NNS,hadoop,TestCodecPool.java
670,933,test decompressor pool counts,VB NN NN NNS,hadoop,TestCodecPool.java
671,934,pre head,IN VBP,hadoop,ContainerLogsPage.java
672,935,content,NN,hadoop,ContainerLogsPage.java
673,936,render,VB,hadoop,ContainerLogsPage.java
674,937,print log file,VB NN NN,hadoop,ContainerLogsPage.java
675,938,print log file directory,VB NN NN NN,hadoop,ContainerLogsPage.java
676,939,cluster setup at begining,VB NN IN VBG,hadoop,TestViewFsFileStatusHdfs.java
677,940,test file status serialziation,VB NN NN NN,hadoop,TestViewFsFileStatusHdfs.java
678,941,test get file checksum,VB VB NN NN,hadoop,TestViewFsFileStatusHdfs.java
679,942,cleanup,NN,hadoop,TestViewFsFileStatusHdfs.java
680,948,get input stream,VB NN NN,hadoop,TestCryptoStreams.java
681,954,hflush,NNP,hadoop,TestCryptoStreams.java
682,955,hsync,NNP,hadoop,TestCryptoStreams.java
683,956,check stream,VB NN,hadoop,TestCryptoStreams.java
684,969,release buffer,VB NN,hadoop,TestCryptoStreams.java
685,972,get file descriptor,VB NN NN,hadoop,TestCryptoStreams.java
686,976,choose local storage,VB JJ NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
687,977,second node,CD NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
688,978,choose local rack,VB JJ NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
689,979,choose remote rack,VB JJ NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
690,980,choose local node group,VB JJ NN NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
691,981,get rack,VB NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
692,982,add to excluded nodes,VB TO JJ NNS,hadoop,BlockPlacementPolicyWithNodeGroup.java
693,983,add dependent nodes to excluded nodes,VB JJ NNS TO JJ NNS,hadoop,BlockPlacementPolicyWithNodeGroup.java
694,984,pickup replica set,NN NN NN,hadoop,BlockPlacementPolicyWithNodeGroup.java
695,985,accept,VB,hadoop,TestCheckpoint.java
696,987,check for s n n threads,VB IN FW FW FW NNS,hadoop,TestCheckpoint.java
697,988,check file,VB NN,hadoop,TestCheckpoint.java
698,989,cleanup file,NN NN,hadoop,TestCheckpoint.java
699,990,test name dir error,VB NN NN NN,hadoop,TestCheckpoint.java
700,991,test write transaction id handles i o e,VB VB NN NN VBZ NN NN FW,hadoop,TestCheckpoint.java
701,992,test reload on edit replay failure,VB VB IN NN NN NN,hadoop,TestCheckpoint.java
702,993,test too many edit replay failures,VB RB JJ VBP NN NNS,hadoop,TestCheckpoint.java
703,994,test secondary namenode error 1,VB JJ NN NN CD,hadoop,TestCheckpoint.java
704,995,test secondary namenode error 2,VB JJ NN NN CD,hadoop,TestCheckpoint.java
705,996,test secondary namenode error 3,VB JJ NN NN CD,hadoop,TestCheckpoint.java
706,997,test secondary fails with error before setting headers,VB JJ NNS IN NN IN VBG NNS,hadoop,TestCheckpoint.java
707,998,do secondary fails to return image,VB JJ NNS TO VB NN,hadoop,TestCheckpoint.java
708,999,file path containing,NN NN VBG,hadoop,TestCheckpoint.java
709,1001,is time unit,VBZ NN NN,jdk,Result.java
710,1002,is work unit,VBZ NN NN,jdk,Result.java
711,1003,parse rate opt,VB NN NN,jdk,Result.java
712,1004,parse unit,VB NN,jdk,Result.java
713,1005,set reps,VB NNS,jdk,Result.java
714,1006,set units,VB NNS,jdk,Result.java
715,1007,set unit name,VB NN NN,jdk,Result.java
716,1008,add time,VB NN,jdk,Result.java
717,1009,set error,VB NN,jdk,Result.java
718,1010,set modifiers,VB NNS,jdk,Result.java
719,1012,get reps per run,VB NNS IN NN,jdk,Result.java
720,1013,get units per rep,VB NNS IN NN,jdk,Result.java
721,1014,get units per run,VB NNS IN NN,jdk,Result.java
722,1015,get modifiers,VB NNS,jdk,Result.java
723,1016,get num runs,VB NN NNS,jdk,Result.java
724,1017,get time,VB NN,jdk,Result.java
725,1018,get reps per second,VB NNS IN NN,jdk,Result.java
726,1019,get units per second,VB NNS IN NN,jdk,Result.java
727,1020,get total reps,VB JJ NNS,jdk,Result.java
728,1021,get total units,VB JJ NNS,jdk,Result.java
729,1022,get total time,VB JJ NN,jdk,Result.java
730,1023,get average reps per second,VB JJ NNS IN NN,jdk,Result.java
731,1024,get average units per second,VB JJ NNS IN NN,jdk,Result.java
732,1025,get average string,VB JJ NN,jdk,Result.java
733,1026,summarize,VB,jdk,Result.java
734,1031,visit,VB,jdk,J2DBench.java
735,1033,load options,VB NNS,jdk,J2DBench.java
736,1036,save options,VB NNS,jdk,J2DBench.java
737,1039,get file chooser,VB NN NN,jdk,J2DBench.java
738,1040,save or discard last results,VB CC VB JJ NNS,jdk,J2DBench.java
739,1041,input user str,VB NN NN,jdk,J2DBench.java
740,1042,save results,VB NNS,jdk,J2DBench.java
741,1047,start gui,VB NNP,jdk,J2DBench.java
742,1048,get preferred size,VB JJ NN,jdk,J2DBench.java
743,1049,action performed,NN VBN,jdk,J2DBench.java
744,1055,run tests,VB NNS,jdk,J2DBench.java
745,1056,window closing,NN VBG,jdk,J2DBench.java
746,1057,set title,VB NN,jdk,ResultSet.java
747,1058,set description,VB NN,jdk,ResultSet.java
748,1059,record,VB,jdk,ResultSet.java
749,1062,make alpha color,VB NN NN,jdk,GraphicsTests.java
750,1064,init test,VB NN,jdk,GraphicsTests.java
751,1065,pixels touched,NNS VBN,jdk,GraphicsTests.java
752,1066,create context,VB NN,jdk,GraphicsTests.java
753,1067,get output size,VB NN NN,jdk,GraphicsTests.java
754,1068,init context,VB NN,jdk,GraphicsTests.java
755,1069,cleanup test,VB NN,jdk,GraphicsTests.java
756,1070,get short name,VB JJ NN,jdk,GraphicsTests.java
757,1071,get description,VB NN,jdk,GraphicsTests.java
758,1073,scale for point,VB IN VB,jdk,GraphicsTests.java
759,1074,scale for transform,VB IN VB,jdk,GraphicsTests.java
760,1095,init contents,VB NNS,jdk,InputStreamTests.java
761,1099,run test,VB NN,jdk,InputStreamTests.java
762,1129,init iio write formats,VB NNP VBP NNS,jdk,OutputImageTests.java
763,1134,is compatible,VBZ JJ,jdk,OutputImageTests.java
764,1139,image started,NN VBD,jdk,OutputImageTests.java
765,1140,image progress,NN VB,jdk,OutputImageTests.java
766,1141,image complete,NN VB,jdk,OutputImageTests.java
767,1142,thumbnail started,NN VBD,jdk,OutputImageTests.java
768,1143,thumbnail progress,NN VB,jdk,OutputImageTests.java
769,1144,thumbnail complete,NN VB,jdk,OutputImageTests.java
770,1145,write aborted,VB VBN,jdk,OutputImageTests.java
771,1147,init iio read formats,VB NNP VBP NNS,jdk,InputImageTests.java
772,1162,sequence started,NN VBD,jdk,InputImageTests.java
773,1163,sequence complete,NN VB,jdk,InputImageTests.java
774,1170,read aborted,NN VBN,jdk,InputImageTests.java
775,1173,get abbreviated modifier description,VB JJ NN NN,jdk,OutputTests.java
776,1174,get modifier value name,VB NN NN NN,jdk,OutputTests.java
777,1175,init output,VB NN,jdk,OutputTests.java
778,1176,create image output stream,VB NN NN NN,jdk,OutputTests.java
779,1177,close original stream,VB JJ NN,jdk,OutputTests.java
780,1203,create buffered image,VB JJ NN,jdk,IIOTests.java
781,1208,init input,VB NN,jdk,InputTests.java
782,1211,create image input stream,VB NN NN NN,jdk,InputTests.java
783,1216,get unit name,VB NN NN,jdk,PixelTests.java
784,1219,get image,VB NN,jdk,PixelTests.java
785,1234,get j component,VB FW NN,jdk,RenderTests.java
786,1235,restore default,VB NN,jdk,RenderTests.java
787,1237,set option,VB NN,jdk,RenderTests.java
788,1240,make gradient colors,VB NN NNS,jdk,RenderTests.java
789,1241,make linear,VB NN,jdk,RenderTests.java
790,1242,make radial,VB NN,jdk,RenderTests.java
791,1243,make texture paint,VB NN NN,jdk,RenderTests.java
792,1288,float object list,NN NN NN,jdk,TextTests.java
793,1289,float string list,NN NN NN,jdk,TextTests.java
794,1292,int string list,NN NN NN,jdk,TextTests.java
795,1295,get string,VB NN,jdk,TextTests.java
796,1296,get simple string,VB JJ NN,jdk,TextTests.java
797,1310,physical font name for,JJ NN NN IN,jdk,TextTests.java
798,1311,get val string,VB NN NN,jdk,TextTests.java
799,1330,first,JJ,jdk,TextConstructionTests.java
800,1331,last,JJ,jdk,TextConstructionTests.java
801,1332,current,JJ,jdk,TextConstructionTests.java
802,1334,previous,JJ,jdk,TextConstructionTests.java
803,1335,set index,VB NN,jdk,TextConstructionTests.java
804,1336,get begin index,VB JJ NN,jdk,TextConstructionTests.java
805,1337,get end index,VB JJ NN,jdk,TextConstructionTests.java
806,1338,get index,VB NN,jdk,TextConstructionTests.java
807,1339,clone,VB,jdk,TextConstructionTests.java
808,1388,values,NNS,jdk,ColorConvertOpTests.java
809,1390,create image type list,VB NN NN NN,jdk,ColorConvertOpTests.java
810,1399,get color space,VB NN NN,jdk,CMMTests.java
811,1405,create image list,VB NN NN,jdk,EmbeddedProfileTests.java
812,1413,make image,VB NN,jdk,ImageTests.java
813,1419,get transparency,VB NN,jdk,ImageTests.java
814,1421,set value from string,VBN NN IN NN,jdk,ImageTests.java
815,1422,modify test,VB NN,jdk,ImageTests.java
816,1423,restore test,VB NN,jdk,ImageTests.java
817,1444,read results,VB NNS,jdk,J2DAnalyzer.java
818,1445,add result set,VB NN NN,jdk,J2DAnalyzer.java
819,1447,read result set,VB NN NN,jdk,J2DAnalyzer.java
820,1448,read result,VB NN,jdk,J2DAnalyzer.java
821,1449,get string attribute,VB NN NN,jdk,J2DAnalyzer.java
822,1450,get long attribute,VB NN NN,jdk,J2DAnalyzer.java
823,1451,get int attribute,VB NN NN,jdk,J2DAnalyzer.java
824,1453,get title,VB NN,jdk,J2DAnalyzer.java
825,1454,get key enumeration,VB NN NN,jdk,J2DAnalyzer.java
826,1455,get result enumeration,VB NN NN,jdk,J2DAnalyzer.java
827,1456,get result by key,VB NN IN NN,jdk,J2DAnalyzer.java
