,ID,SEQUENCE,POS,PROJECT,FILE
438,462,Test Slice Locs,VB NN NNS,pandas-main,test_indexing.py
439,463,Test Get Slice Bounds,VB VB NN NNS,pandas-main,test_indexing.py
440,464,Test Astype,VB NNP,pandas-main,test_astype.py
441,465,Test Float Numeric Index,VB NN JJ NN,pandas-main,test_numeric.py
442,466,Test Numeric Int,VB JJ NN,pandas-main,test_numeric.py
443,467,Test Int Numeric Index,VB NN JJ NN,pandas-main,test_numeric.py
444,468,Test Float 16 Index,VB NN CD NN,pandas-main,test_numeric.py
445,469,Test Join Int64 Index,VB VB NNP NN,pandas-main,test_join.py
446,470,Test Join UInt64 Index,VB VB NNP NNP,pandas-main,test_join.py
447,471,Test Interval Index,VB NN NN,pandas-main,test_setops.py
448,472,Test Interval Range,VB NN NN,pandas-main,test_interval_range.py
449,473,Constructor Tests,NN NNS,pandas-main,test_constructors.py
450,474,Test From Arrays,VB IN NNS,pandas-main,test_constructors.py
451,475,Test From Breaks,VB IN NNS,pandas-main,test_constructors.py
452,476,Test From Tuples,VB IN NNS,pandas-main,test_constructors.py
453,477,Test Class Constructors,VB NN NNS,pandas-main,test_constructors.py
454,487,Test Equals,VB NNS,pandas-main,test_equals.py
455,489,Astype Tests,NNP NNS,pandas-main,test_astype.py
456,490,Test Int Subtype,VB NN NN,pandas-main,test_astype.py
457,491,Test Float Subtype,VB NN NN,pandas-main,test_astype.py
458,492,Test Datetime like Subtype,VB NN IN NN,pandas-main,test_astype.py
459,493,Test Interval Index Rendering,VB NN NN NN,pandas-main,test_formats.py
460,494,Test Interval Tree,VB NN NN,pandas-main,test_interval_tree.py
461,495,Test Categorical Index Constructors,VB JJ NN NNS,pandas-main,test_constructors.py
462,501,Test Categorical Index,VB JJ NN,pandas-main,test_category.py
463,502,Test Categorical Index 2,VB JJ NN CD,pandas-main,test_category.py
464,504,Test Reindex,VB NN,pandas-main,test_reindex.py
465,506,Test Append,VB VB,pandas-main,test_append.py
466,507,Test Categorical Index Repr,VB JJ NN NN,pandas-main,test_formats.py
467,509,Equals Tests,VBZ NNS,pandas-main,test_equals.py
468,510,Test Period Index Equals,VB NN NN NNS,pandas-main,test_equals.py
469,511,Test Datetime Index Equals,VB NN NN NNS,pandas-main,test_equals.py
470,512,Test Timedelta Index Equals,VB NNP NN NNS,pandas-main,test_equals.py
471,513,Test Sort Values,VB NN NNS,pandas-main,test_sort_values.py
472,514,Drop Duplicates,VB NNS,pandas-main,test_drop_duplicates.py
473,515,Test Drop Duplicates Period Index,VB VB NNS NN NN,pandas-main,test_drop_duplicates.py
474,516,Test Drop Duplicates Datetime Index,VB VB NNS NN NN,pandas-main,test_drop_duplicates.py
475,517,Test Drop Duplicates Timedelta Index,VB VB NNS NNP NN,pandas-main,test_drop_duplicates.py
476,520,Test Get Indexer Non Unique,VB VB NN RB JJ,pandas-main,test_indexing.py
477,522,Test Period Index,VB NN NN,pandas-main,test_setops.py
478,523,Test Period Index Disallowed Freqs,VB NN NN VBN NNS,pandas-main,test_constructors.py
479,525,Test Simple New,VB JJ JJ,pandas-main,test_constructors.py
480,526,Test Shallow Copy,VB JJ VB,pandas-main,test_constructors.py
481,527,Test Series Period,VB NN NN,pandas-main,test_constructors.py
482,533,Test Get Value,VB VB NN,pandas-main,test_indexing.py
483,535,Test As Of Locs,VB IN IN NNS,pandas-main,test_indexing.py
484,536,Test Resolution,VB NN,pandas-main,test_resolution.py
485,537,Test Period Representation,VB NN NN,pandas-main,test_tools.py
486,538,Test Period Index Conversion,VB NN NN NN,pandas-main,test_tools.py
487,539,Test Period Index Ops,VB NN NN NNS,pandas-main,test_scalar_compat.py
488,543,Test Period Range Keywords,VB NN NN NNS,pandas-main,test_period_range.py
489,544,Test Period Range,VB NN NN,pandas-main,test_period_range.py
490,545,Test Period Range Disallowed Freqs,VB NN NN VBN NNS,pandas-main,test_period_range.py
491,548,Test Search sorted,VB VB VBN,pandas-main,test_searchsorted.py
492,549,Test Period Index Rendering,VB NN NN NN,pandas-main,test_formats.py
493,551,Test Period Index Shift,VB NN NN VB,pandas-main,test_shift.py
494,552,Test To Timestamp,VB TO NN,pandas-main,test_to_timestamp.py
495,553,Test Period Index As Type,VB NN NN IN NN,pandas-main,test_astype.py
496,554,Test Insert,VB VB,pandas-main,test_insert.py
497,558,Test Datetime Index Set Ops,VB NN NN VB NNS,pandas-main,test_setops.py
498,559,Test Business Datetime Index,VB NN NN NN,pandas-main,test_setops.py
499,560,Test Custom Datetime Index,VB JJ NN NN,pandas-main,test_setops.py
500,561,Test Datetime Index,VB NN NN,pandas-main,test_constructors.py
501,562,Test Time Series,VB NN NN,pandas-main,test_constructors.py
502,571,Test Indexer Between Time,VB NN IN NN,pandas-main,test_indexing.py
503,572,Test Datetime Index Ops,VB NN NN NN,pandas-main,test_scalar_compat.py
504,574,Test Datetime Index Arithmetic,VB NN NN JJ,pandas-main,test_arithmetic.py
505,575,Test Datetime Index Reindex,VB NN NN VB,pandas-main,test_reindex.py
506,576,Fixed Offset,JJ NN,pandas-main,test_timezones.py
507,577,Test Datetime Index Timezones,VB NN NN NNS,pandas-main,test_timezones.py
508,579,Test Datetime Index Iteration,VB NN NN NN,pandas-main,test_iter.py
509,582,Test Timestamp Equiv Date Range,VB NN NN NN NN,pandas-main,test_date_range.py
510,583,Test Date Ranges,NN NN NNS,pandas-main,test_date_range.py
511,584,Test Date Range TZ,NN NN NN NNP,pandas-main,test_date_range.py
512,585,Test Gen Range Generation,VB VB NN NN,pandas-main,test_date_range.py
513,586,Test Business Date Range,VB NN NN NN,pandas-main,test_date_range.py
514,587,Test Custom Date Range,VB JJ NN NN,pandas-main,test_date_range.py
515,588,Test Date Range Non Na no,VB NN NN RB NNP NNP,pandas-main,test_date_range.py
516,589,Test Date Range Non Tick Freq,VB NN NN RB NN NN,pandas-main,test_date_range.py
517,590,Test Split,VB NN,pandas-main,test_npfuncs.py
518,591,Test Slicing,VB NN,pandas-main,test_partial_slicing.py
519,594,Test Datetime Index Rendering,VB NN NN NN,pandas-main,test_formats.py
520,595,Test To Period,VB TO NN,pandas-main,test_to_period.py
521,596,Test Datetime Index Factorize,VB NN NN VB,pandas-main,test_factorize.py
522,597,Test Datetime Index Shift,VB NN NN VB,pandas-main,test_shift.py
523,598,Test TZ Localize,VB NNP VB,pandas-main,test_tz_localize.py
524,599,Test To Series,VB IN NNP,pandas-main,test_to_series.py
525,600,Test As Of,VB IN IN,pandas-main,test_asof.py
526,603,Test Delete,VB VB,pandas-main,test_delete.py
527,604,Test Date Time Index To Julian Date,VB NN NN NN TO NNP NN,pandas-main,test_to_julian_date.py
528,605,Test To Py Datetime,VB TO NNP NN,pandas-main,test_to_pydatetime.py
529,607,Test Normalize,VB VB,pandas-main,test_normalize.py
530,608,Test Datetime Index Round,VB NN NN NN,pandas-main,test_round.py
531,610,Test To Frame,VB NN NN,pandas-main,test_to_frame.py
532,611,Test Datetime Index Fill NA,VB NN NN VB TO,pandas-main,test_fillna.py
533,612,Test TZ Convert,VB NNP VB,pandas-main,test_tz_convert.py
534,613,Test Map,VB NN,pandas-main,test_map.py
535,620,Test Get Level Values,VB VB NN NNS,pandas-main,test_get_level_values.py
536,621,Test Is Lex sorted,VB VBZ NNP VBN,pandas-main,test_lexsort.py
537,622,Test Lex sort Depth,VB NNP NN NN,pandas-main,test_lexsort.py
538,623,Test Repr,VB NN,pandas-main,test_formats.py
539,624,Test Range Index Set Ops,VB NN NN NN NNS,pandas-main,test_setops.py
540,625,Test Range Index Constructors,VB NN NN NNS,pandas-main,test_constructors.py
541,629,Test Range Index,VB NN NN,pandas-main,test_range.py
542,631,Test Index Set Ops,VB NN VB NNS,pandas-main,test_setops.py
543,632,Test Index Constructor,VB NN NN,pandas-main,test_constructors.py
544,637,Test Index Rendering,VB NN NN,pandas-main,test_formats.py
545,638,Test Reshape,VB VB,pandas-main,test_reshape.py
546,639,Test Comparison,VB NN,pandas-main,test_interval.py
547,640,Test Timedelta 64 Array Like Comparisons,VB NNP CD NN IN NNS,pandas-main,test_timedelta64.py
548,641,Test Timedelta 64 Array Comparisons,VB NNP CD NN NNS,pandas-main,test_timedelta64.py
549,642,Test Timedelta 64 Arithmetic Unsorted,VB NNP CD JJ JJ,pandas-main,test_timedelta64.py
550,643,Test Add Sub Na T Masking,VB VB NN NNP FW NN,pandas-main,test_timedelta64.py
551,644,Test Timedelta Array like Add Sub Ops,VB NNP NN IN VB VB NNS,pandas-main,test_timedelta64.py
552,645,Test Timedelta Array like Mul Div Ops,VB NNP NN IN VB VB NNS,pandas-main,test_timedelta64.py
553,646,Test Timedelta 64 Array Like Arithmetic,VB NNP CD NN IN NN,pandas-main,test_timedelta64.py
554,647,Test Datetime 64 Array Like Comparisons,VB NN CD NN IN NNS,pandas-main,test_datetime64.py
555,648,Test Datetime 64 Series Comparison,VB NN CD NN NN,pandas-main,test_datetime64.py
556,649,Test Datetime Index Comparisons,VB NN NN NNS,pandas-main,test_datetime64.py
557,650,Test Datetime 64 Arithmetic,VB NN CD NN,pandas-main,test_datetime64.py
558,651,Test Datetime 64 Date Offset Arithmetic,VB NN CD NN NN NN,pandas-main,test_datetime64.py
559,652,Test Datetime 64 Overflow Handling,VB NN CD NN NN,pandas-main,test_datetime64.py
560,653,Test Timestamp Series Arithmetic,VB NN NN NN,pandas-main,test_datetime64.py
561,655,Test Numeric Comparisons,VB JJ NNS,pandas-main,test_numeric.py
562,656,Test Numeric Array like Arithmetic With Datetime Like,VB JJ NN IN NN IN NN IN,pandas-main,test_numeric.py
563,657,Test Division By Zero,VB NN IN CD,pandas-main,test_numeric.py
564,658,Test Multiplication Division,VB NN NN,pandas-main,test_numeric.py
565,659,Test Addition Subtraction,VB NN NN,pandas-main,test_numeric.py
566,660,Test U Func Compat,VB FW NN NN,pandas-main,test_numeric.py
567,661,Test Object D type Equivalence,VB NN FW NN NN,pandas-main,test_numeric.py
568,662,Test Numeric Arithmetic Unsorted,VB JJ JJ JJ,pandas-main,test_numeric.py
569,663,Test Period Array Like Comparisons,VB NN NN IN NNS,pandas-main,test_period.py
570,664,Test Period Index Comparisons,VB NN NN NNS,pandas-main,test_period.py
571,665,Test Period Series Comparisons,VB NN NN NNS,pandas-main,test_period.py
572,666,Test Period Index Series Comparison Consistency,VB NN NN NN NN NN,pandas-main,test_period.py
573,667,Test Period Frame Arithmetic,VB NN NN NN,pandas-main,test_period.py
574,668,Test Period Index Arithmetic,VB NN NN NN,pandas-main,test_period.py
575,669,Test Period Series Arithmetic,VB NN NNP NNP,pandas-main,test_period.py
576,670,Test Period Index Series Methods,VB NN NN NN NNS,pandas-main,test_period.py
577,671,Test Object Comparisons,VB NN NNS,pandas-main,test_object.py
578,672,Test Arithmetic,VB NN,pandas-main,test_object.py
579,673,My Index,PRP$ NN,pandas-main,test_object.py
580,674,Test Categorical Comparisons,VB JJ NNS,pandas-main,test_categorical.py
581,675,Test Time Conversion Formats,VB NN NN NNS,pandas-main,test_to_datetime.py
582,676,Test To Datetime,VB TO NN,pandas-main,test_to_datetime.py
583,677,Test To Datetime Unit,VB TO NN NN,pandas-main,test_to_datetime.py
584,678,Test To Datetime Data Frame,VB TO NN NN NN,pandas-main,test_to_datetime.py
585,679,Test To Datetime Misc,VB TO NNP NNP,pandas-main,test_to_datetime.py
586,680,Test Guess Datetime Format,VB NN NN NN,pandas-main,test_to_datetime.py
587,681,Test To Datetime Infer Format,VB TO NN NN NN,pandas-main,test_to_datetime.py
588,682,Test Days In Month,VB NNS IN NN,pandas-main,test_to_datetime.py
589,683,Test Datetime Parsing Wrappers,VB NN NN NNS,pandas-main,test_to_datetime.py
590,684,Test Origin,VB NN,pandas-main,test_to_datetime.py
591,685,Test Should Cache,VB MD VB,pandas-main,test_to_datetime.py
592,686,Test To Time,VB TO NN,pandas-main,test_to_time.py
593,689,Test Index Reductions,VB NN NNS,pandas-main,test_reductions.py
594,690,Test Series Reductions,VB NN NNS,pandas-main,test_reductions.py
595,691,Test Datetime 64 Series Reductions,VB NN CD NN NNS,pandas-main,test_reductions.py
596,692,Test Categorical Series Reductions,VB JJ NN NNS,pandas-main,test_reductions.py
597,693,Test Series Mode,VB NN NN,pandas-main,test_reductions.py
598,694,Test Datetime Like Stat Reductions,VB NN IN NN NNS,pandas-main,test_stat_reductions.py
599,695,Test Series Stat Reductions,VB NN NN NNS,pandas-main,test_stat_reductions.py
600,696,Test Eval,VB NN,pandas-main,test_eval.py
601,697,Test Type Casting,VB NN NN,pandas-main,test_eval.py
602,698,Test Alignment,VB NN,pandas-main,test_eval.py
603,699,Test Operations,VB NNS,pandas-main,test_eval.py
604,700,Test Math,VB NN,pandas-main,test_eval.py
605,701,Test Scope,VB NN,pandas-main,test_eval.py
606,702,Test Validate,VB VB,pandas-main,test_eval.py
607,703,Test Selection,VB NN,pandas-main,test_grouping.py
608,704,Test Grouping,VB NN,pandas-main,test_grouping.py
609,705,Test Get Group,VB VB NN,pandas-main,test_grouping.py
610,706,Test Iteration,VB NN,pandas-main,test_grouping.py
611,707,Test Numeric Only,VB JJ RB,pandas-main,test_numeric_only.py
612,708,Test Engine,VB NN,pandas-main,test_numba.py
613,709,Test Counting,VB NN,pandas-main,test_counting.py
614,710,Raising Object Exception,VBG NN NN,pandas-main,test_counting.py
615,711,Raising Object,VBG NN,pandas-main,test_counting.py
616,712,Test Group By,VB VB IN,pandas-main,test_timegrouper.py
617,713,Group Var Test Mixin,NN NN NN NN,pandas-main,test_libgroupby.py
618,714,Test Group Var Float64,VB NN NN NNP,pandas-main,test_libgroupby.py
619,715,Test Group Var Float32,VB NN NN NNP,pandas-main,test_libgroupby.py
620,716,Test Named Aggregation Series,VB JJ NN NN,pandas-main,test_aggregate.py
621,717,Test Named Aggregation Data Frame,VB JJ NN NNS NN,pandas-main,test_aggregate.py
622,718,Test Lambda Mangling,VB NN NN,pandas-main,test_aggregate.py
623,719,fn class,NNP NN,pandas-main,test_other.py
624,720,Test Data Frame Plots,VB NNS NN NNS,pandas-main,test_boxplot_method.py
625,721,Test Data Frame Group By Plots,VB NNS NN VB IN NNS,pandas-main,test_boxplot_method.py
626,722,Test Series Plots,VB NN NNS,pandas-main,test_hist_method.py
627,725,Test TS Plot,VB NNP NN,pandas-main,test_datetimelike.py
628,730,Test Get Standard Colors,VB VB JJ NNS,pandas-main,test_style.py
629,731,Test Registration,VB NN,pandas-main,test_converter.py
630,732,Test Date Time Converter,VB NN NN NN,pandas-main,test_converter.py
631,733,Test Period Converter,VB NN NN,pandas-main,test_converter.py
632,734,Axis,NN,pandas-main,test_converter.py
633,735,Test Time Delta Converter,VB NN NN NN,pandas-main,test_converter.py
634,736,mock axis,VB NN,pandas-main,test_converter.py
635,738,Test Data Frame Color,VB NNS NN NNP,pandas-main,test_frame_color.py
636,739,Test Hist With By,VB NNP IN IN,pandas-main,test_hist_box_by.py
637,740,Test Box With By,VB NN IN IN,pandas-main,test_hist_box_by.py
638,741,Test Data Frame Plots Subplots,VB NNS NN NNS NNS,pandas-main,test_frame_subplots.py
639,743,Test Data Frame Plots Groupby,VB NN NN NNS NNP,pandas-main,test_frame_groupby.py
640,744,Test Frame Legend,VB NN NN,pandas-main,test_frame_legend.py
641,745,Test Types,VB NNS,pandas-main,test_types.py
642,746,Base,NN,pandas-main,test_api.py
643,747,Test PD Api,VB NNP NNP,pandas-main,test_api.py
644,748,Test Api,VB NNP,pandas-main,test_api.py
645,749,Test Errors,VB NNS,pandas-main,test_api.py
646,750,Test Util,VB NNP,pandas-main,test_api.py
647,751,Test Testing,VB NN,pandas-main,test_api.py
648,752,Test Block,VB NN,pandas-main,test_internals.py
649,753,Test Block Manager,VB NN NN,pandas-main,test_internals.py
650,755,Test Block Placement,VB NN NN,pandas-main,test_internals.py
651,756,Test Can Hold Element,VB MD VB NN,pandas-main,test_internals.py
652,757,Test Should Store,VB MD VB,pandas-main,test_internals.py
653,758,Test Pad Backfill,VB VB NN,pandas-main,test_libalgos.py
654,759,Test Infinity,VB NN,pandas-main,test_libalgos.py
655,761,Test Hash Table Unsorted,VB NN NN JJ,pandas-main,test_hashtable.py
656,762,Test Py Object Hash Table With Nans,VB NNP NN NN NN IN NNPS,pandas-main,test_hashtable.py
657,763,Test Hash Table With Nans,VB NN NN IN NNPS,pandas-main,test_hashtable.py
658,764,Test Help Functions,VB NN NNS,pandas-main,test_hashtable.py
659,765,Test Help Functions With Nans,VB NN NNS IN NNPS,pandas-main,test_hashtable.py
660,766,Test Misc,VB NNP,pandas-main,test_lib.py
661,768,Test Indexer,VB NN,pandas-main,test_join.py
662,769,Test Config,VB NN,pandas-main,test_config.py
663,770,Test Get Dummies,VB VB NNS,pandas-main,test_get_dummies.py
664,771,Test Union Categoricals,VB NN NNS,pandas-main,test_union_categoricals.py
665,772,Test Cross tab,VB JJ NN,pandas-main,test_crosstab.py
666,773,Test Cartesian Product,VB JJ NN,pandas-main,test_util.py
667,774,Test Melt,VB NN,pandas-main,test_melt.py
668,775,Test L reshape,VB FW VB,pandas-main,test_melt.py
669,776,Test Wide To Long,VB JJ TO JJ,pandas-main,test_melt.py
670,777,Test Pivot Table,VB NN NN,pandas-main,test_pivot.py
671,778,Mock Unstacker,VB NN,pandas-main,test_pivot.py
672,779,Test Pivot,NN NN,pandas-main,test_pivot.py
673,780,Test Merge Multi,VB VB JJ,pandas-main,test_multi.py
674,781,Test Join Multi Multi,VB VB JJ JJ,pandas-main,test_multi.py
675,782,Test Merge Ordered,VB VB JJ,pandas-main,test_merge_ordered.py
676,783,Not A Data Frame,RB DT NNS NN,pandas-main,test_merge_ordered.py
677,786,Test Merge D types,VB VB NN NNS,pandas-main,test_merge.py
678,787,Test Merge Categorical,VB VB JJ,pandas-main,test_merge.py
679,788,Test Merge On Indexes,VB VB IN NNS,pandas-main,test_merge.py
680,790,Test As Of Merge,VB IN IN VB,pandas-main,test_merge_asof.py
681,791,Test Empty Concat,VB JJ NN,pandas-main,test_empty.py
682,792,Test Invalid Concat,VB JJ NN,pandas-main,test_invalid.py
683,793,Test Datetime Concat,VB NN NN,pandas-main,test_datetimes.py
684,794,Test Timezone Concat,VB NN NN,pandas-main,test_datetimes.py
685,795,Test Period Concat,VB NN NN,pandas-main,test_datetimes.py
686,796,Test Concatenate,VB VB,pandas-main,test_concat.py
687,797,Custom Iterator 1,JJ NN CD,pandas-main,test_concat.py
688,798,Custom Iterator 2,JJ NN CD,pandas-main,test_concat.py
689,800,Test Concat Append Common,VB NN VB NN,pandas-main,test_append_common.py
690,801,Test Series Concat,VB NN NN,pandas-main,test_series.py
691,802,Test Index Concat,VB NN NN,pandas-main,test_index.py
692,803,Test Multi Index Concat,VB JJ NN NN,pandas-main,test_index.py
693,804,Test Categorical Concat,VB JJ NN,pandas-main,test_categorical.py
694,805,Test Concat Sort,VB NN NN,pandas-main,test_sort.py
695,806,Test Data Frame Concat,VB NNS NN NN,pandas-main,test_dataframe.py
696,807,Test Stata,VB NNP,pandas-main,test_stata.py
697,809,Test Basic,VB JJ,pandas-main,test_parquet.py
698,810,Test Parquet Py Arrow,VB NN NNP NN,pandas-main,test_parquet.py
699,811,Test Parquet Fast Parquet,VB NN JJ NN,pandas-main,test_parquet.py
700,812,Test Compression,VB NN,pandas-main,test_pickle.py
701,813,Test Protocol,VB NN,pandas-main,test_pickle.py
702,814,Mock Read Response,VB NN NN,pandas-main,test_pickle.py
703,815,My Tz,PRP$ NNP,pandas-main,test_pickle.py
704,816,Custom FS Path,JJ NNP NN,pandas-main,test_common.py
705,817,Test Common IO Capabilities,VB JJ NNP NNS,pandas-main,test_common.py
706,818,Test M Map Wrapper,VB FW NN NN,pandas-main,test_common.py
707,819,Test Error,VB NN,pandas-main,test_common.py
708,820,Mock Sqlite Connection,VB NNP NN,pandas-main,test_sql.py
709,821,Dummy Exception,JJ NN,pandas-main,test_sql.py
710,822,Temporary,JJ,pandas-main,test_sql.py
711,823,Test,NN,pandas-main,test_sql.py
712,824,Test Memory FS,VB NN NNP,pandas-main,test_fsspec.py
713,825,Test Clipboard,VB NN,pandas-main,test_clipboard.py
714,826,Test Read Html,VB VB NNP,pandas-main,test_html.py
715,827,Unseekable String IO,JJ NNP NNP,pandas-main,test_html.py
716,828,Mock File,VB NN,pandas-main,test_html.py
717,829,Error Thread,NN NN,pandas-main,test_html.py
718,830,Test Feather,VB NN,pandas-main,test_feather.py
719,831,My Mapping,PRP$ NN,pandas-main,test_printing.py
720,832,Test P Print Thing,VB NNP NN NN,pandas-main,test_printing.py
721,833,Test Format Base,VB NN NN,pandas-main,test_printing.py
722,834,Test Data Frame Formatting,VB NNS NN NN,pandas-main,test_format.py
723,835,A,FW,pandas-main,test_format.py
724,836,Test Series Formatting,VB NN NN,pandas-main,test_format.py
725,837,Test Generic Array Formatter,VB JJ NN NN,pandas-main,test_format.py
726,838,D type Stub,NN NN NN,pandas-main,test_format.py
727,839,Ext Type Stub,NN NN NN,pandas-main,test_format.py
728,840,Test Float Array Formatter,VB NN NN NN,pandas-main,test_format.py
729,841,Test Timedelta 64 Formatter,VB NNP CD NN,pandas-main,test_format.py
730,842,Test Datetime 64 Formatter,VB NNP CD NN,pandas-main,test_format.py
731,843,Test Format Percentiles,VB NN NNS,pandas-main,test_format.py
732,844,Test Table Schema Repr,VB NN NN NN,pandas-main,test_ipython_compat.py
733,845,Test HTML Index,VB NNP NN,pandas-main,test_to_html.py
734,846,Test Repr HTML,VB NN NNP,pandas-main,test_to_html.py
735,847,Test Eng Formatter,VB NN NN,pandas-main,test_eng_formatting.py
736,848,Test To CSV,VB TO NNP,pandas-main,test_to_csv.py
737,849,Mock Encoding,VB NN,pandas-main,test_console.py
738,850,Test Data Frame To String Formatters,VB NNS NN TO NN NNS,pandas-main,test_to_string.py
739,851,Test Data Frame To String Col Space,VB NNS NN TO NN NNP NN,pandas-main,test_to_string.py
740,852,Test Data Frame To String Header,VB NNS NN TO NN NN,pandas-main,test_to_string.py
741,853,Test Data Frame To String Line Width,VB NNS NN TO NN NN NN,pandas-main,test_to_string.py
742,854,Test To String Numeric Formatting,VB TO NN JJ NN,pandas-main,test_to_string.py
743,855,Test Data Frame To String,VB NNS NN TO NN,pandas-main,test_to_string.py
744,856,Test Series To String,VB NN TO NN,pandas-main,test_to_string.py
745,857,Test To Latex,VB TO NNP,pandas-main,test_to_latex.py
746,858,Test To Latex Long table,VB TO NNP JJ NN,pandas-main,test_to_latex.py
747,859,Test To Latex Header,VB TO NNP NN,pandas-main,test_to_latex.py
748,860,Test To Latex Bold,VB TO NNP NN,pandas-main,test_to_latex.py
749,861,Test To Latex Caption Label,VB TO NN NN NN,pandas-main,test_to_latex.py
750,862,Test To Latex Escape,VB TO NN NN,pandas-main,test_to_latex.py
751,863,Test To Latex Position,VB TO NN NN,pandas-main,test_to_latex.py
752,864,Test To Latex Formatters,VB TO NN NNS,pandas-main,test_to_latex.py
753,865,Test To Latex Multiindex,VB TO NN NNP,pandas-main,test_to_latex.py
754,866,Custom Styler,JJ NN,pandas-main,test_style.py
755,867,Test Styler,VB NN,pandas-main,test_style.py
756,868,Test X port,VB FW NN,pandas-main,test_xport.py
757,869,Test Sas,VB NNP,pandas-main,test_sas.py
758,870,Test SAS 7 B DAT,VB NNP CD CD NNP,pandas-main,test_sas7bdat.py
759,871,Test HDF Store Subclass,VB NNP NN NN,pandas-main,test_subclass.py
760,872,Test Read Py Tables HDF5,VB VB NNP NNS NNP,pandas-main,test_compat.py
761,873,Table 1,NN CD,pandas-main,test_keys.py
762,874,Table 2,NN CD,pandas-main,test_keys.py
763,875,Table 3,NN CD,pandas-main,test_keys.py
764,876,Test Readers,VB NNS,pandas-main,test_readers.py
765,877,Test Excel File Read,VB NNP NN NN,pandas-main,test_readers.py
766,878,Test Round Trip,VB JJ NN,pandas-main,test_writers.py
767,879,Test Excel Writer,VB NNP NN,pandas-main,test_writers.py
768,880,Test Excel Writer Engine Tests,VB NNP NN NN NNS,pandas-main,test_writers.py
769,881,Dummy Class,JJ NN,pandas-main,test_writers.py
770,882,Test FS Path,VB NNP NN,pandas-main,test_writers.py
771,883,Test Build Schema,VB VB NN,pandas-main,test_json_table_schema_ext_dtype.py
772,884,Test Table Schema Type,VB NN NN NN,pandas-main,test_json_table_schema_ext_dtype.py
773,885,Test Table Orient,VB NN NN,pandas-main,test_json_table_schema_ext_dtype.py
774,889,Test Table Orient Reader,VB NN NN NN,pandas-main,test_json_table_schema.py
775,890,My Reader,PRP$ NN,pandas-main,test_readlines.py
776,891,Test Pandas Container,VB NNP NN,pandas-main,test_pandas.py
777,892,Binary Thing,JJ NN,pandas-main,test_pandas.py
778,893,Test Object,VB NN,pandas-main,test_pandas.py
779,894,Test JSON Normalize,VB NNP VB,pandas-main,test_normalize.py
780,895,Test Nested To Record,VB VBN TO VB,pandas-main,test_normalize.py
781,896,Test Ultra JSON Tests,VB JJ NNP NNS,pandas-main,test_ujson.py
782,897,O 2,FW CD,pandas-main,test_ujson.py
783,898,O 1,FW CD,pandas-main,test_ujson.py
784,899,Dict Test,NN NN,pandas-main,test_ujson.py
785,902,Test Numpy JSON Tests,VB NNP NNP NNS,pandas-main,test_ujson.py
786,903,Test Pandas JSON Tests,VB NNP NNP NNS,pandas-main,test_ujson.py
787,904,Invalid Dialect,JJ NN,pandas-main,test_dialect.py
788,905,Base Parser,JJ NN,pandas-main,conftest.py
789,906,C Parser,NNP NN,pandas-main,conftest.py
790,907,C Parser High Memory,NNP NN JJ NN,pandas-main,conftest.py
791,908,C Parser Low Memory,NNP NNP NNP NNP,pandas-main,conftest.py
792,909,Python Parser,NNP NN,pandas-main,conftest.py
793,910,Py Arrow Parser,NNP NN NN,pandas-main,conftest.py
794,911,Test S 3,VB FW CD,pandas-main,test_network.py
795,912,No Next Buffer,DT JJ NN,pandas-main,test_c_parser_only.py
796,914,Test Text Reader,VB NN NN,pandas-main,test_textreader.py
797,915,Test Unsupported Features,VB JJ NNS,pandas-main,test_unsupported.py
798,917,Invalid Buffer,JJ NN,pandas-main,test_file_buffer_url.py
799,919,No Seek Tell Buffer,DT VB VB NN,pandas-main,test_file_buffer_url.py
800,920,My Text File Reader,PRP$ NN NN NN,pandas-main,test_common_basic.py
801,921,My C Parser Wrapper,PRP$ NNP NN NN,pandas-main,test_common_basic.py
802,922,Test Is NA,VB VBZ NNP,pandas-main,test_missing.py
803,923,Test NA Obj,VB NNP NN,pandas-main,test_missing.py
804,924,Test Lib Missing,VB NN VBG,pandas-main,test_missing.py
805,925,Test Is Valid NA For D type,VB VBZ JJ NNP IN NN NN,pandas-main,test_missing.py
806,926,Test Numpy EAD type,VB NNP NNP NN,pandas-main,test_common.py
807,927,Not TZD type,RB NNP NN,pandas-main,test_common.py
808,928,My Numeric D Type,PRP$ JJ NN NN,pandas-main,test_common.py
809,929,Mock Numpy Like Array,VB NNP IN NN,pandas-main,test_inference.py
810,930,Not List Like,RB NN IN,pandas-main,test_inference.py
811,931,My Data Frame,PRP$ NN NN,pandas-main,test_inference.py
812,933,D type List,NN NN NN,pandas-main,test_inference.py
813,934,Dict Like,NN IN,pandas-main,test_inference.py
814,936,Hashable Class,JJ NN,pandas-main,test_inference.py
815,937,Unhashable Class 1,JJ NN CD,pandas-main,test_inference.py
816,938,Unhashable Class 2,JJ NN CD,pandas-main,test_inference.py
817,939,Test Inference,VB NN,pandas-main,test_inference.py
818,940,Test Type Inference,VB NN NN,pandas-main,test_inference.py
819,941,Dummy,JJ,pandas-main,test_inference.py
820,942,Test Number Scalar,VB NN NN,pandas-main,test_inference.py
821,943,Test Is Scalar,VB VBZ NN,pandas-main,test_inference.py
822,944,Numeric,NN,pandas-main,test_inference.py
823,946,Test Categorical D type,VB JJ NN NN,pandas-main,test_dtypes.py
