ID,SEQUENCE,POS,PROJECT,FILE
1111,can replace local,VB VBP JJ,intellij-community,PathMapper.java
1112,convert to local,VB TO JJ,intellij-community,PathMapper.java
1113,can replace remote,VB VBP JJ,intellij-community,PathMapper.java
1114,convert to remote,VB TO JJ,intellij-community,PathMapper.java
1115,barangus,NN,intellij-community,MethodReturnOfConcreteClassInspection.java
1116,get task icon,VB NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
1117,is configurable,VBZ JJ,intellij-community,RunConfigurationBeforeRunProvider.java
1118,create task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
1119,configure task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
1120,get available configurations,VB JJ NNS,intellij-community,RunConfigurationBeforeRunProvider.java
1121,can execute task,VB VBP NN,intellij-community,RunConfigurationBeforeRunProvider.java
1122,execute task,VB NN,intellij-community,RunConfigurationBeforeRunProvider.java
1123,process start scheduled,NN VB JJ,intellij-community,RunConfigurationBeforeRunProvider.java
1124,process not started,NN RB VBN,intellij-community,RunConfigurationBeforeRunProvider.java
1125,process started,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
1126,process terminated,NN VBN,intellij-community,RunConfigurationBeforeRunProvider.java
1127,before run,IN VB,intellij-community,RunConfigurationBeforeRunProvider.java
1128,set settings,VB NNS,intellij-community,RunConfigurationBeforeRunProvider.java
1129,get settings,VB NNS,intellij-community,RunConfigurationBeforeRunProvider.java
1130,get dimension service key,VB NN NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
1131,customize cell renderer,VB NN NN,intellij-community,RunConfigurationBeforeRunProvider.java
1132,get selected settings,VB JJ NNS,intellij-community,RunConfigurationBeforeRunProvider.java
1133,add import candidates,VB NN NNS,intellij-community,PyImportCandidateProvider.java
1134,execute cell,VB NN,intellij-community,IpnbConnectionManager.java
1135,start connection,VB NN,intellij-community,IpnbConnectionManager.java
1136,show dialog url,VB NN NNP,intellij-community,IpnbConnectionManager.java
1137,on open,IN NN,intellij-community,IpnbConnectionManager.java
1138,on output,IN NN,intellij-community,IpnbConnectionManager.java
1139,on payload,IN NN,intellij-community,IpnbConnectionManager.java
1140,get connection,VB NN,intellij-community,IpnbConnectionManager.java
1141,interrupt kernel,VB NN,intellij-community,IpnbConnectionManager.java
1142,reload kernel,VB NN,intellij-community,IpnbConnectionManager.java
1143,show warning,VB NN,intellij-community,IpnbConnectionManager.java
1144,start ipython server,VB NNP NN,intellij-community,IpnbConnectionManager.java
1145,do destroy process,VB VB NN,intellij-community,IpnbConnectionManager.java
1146,is silently destroy on close,VBZ RB VB IN NN,intellij-community,IpnbConnectionManager.java
1147,find i python runner,VB NN NN NN,intellij-community,IpnbConnectionManager.java
1148,get host port from url,VB NN NN IN NNP,intellij-community,IpnbConnectionManager.java
1149,shutdown kernels,VB NNS,intellij-community,IpnbConnectionManager.java
1150,hyperlink activated,NN VBN,intellij-community,IpnbConnectionManager.java
1151,get navigatable,VB JJ,intellij-community,CompilerMessageImpl.java
1152,get virtual file,VB JJ NN,intellij-community,CompilerMessageImpl.java
1153,get export text prefix,VB NN NN NN,intellij-community,CompilerMessageImpl.java
1154,get render text prefix,VB VB NN NN,intellij-community,CompilerMessageImpl.java
1155,get line,VB NN,intellij-community,CompilerMessageImpl.java
1156,get column,VB NN,intellij-community,CompilerMessageImpl.java
1157,test disjunction,VB NN,intellij-community,DetailExceptionsIntentionTest.java
1158,test simple,VB JJ,intellij-community,DetailExceptionsIntentionTest.java
1159,test foreach,VB NN,intellij-community,DetailExceptionsIntentionTest.java
1160,test try with resources,VB VB IN NNS,intellij-community,DetailExceptionsIntentionTest.java
1161,test polyadic parentheses,VB JJ NNS,intellij-community,DetailExceptionsIntentionTest.java
1162,get intention name,VB NN NN,intellij-community,DetailExceptionsIntentionTest.java
1163,get relative path,VB JJ NN,intellij-community,DetailExceptionsIntentionTest.java
1164,get bundle,VB NN,intellij-community,GroovyInspectionBundle.java
1165,on build finished,IN NN VBN,intellij-community,JavaFxPreloaderArtifactProperties.java
1166,create editor,VB NN,intellij-community,JavaFxPreloaderArtifactProperties.java
1167,get preloader class,VB NN NN,intellij-community,JavaFxPreloaderArtifactProperties.java
1168,set preloader class,VB NN NN,intellij-community,JavaFxPreloaderArtifactProperties.java
1169,on target in edit mode changed,IN NN IN NN NN VBN,intellij-community,PushTargetEditorListener.java
1170,build classpath,VB NN,intellij-community,AntBuildFileClassLoaderHolder.java
1171,test unreachable,VB JJ,intellij-community,PyUnreachableCodeInspectionTest.java
1172,test with suppressed exceptions,VB IN JJ NNS,intellij-community,PyUnreachableCodeInspectionTest.java
1173,get tool window id,VB NN NN NN,intellij-community,Executor.java
1174,get tool window icon,VB NN NN NN,intellij-community,Executor.java
1175,get disabled icon,VB JJ NN,intellij-community,Executor.java
1176,get action name,VB NN NN,intellij-community,Executor.java
1177,get start action text,VB NN NN NN,intellij-community,Executor.java
1178,get context action id,VB NN NN NN,intellij-community,Executor.java
1179,get binary content,VB JJ NN,intellij-community,ShelvedBinaryContentRevision.java
1180,get content,VB NN,intellij-community,ShelvedBinaryContentRevision.java
1181,get revision number,VB NN NN,intellij-community,ShelvedBinaryContentRevision.java
1182,as string,IN NN,intellij-community,ShelvedBinaryContentRevision.java
1183,get parameters count,VB NNS NN,intellij-community,MethodDescriptor.java
1184,get method,VB NN,intellij-community,MethodDescriptor.java
1185,can change visibility,VB VBP NN,intellij-community,MethodDescriptor.java
1186,can change parameters,VB VBP NNS,intellij-community,MethodDescriptor.java
1187,can change name,VB VBP NN,intellij-community,MethodDescriptor.java
1188,can change return type,VB VBP JJ NN,intellij-community,MethodDescriptor.java
1189,get group display name,VB NN NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
1190,visit continue statement,VB VBP NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
1191,visit break statement,VB NN NN,intellij-community,GroovyContinueOrBreakFromFinallyBlockInspection.java
1192,build command line parameters,JJ NN NN NNS,intellij-community,RestCommandLineState.java
1193,do create process,VB VB NN,intellij-community,RestCommandLineState.java
1194,get after task,VB IN NN,intellij-community,RestCommandLineState.java
1195,find output,VB NN,intellij-community,RestCommandLineState.java
1196,get runner,VB NN,intellij-community,RestCommandLineState.java
1197,get task,VB NN,intellij-community,RestCommandLineState.java
1198,add import if needed,VB NN IN JJ,intellij-community,ImportUtils.java
1199,name can be statically imported,NN MD VB RB VBN,intellij-community,ImportUtils.java
1200,name can be imported,NN MD VB VBN,intellij-community,ImportUtils.java
1201,contains conflicting class name,VBZ JJ NN NN,intellij-community,ImportUtils.java
1202,has exact import conflict,VBZ JJ NN NN,intellij-community,ImportUtils.java
1203,has exact import static conflict,VBZ JJ NN JJ NN,intellij-community,ImportUtils.java
1204,has on demand import conflict,VBZ IN NN NN NN,intellij-community,ImportUtils.java
1205,has default import conflict,VBZ JJ NN NN,intellij-community,ImportUtils.java
1206,has java lang import conflict,VBZ NN NN NN NN,intellij-community,ImportUtils.java
1207,contains conflicting class,VBZ JJ NN,intellij-community,ImportUtils.java
1208,contains conflicting inner class,VBZ JJ JJ NN,intellij-community,ImportUtils.java
1209,add static import,VB JJ NN,intellij-community,ImportUtils.java
1210,find on demand import static statement,VB IN NN NN JJ NN,intellij-community,ImportUtils.java
1211,get matching imports,VB JJ NNS,intellij-community,ImportUtils.java
1212,is statically imported,VBZ RB VBN,intellij-community,ImportUtils.java
1213,member referenced,NN VBN,intellij-community,ImportUtils.java
1214,is reference found,VBZ NN VBN,intellij-community,ImportUtils.java
1215,contains conflicting reference,VBZ JJ NN,intellij-community,ImportUtils.java
1216,is conflicting reference found,VBZ JJ NN VBN,intellij-community,ImportUtils.java
1217,remove artifact,VB NN,intellij-community,ModifiableArtifactModel.java
1218,get or create modifiable artifact,VB CC VB JJ NN,intellij-community,ModifiableArtifactModel.java
1219,get modifiable copy,VB JJ NN,intellij-community,ModifiableArtifactModel.java
1220,remove listener,VB NN,intellij-community,ModifiableArtifactModel.java
1221,is modified,VBZ VBN,intellij-community,ModifiableArtifactModel.java
1222,commit,VB,intellij-community,ModifiableArtifactModel.java
1223,method,NN,intellij-community,CovariantReturnType.java
1224,declare final,VB JJ,intellij-community,GrIntroduceFieldSettings.java
1225,initialize in,VB IN,intellij-community,GrIntroduceFieldSettings.java
1226,get visibility modifier,VB NN NN,intellij-community,GrIntroduceFieldSettings.java
1227,is static,VBZ JJ,intellij-community,GrIntroduceFieldSettings.java
1228,remove local var,VB JJ NN,intellij-community,GrIntroduceFieldSettings.java
1229,get dom name strategy,VB NNP NN NN,intellij-community,AttributeChildDescriptionImpl.java
1230,get getter method,VB NN NN,intellij-community,AttributeChildDescriptionImpl.java
1231,get annotation,VB NN,intellij-community,AttributeChildDescriptionImpl.java
1232,get values,VB NNS,intellij-community,AttributeChildDescriptionImpl.java
1233,get common presentable name,VB JJ JJ NN,intellij-community,AttributeChildDescriptionImpl.java
1234,get dom attribute value,VB NNP NN NN,intellij-community,AttributeChildDescriptionImpl.java
1235,visit local variable declaration,VB JJ JJ NN,intellij-community,DelegatingClassReferenceVisitor.java
1236,visit field declaration,VB NN NN,intellij-community,DelegatingClassReferenceVisitor.java
1237,visit parameter declaration,VB NN NN,intellij-community,DelegatingClassReferenceVisitor.java
1238,visit method return type,VB NN NN NN,intellij-community,DelegatingClassReferenceVisitor.java
1239,visit type cast expression,VB NN NN NN,intellij-community,DelegatingClassReferenceVisitor.java
1240,visit new expression,VB JJ NN,intellij-community,DelegatingClassReferenceVisitor.java
1241,get canonical text,VB JJ NN,intellij-community,SimpleAttributeReference.java
1242,get element,VB NN,intellij-community,SimpleAttributeReference.java
1243,get range in element,VB NN IN NN,intellij-community,SimpleAttributeReference.java
1244,is reference to,VBZ NN TO,intellij-community,SimpleAttributeReference.java
1245,bind to element,VB TO NN,intellij-community,SimpleAttributeReference.java
1246,handle element rename,VB NN VB,intellij-community,SimpleAttributeReference.java
1247,get text range,VB NN NN,intellij-community,SimpleAttributeReference.java
1248,is enabled by default,VBZ VBN IN NN,intellij-community,CheckEmptyTagInspection.java
1249,visit xml tag,VB NNP NN,intellij-community,CheckEmptyTagInspection.java
1250,is tag with empty end not allowed,VBZ NN IN JJ NN RB VBN,intellij-community,CheckEmptyTagInspection.java
1251,apply fix,VB NN,intellij-community,CheckEmptyTagInspection.java
1252,get task name,VB NN NN,intellij-community,TaskOperationDescriptor.java
1253,get path to git,VB NN TO NN,intellij-community,GitVcsApplicationSettings.java
1254,set path to git,VB NN TO NN,intellij-community,GitVcsApplicationSettings.java
1255,set idea ssh,VB NN NNP,intellij-community,GitVcsApplicationSettings.java
1256,get uuid,VB NNP,liferay-portal,DefaultWikiEditPageDisplayContext.java
1257,delete resource,VB NN,liferay-portal,JournalWebDAVStorageImpl.java
1258,get resources,VB NNS,liferay-portal,JournalWebDAVStorageImpl.java
1259,put resource,VB NN,liferay-portal,JournalWebDAVStorageImpl.java
1260,get folders,VB NNS,liferay-portal,JournalWebDAVStorageImpl.java
1261,get structures,VB NNS,liferay-portal,JournalWebDAVStorageImpl.java
1262,get templates,VB NNS,liferay-portal,JournalWebDAVStorageImpl.java
1263,set ddm structure local service,VB NNP NN JJ NN,liferay-portal,JournalWebDAVStorageImpl.java
1264,set ddm template local service,VB NNP NN JJ NN,liferay-portal,JournalWebDAVStorageImpl.java
1265,add page,VB NN,liferay-portal,WikiPageService.java
1266,add page attachment,VB NN NN,liferay-portal,WikiPageService.java
1267,add page attachments,VB NN NNS,liferay-portal,WikiPageService.java
1268,add temp file entry,VB JJ NN NN,liferay-portal,WikiPageService.java
1269,add temp page attachment,VB JJ NN NN,liferay-portal,WikiPageService.java
1270,change parent,VB NN,liferay-portal,WikiPageService.java
1271,copy page attachments,VB NN NNS,liferay-portal,WikiPageService.java
1272,delete page,VB NN,liferay-portal,WikiPageService.java
1273,delete page attachment,VB NN NN,liferay-portal,WikiPageService.java
1274,delete page attachments,VB NN NNS,liferay-portal,WikiPageService.java
1275,delete temp file entry,VB JJ NN NN,liferay-portal,WikiPageService.java
1276,delete trash page attachments,VB NN NN NNS,liferay-portal,WikiPageService.java
1277,discard draft,VB NN,liferay-portal,WikiPageService.java
1278,fetch page,VB NN,liferay-portal,WikiPageService.java
1279,get children,VB NNS,liferay-portal,WikiPageService.java
1280,get draft page,VB NN NN,liferay-portal,WikiPageService.java
1281,get node pages,VB NN NNS,liferay-portal,WikiPageService.java
1282,get node pages rss,VB NN NNS NNP,liferay-portal,WikiPageService.java
1283,get osgi service identifier,VB NNP NN NN,liferay-portal,WikiPageService.java
1284,get orphans,VB NNS,liferay-portal,WikiPageService.java
1285,get page,VB NN,liferay-portal,WikiPageService.java
1286,get pages,VB NNS,liferay-portal,WikiPageService.java
1287,get pages count,VB NNS NN,liferay-portal,WikiPageService.java
1288,get pages rss,VB NNS NNP,liferay-portal,WikiPageService.java
1289,get recent changes,VB JJ NNS,liferay-portal,WikiPageService.java
1290,get recent changes count,VB JJ NNS NN,liferay-portal,WikiPageService.java
1291,get temp file names,VB JJ NN NNS,liferay-portal,WikiPageService.java
1292,move page,VB NN,liferay-portal,WikiPageService.java
1293,move page attachment to trash,VB NN NN TO NN,liferay-portal,WikiPageService.java
1294,move page to trash,VB NN TO NN,liferay-portal,WikiPageService.java
1295,rename page,VB NN,liferay-portal,WikiPageService.java
1296,restore page attachment from trash,VB NN NN IN NN,liferay-portal,WikiPageService.java
1297,restore page from trash,VB NN IN NN,liferay-portal,WikiPageService.java
1298,revert page,VB NN,liferay-portal,WikiPageService.java
1299,subscribe page,VB NN,liferay-portal,WikiPageService.java
1300,unsubscribe page,VB NN,liferay-portal,WikiPageService.java
1301,update page,VB NN,liferay-portal,WikiPageService.java
1302,test get fields,VB VB NNS,liferay-portal,DDMFormTransformerTest.java
1303,to entity model,TO NN NN,liferay-portal,DLFileEntryTypeCacheModel.java
1304,set up class,VB RP NN,liferay-portal,DDMStructureLocalServiceTest.java
1305,test add structure missing required element attribute,VB VB NN VBG VBN NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1306,test add structure with duplicate element name,VB VB NN IN JJ NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1307,test add structure with duplicate element name in parent,VB VB NN IN JJ NN NN IN JJ,liferay-portal,DDMStructureLocalServiceTest.java
1308,test add structure with duplicate key,VB VB NN IN JJ NN,liferay-portal,DDMStructureLocalServiceTest.java
1309,test add structure with invalid element attribute,VB VB NN IN JJ NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1310,test add structure without definition,VB VB NN IN NN,liferay-portal,DDMStructureLocalServiceTest.java
1311,test add structure without name,VB VB NN IN NN,liferay-portal,DDMStructureLocalServiceTest.java
1312,test copy structure,VB NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1313,test delete structure,VB VB NN,liferay-portal,DDMStructureLocalServiceTest.java
1314,test delete structure referenced by templates,VB VB NN VBN IN NNS,liferay-portal,DDMStructureLocalServiceTest.java
1315,test fetch structure,VB NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1316,test get full hierarchy ddm form fields map,VB VB JJ NN NNP IN NNS NN,liferay-portal,DDMStructureLocalServiceTest.java
1317,test get structures,VB VB NNS,liferay-portal,DDMStructureLocalServiceTest.java
1318,test get templates,VB VB NNS,liferay-portal,DDMStructureLocalServiceTest.java
1319,test search by any status,VB NN IN DT NN,liferay-portal,DDMStructureLocalServiceTest.java
1320,test search by class name id,VB NN IN NN NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1321,test search by description,VB NN IN NN,liferay-portal,DDMStructureLocalServiceTest.java
1322,test search by draft status,VB NN IN NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1323,test search by keywords 1,VB NN IN NNS CD,liferay-portal,DDMStructureLocalServiceTest.java
1324,test search by keywords 2,VB NN IN NNS CD,liferay-portal,DDMStructureLocalServiceTest.java
1325,test search by name,VB NN IN NN,liferay-portal,DDMStructureLocalServiceTest.java
1326,test search by name and description,VB NN IN NN CC NN,liferay-portal,DDMStructureLocalServiceTest.java
1327,test search by name or description,VB NN IN NN CC NN,liferay-portal,DDMStructureLocalServiceTest.java
1328,test search by non existing storage type,VB NN IN RB JJ NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1329,test search by storage type,VB NN IN NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1330,test search count,VB NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1331,test search count by keywords,VB NN NN IN NNS,liferay-portal,DDMStructureLocalServiceTest.java
1332,copy structure,VB NN,liferay-portal,DDMStructureLocalServiceTest.java
1333,get structure name,VB NN NN,liferay-portal,DDMStructureLocalServiceTest.java
1334,update structure,VB NN,liferay-portal,DDMStructureLocalServiceTest.java
1335,get array,VB NN,liferay-portal,ExportImportWebConfigurationUtil.java
1336,test create,VB VB,liferay-portal,SocialActivityCounterPersistenceTest.java
1337,test remove,VB VB,liferay-portal,SocialActivityCounterPersistenceTest.java
1338,test update new,VB NN JJ,liferay-portal,SocialActivityCounterPersistenceTest.java
1339,test update existing,VB NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1340,test count by group id,VB NN IN NN NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1341,test count by c_ c,VB NN IN FW FW,liferay-portal,SocialActivityCounterPersistenceTest.java
1342,test count by g_ c_ c_ o,VB NN IN FW FW FW FW,liferay-portal,SocialActivityCounterPersistenceTest.java
1343,test count by g_ c_ c_ n_ o_ s,VB NN IN FW FW FW FW FW FW,liferay-portal,SocialActivityCounterPersistenceTest.java
1344,test count by g_ c_ c_ n_ o_ e,VB NN IN FW FW FW FW FW FW,liferay-portal,SocialActivityCounterPersistenceTest.java
1345,test find by primary key existing,VB VB IN JJ NN JJ,liferay-portal,SocialActivityCounterPersistenceTest.java
1346,test find by primary key missing,VB VB IN JJ NN JJ,liferay-portal,SocialActivityCounterPersistenceTest.java
1347,test find all,VB VB DT,liferay-portal,SocialActivityCounterPersistenceTest.java
1348,get order by comparator,VB NN IN NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1349,test fetch by primary key existing,VB NN IN JJ NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1350,test fetch by primary key missing,VB NN IN JJ NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1351,test fetch by primary keys with multiple primary keys where all primary keys exist,VB NN IN JJ NNS IN JJ JJ NNS WRB DT JJ NNS VBP,liferay-portal,SocialActivityCounterPersistenceTest.java
1352,test fetch by primary keys with multiple primary keys where no primary keys exist,VB NN IN JJ NNS IN JJ JJ NNS WRB DT JJ NNS VBP,liferay-portal,SocialActivityCounterPersistenceTest.java
1353,test fetch by primary keys with multiple primary keys where some primary keys exist,VB NN IN JJ NNS IN JJ JJ NNS WRB DT JJ NNS VBP,liferay-portal,SocialActivityCounterPersistenceTest.java
1354,test fetch by primary keys with no primary keys,VB NN IN JJ NNS IN DT JJ NNS,liferay-portal,SocialActivityCounterPersistenceTest.java
1355,test fetch by primary keys with one primary key,VB NN IN JJ NNS IN CD NN NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1356,test actionable dynamic query,VB JJ JJ NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1357,perform action,VB NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1358,test dynamic query by primary key existing,VB JJ NN IN JJ NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1359,test dynamic query by primary key missing,VB JJ NN IN JJ NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1360,test dynamic query by projection existing,VB JJ NN IN NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1361,test dynamic query by projection missing,VB JJ NN IN NN VBG,liferay-portal,SocialActivityCounterPersistenceTest.java
1362,test reset original values,VB NN JJ NNS,liferay-portal,SocialActivityCounterPersistenceTest.java
1363,add social activity counter,VB JJ NN NN,liferay-portal,SocialActivityCounterPersistenceTest.java
1364,service,NN,liferay-portal,BaseWebServerTestCase.java
1365,get servlet,VB NN,liferay-portal,BaseWebServerTestCase.java
1366,get wrapped comment,VB JJ NN,liferay-portal,CommentImpl.java
1367,activate sync site,VB NN NN,liferay-portal,SyncSiteService.java
1368,deactivate sync site,VB NN NN,liferay-portal,SyncSiteService.java
1369,delete sync site,VB NN NN,liferay-portal,SyncSiteService.java
1370,fetch sync site,VB NN NN,liferay-portal,SyncSiteService.java
1371,find sync sites,VB NN NNS,liferay-portal,SyncSiteService.java
1372,get active sync site ids,VB JJ NN NN NNS,liferay-portal,SyncSiteService.java
1373,get sync site persistence,VB NN NN NN,liferay-portal,SyncSiteService.java
1374,register model listener,VB NN NN,liferay-portal,SyncSiteService.java
1375,set file path name,VB NN NN NN,liferay-portal,SyncSiteService.java
1376,unregister model listener,VB NN NN,liferay-portal,SyncSiteService.java
1377,delete sync files,VB NN NNS,liferay-portal,SyncSiteService.java
1378,get attribute class,VB NN NN,liferay-portal,AssetCategory.java
1379,get type class,VB NN NN,liferay-portal,AssetCategory.java
1380,get ancestors,VB NNS,liferay-portal,AssetCategory.java
1381,get parent category,VB NN NN,liferay-portal,AssetCategory.java
1382,is root category,VBZ NN NN,liferay-portal,AssetCategory.java
1383,do process action,VB NN NN,liferay-portal,PublishPortletMVCActionCommand.java
1384,get jsp path,VB NNP NN,liferay-portal,PortalSettingsOpenSSOAuthenticationDynamicInclude.java
1385,get log,VB NN,liferay-portal,PortalSettingsOpenSSOAuthenticationDynamicInclude.java
1386,set servlet context,VB NN NN,liferay-portal,PortalSettingsOpenSSOAuthenticationDynamicInclude.java
1387,add record set,VB NN NN,liferay-portal,DDLRecordSetTestHelper.java
1388,get attribute definitions,VB NN NNS,liferay-portal,ExtendedObjectClassDefinition.java
1389,get extension attributes,VB NN NNS,liferay-portal,ExtendedObjectClassDefinition.java
1390,get extension uris,VB NN NNPS,liferay-portal,ExtendedObjectClassDefinition.java
1391,test results when total less than start and delta is bigger than total,VB NNS WRB NN JJR IN NN CC NN VBZ JJR IN JJ,liferay-portal,SearchPaginationTest.java
1392,test results when total less than start and delta is one,VB NNS WRB NN JJR IN NN CC NN VBZ CD,liferay-portal,SearchPaginationTest.java
1393,test results when total less than start and delta is three,VB NNS WRB NN JJR IN NN CC NN VBZ CD,liferay-portal,SearchPaginationTest.java
1394,test search with one result,VB NN IN CD NN,liferay-portal,SearchPaginationTest.java
1395,test search with one result when total equals start,VB NN IN CD NN WRB JJ VBZ VBP,liferay-portal,SearchPaginationTest.java
1396,test search with one result when total less than start,VB NN IN CD NN WRB NN JJR IN NN,liferay-portal,SearchPaginationTest.java
1397,test search without results,VB NN IN NNS,liferay-portal,SearchPaginationTest.java
1398,test search without results when total equals start,VB NN IN NNS WRB NN NNS VBP,liferay-portal,SearchPaginationTest.java
1399,test search without results when total less than start,VB NN IN NNS WRB NN JJR IN NN,liferay-portal,SearchPaginationTest.java
1400,test search without results when total less than start and delta is one,VB NN IN NNS WRB NN JJR IN NN CC NN VBZ CD,liferay-portal,SearchPaginationTest.java
1401,test search with results,VB NN IN NNS,liferay-portal,SearchPaginationTest.java
1402,test search with results when total equals start,VB NN IN NNS WRB NN NNS VBP,liferay-portal,SearchPaginationTest.java
1403,test search with results when total less than start,VB NN IN NNS WRB NN JJR IN NN,liferay-portal,SearchPaginationTest.java
1404,test search with results when total less than start and delta is one,VB NN IN NNS WRB NN JJR IN NN CC NN VBZ CD,liferay-portal,SearchPaginationTest.java
1405,get search with one result,VB NN IN CD NN,liferay-portal,SearchPaginationTest.java
1406,get search without results,VB NN IN NNS,liferay-portal,SearchPaginationTest.java
1407,test results,VB NNS,liferay-portal,SearchPaginationTest.java
1408,get choice,VB NN,liferay-portal,PollsVoteImpl.java
1409,process action,VB NN,liferay-portal,BaseTransactionalMVCActionCommand.java
1410,do transactional command,VBP JJ NN,liferay-portal,BaseTransactionalMVCActionCommand.java
1411,persist,VB,liferay-portal,KaleoNotificationRecipientBaseImpl.java
1412,add whip configuration,VB NN NN,liferay-portal,WhipPlugin.java
1413,add whip dependencies,VB NN NNS,liferay-portal,WhipPlugin.java
1414,apply to default tasks,VB TO NN NNS,liferay-portal,WhipPlugin.java
1415,add asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1416,add category property,VB NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1417,create asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1418,delete asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1419,delete category properties,VB NN NNS,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1420,delete category property,VB NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1421,delete persisted model,VB VBN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1422,dynamic query,JJ NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1423,dynamic query count,JJ NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1424,fetch asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1425,get actionable dynamic query,VB JJ JJ NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1426,get asset category properties,VB NN NN NNS,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1427,get asset category properties count,VB NN NN NNS NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1428,get asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1429,get category properties,VB NN NNS,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1430,get category property,VB NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1431,get category property values,VB NN NN NNS,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1432,get indexable actionable dynamic query,VB JJ JJ JJ NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1433,get persisted model,VB VBN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1434,update asset category property,VB NN NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1435,update category property,VB NN NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1436,get service,VB NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1437,set service,VB NN,liferay-portal,AssetCategoryPropertyLocalServiceUtil.java
1438,find service,VB NN,liferay-portal,ServiceLocator.java
1439,get service name,VB NN NN,liferay-portal,ServiceLocator.java
1440,after properties set,IN NNS VBD,liferay-portal,ServiceBeanAutoProxyCreator.java
1441,set bean matcher,VB NN NN,liferay-portal,ServiceBeanAutoProxyCreator.java
1442,set method interceptor,VB NN NN,liferay-portal,ServiceBeanAutoProxyCreator.java
1443,customize proxy factory,VB NN NN,liferay-portal,ServiceBeanAutoProxyCreator.java
1444,create aop proxy,VB NNS NN,liferay-portal,ServiceBeanAutoProxyCreator.java
1445,get advices and advisors for bean,VB NNS CC NNS IN NN,liferay-portal,ServiceBeanAutoProxyCreator.java
1446,convert json ml array to xml,VB NNP NNP NN TO NNP,liferay-portal,JSONFactoryImpl.java
1447,convert json ml object to xml,VB NNP NNP NN TO NNP,liferay-portal,JSONFactoryImpl.java
1448,convert xml to json ml array,VB NNP TO NNP NNP NN,liferay-portal,JSONFactoryImpl.java
1449,convert xml to json ml object,VB NNP TO NNP NNP NN,liferay-portal,JSONFactoryImpl.java
1450,create java script normalizer json transformer,VB NN NN NN NNP NN,liferay-portal,JSONFactoryImpl.java
1451,create json array,VB NNP NN,liferay-portal,JSONFactoryImpl.java
1452,create json deserializer,VB NNP NN,liferay-portal,JSONFactoryImpl.java
1453,create json object,VB NNP NN,liferay-portal,JSONFactoryImpl.java
1454,create json serializer,VB NNP NN,liferay-portal,JSONFactoryImpl.java
