,ID,TYPE,DECLARATION,PROJECT,FILE
367,367,void,"setPort(int port)
",hadoop,NodeIdPBImpl.java
368,368,void,"build()
",hadoop,NodeIdPBImpl.java
369,369,void,"testReflect(Object value, String schema) throws Exception
",hadoop,AvroTestUtil.java
373,373,void,"emitRecord(String contextName, String recordName, OutputRecord outRec) throws IOException
",hadoop,GangliaContext.java
374,374,void,"emitMetric(String name, String type, String value) throws IOException
",hadoop,GangliaContext.java
375,375,String,"getUnits(String metricName)
",hadoop,GangliaContext.java
376,376,int,"getSlope(String metricName)
",hadoop,GangliaContext.java
377,377,int,"getTmax(String metricName)
",hadoop,GangliaContext.java
378,378,int,"getDmax(String metricName)
",hadoop,GangliaContext.java
379,379,void,"xdr_string(String s)
",hadoop,GangliaContext.java
380,380,void,"pad()
",hadoop,GangliaContext.java
381,381,void,"xdr_int(int i)
",hadoop,GangliaContext.java
383,383,void,"tearDown() throws Exception
",hadoop,TestMRCredentials.java
384,384,void,"createKeysAsJson(String fileName) throws FileNotFoundException, IOException
",hadoop,TestMRCredentials.java
385,385,void,"test() throws IOException
",hadoop,TestMRCredentials.java
386,386,void,"transition(RMStateStore store, RMStateStoreEvent event)
",hadoop,RMStateStore.java
391,391,Container,"getMasterContainer()
",hadoop,RMStateStore.java
392,392,ApplicationAttemptId,"getAttemptId()
",hadoop,RMStateStore.java
393,393,Credentials,"getAppAttemptCredentials()
",hadoop,RMStateStore.java
394,394,RMAppAttemptState,"getState()
",hadoop,RMStateStore.java
395,395,String,"getFinalTrackingUrl()
",hadoop,RMStateStore.java
396,396,String,"getDiagnostics()
",hadoop,RMStateStore.java
398,398,FinalApplicationStatus,"getFinalApplicationStatus()
",hadoop,RMStateStore.java
399,399,int,"getAMContainerExitStatus()
",hadoop,RMStateStore.java
400,400,ApplicationId,"getAppId()
",hadoop,RMStateStore.java
401,401,long,"getSubmitTime()
",hadoop,RMStateStore.java
403,403,int,"getAttemptCount()
",hadoop,RMStateStore.java
404,404,ApplicationSubmissionContext,"getApplicationSubmissionContext()
",hadoop,RMStateStore.java
405,405,ApplicationAttemptState,"getAttempt(ApplicationAttemptId attemptId)
",hadoop,RMStateStore.java
406,406,String,"getUser()
",hadoop,RMStateStore.java
410,410,Long>,"getTokenState()
",hadoop,RMStateStore.java
411,411,Set<DelegationKey>,"getMasterKeyState()
",hadoop,RMStateStore.java
412,412,int,"getDTSequenceNumber()
",hadoop,RMStateStore.java
413,413,ApplicationState>,"getApplicationState()
",hadoop,RMStateStore.java
414,414,RMDTSecretManagerState,"getRMDTSecretManagerState()
",hadoop,RMStateStore.java
415,415,AMRMTokenSecretManagerState,"getAMRMTokenSecretManagerState()
",hadoop,RMStateStore.java
416,416,void,"setRMDispatcher(Dispatcher dispatcher)
",hadoop,RMStateStore.java
418,418,void,"serviceStart() throws Exception
",hadoop,RMStateStore.java
419,419,void,"initInternal(Configuration conf) throws Exception
",hadoop,RMStateStore.java
420,420,void,"startInternal() throws Exception
",hadoop,RMStateStore.java
422,422,void,"closeInternal() throws Exception
",hadoop,RMStateStore.java
427,427,int,"getAndIncrementEpoch() throws Exception
",hadoop,RMStateStore.java
428,428,RMState,"loadState() throws Exception
",hadoop,RMStateStore.java
429,429,void,"storeNewApplication(RMApp app)
",hadoop,RMStateStore.java
430,430,void,"updateApplicationState(ApplicationState appState)
",hadoop,RMStateStore.java
431,431,void,"storeApplicationStateInternal(ApplicationId appId, ApplicationStateData appStateData) throws Exception
",hadoop,RMStateStore.java
432,432,void,"updateApplicationStateInternal(ApplicationId appId, ApplicationStateData appStateData) throws Exception
",hadoop,RMStateStore.java
433,433,void,"storeNewApplicationAttempt(RMAppAttempt appAttempt)
",hadoop,RMStateStore.java
434,434,void,"updateApplicationAttemptState(ApplicationAttemptState attemptState)
",hadoop,RMStateStore.java
435,435,void,"storeApplicationAttemptStateInternal(ApplicationAttemptId attemptId, ApplicationAttemptStateData attemptStateData) throws Exception
",hadoop,RMStateStore.java
436,436,void,"updateApplicationAttemptStateInternal(ApplicationAttemptId attemptId, ApplicationAttemptStateData attemptStateData) throws Exception
",hadoop,RMStateStore.java
437,437,void,"storeRMDelegationTokenAndSequenceNumber(RMDelegationTokenIdentifier rmDTIdentifier, Long renewDate, int latestSequenceNumber)
",hadoop,RMStateStore.java
438,438,void,"storeRMDelegationTokenAndSequenceNumberState(RMDelegationTokenIdentifier rmDTIdentifier, Long renewDate, int latestSequenceNumber) throws Exception
",hadoop,RMStateStore.java
439,439,void,"removeRMDelegationToken(RMDelegationTokenIdentifier rmDTIdentifier, int sequenceNumber)
",hadoop,RMStateStore.java
440,440,void,"removeRMDelegationTokenState(RMDelegationTokenIdentifier rmDTIdentifier) throws Exception
",hadoop,RMStateStore.java
441,441,void,"updateRMDelegationTokenAndSequenceNumber(RMDelegationTokenIdentifier rmDTIdentifier, Long renewDate, int latestSequenceNumber)
",hadoop,RMStateStore.java
442,442,void,"updateRMDelegationTokenAndSequenceNumberInternal(RMDelegationTokenIdentifier rmDTIdentifier, Long renewDate, int latestSequenceNumber) throws Exception
",hadoop,RMStateStore.java
443,443,void,"storeRMDTMasterKey(DelegationKey delegationKey)
",hadoop,RMStateStore.java
444,444,void,"storeRMDTMasterKeyState(DelegationKey delegationKey) throws Exception
",hadoop,RMStateStore.java
445,445,void,"removeRMDTMasterKey(DelegationKey delegationKey)
",hadoop,RMStateStore.java
446,446,void,"removeRMDTMasterKeyState(DelegationKey delegationKey) throws Exception
",hadoop,RMStateStore.java
447,447,void,"storeOrUpdateAMRMTokenSecretManagerState(AMRMTokenSecretManagerState amrmTokenSecretManagerState, boolean isUpdate)
",hadoop,RMStateStore.java
448,448,void,"removeApplication(RMApp app)
",hadoop,RMStateStore.java
449,449,void,"removeApplicationStateInternal(ApplicationState appState) throws Exception
",hadoop,RMStateStore.java
450,450,Credentials,"getCredentialsFromAppAttempt(RMAppAttempt appAttempt)
",hadoop,RMStateStore.java
451,451,void,"handleStoreEvent(RMStateStoreEvent event)
",hadoop,RMStateStore.java
452,452,void,"notifyStoreOperationFailed(Exception failureCause)
",hadoop,RMStateStore.java
453,453,void,"notifyApplication(RMAppEvent event)
",hadoop,RMStateStore.java
454,454,void,"notifyApplicationAttempt(RMAppAttemptEvent event)
",hadoop,RMStateStore.java
455,455,void,"handle(RMStateStoreEvent event)
",hadoop,RMStateStore.java
456,456,void,"deleteStore() throws Exception
",hadoop,RMStateStore.java
457,457,void,"journal(JournalInfo journalInfo, long epoch, long firstTxnId, int numTxns, byte[] records) throws IOException
",hadoop,JournalProtocol.java
458,458,void,"startLogSegment(JournalInfo journalInfo, long epoch, long txid) throws IOException
",hadoop,JournalProtocol.java
459,459,FenceResponse,"fence(JournalInfo journalInfo, long epoch, String fencerInfo) throws IOException
",hadoop,JournalProtocol.java
460,460,void,"testSortedMapWritable()
",hadoop,TestSortedMapWritable.java
461,461,void,"testForeignClass()
",hadoop,TestSortedMapWritable.java
462,462,void,"testEqualsAndHashCode()
",hadoop,TestSortedMapWritable.java
463,463,void,"testPutAll()
",hadoop,TestSortedMapWritable.java
464,464,String,"getScheme()
",hadoop,HarFileSystem.java
465,465,void,"initializeMetadataCache(Configuration conf)
",hadoop,HarFileSystem.java
466,466,void,"initialize(URI name, Configuration conf) throws IOException
",hadoop,HarFileSystem.java
467,467,Configuration,"getConf()
",hadoop,HarFileSystem.java
468,468,int,"getHarVersion() throws IOException
",hadoop,HarFileSystem.java
469,469,Path,"archivePath(Path p)
",hadoop,HarFileSystem.java
470,470,URI,"decodeHarURI(URI rawURI, Configuration conf) throws IOException
",hadoop,HarFileSystem.java
471,471,String,"decodeString(String str) throws UnsupportedEncodingException
",hadoop,HarFileSystem.java
472,472,String,"decodeFileName(String fname) throws UnsupportedEncodingException
",hadoop,HarFileSystem.java
473,473,Path,"getWorkingDirectory()
",hadoop,HarFileSystem.java
474,474,Path,"getInitialWorkingDirectory()
",hadoop,HarFileSystem.java
475,475,FsStatus,"getStatus(Path p) throws IOException
",hadoop,HarFileSystem.java
476,476,String,"getHarAuth(URI underLyingUri)
",hadoop,HarFileSystem.java
477,477,URI,"getCanonicalUri()
",hadoop,HarFileSystem.java
478,478,URI,"canonicalizeUri(URI uri)
",hadoop,HarFileSystem.java
479,479,URI,"getUri()
",hadoop,HarFileSystem.java
480,480,void,"checkPath(Path path)
",hadoop,HarFileSystem.java
481,481,Path,"resolvePath(Path p) throws IOException
",hadoop,HarFileSystem.java
482,482,Path,"getPathInHar(Path path)
",hadoop,HarFileSystem.java
483,483,Path,"makeRelative(String initial, Path p)
",hadoop,HarFileSystem.java
484,484,Path,"makeQualified(Path path)
",hadoop,HarFileSystem.java
485,485,BlockLocation[],"fixBlockLocations(BlockLocation[] locations, long start, long len, long fileOffsetInHar)
",hadoop,HarFileSystem.java
486,486,BlockLocation[],"getFileBlockLocations(FileStatus file, long start, long len) throws IOException
",hadoop,HarFileSystem.java
487,487,int,"getHarHash(Path p)
",hadoop,HarFileSystem.java
488,488,void,"fileStatusesInIndex(HarStatus parent, List<FileStatus> statuses) throws IOException
",hadoop,HarFileSystem.java
489,489,FileStatus,"toFileStatus(HarStatus h, Map<String, FileStatus> cache) throws IOException
",hadoop,HarFileSystem.java
490,490,boolean,"isDir()
",hadoop,HarFileSystem.java
491,491,String,"getName()
",hadoop,HarFileSystem.java
492,492,String,"getPartName()
",hadoop,HarFileSystem.java
493,493,long,"getStartIndex()
",hadoop,HarFileSystem.java
494,494,long,"getLength()
",hadoop,HarFileSystem.java
495,495,long,"getModificationTime()
",hadoop,HarFileSystem.java
496,496,FileStatus,"getFileStatus(Path f) throws IOException
",hadoop,HarFileSystem.java
497,497,HarStatus,"getFileHarStatus(Path f) throws IOException
",hadoop,HarFileSystem.java
498,498,FileChecksum,"getFileChecksum(Path f, long length)
",hadoop,HarFileSystem.java
499,499,FSDataInputStream,"open(Path f, int bufferSize) throws IOException
",hadoop,HarFileSystem.java
500,500,FileSystem[],"getChildFileSystems()
",hadoop,HarFileSystem.java
501,501,FSDataOutputStream,"create(Path f, FsPermission permission, boolean overwrite, int bufferSize, short replication, long blockSize, Progressable progress) throws IOException
",hadoop,HarFileSystem.java
502,502,FSDataOutputStream,"createNonRecursive(Path f, boolean overwrite, int bufferSize, short replication, long blockSize, Progressable progress) throws IOException
",hadoop,HarFileSystem.java
503,503,FSDataOutputStream,"append(Path f, int bufferSize, Progressable progress) throws IOException
",hadoop,HarFileSystem.java
505,505,boolean,"setReplication(Path src, short replication) throws IOException
",hadoop,HarFileSystem.java
506,506,boolean,"rename(Path src, Path dst) throws IOException
",hadoop,HarFileSystem.java
508,508,boolean,"delete(Path f, boolean recursive) throws IOException
",hadoop,HarFileSystem.java
509,509,FileStatus[],"listStatus(Path f) throws IOException
",hadoop,HarFileSystem.java
510,510,Path,"getHomeDirectory()
",hadoop,HarFileSystem.java
511,511,void,"setWorkingDirectory(Path newDir)
",hadoop,HarFileSystem.java
512,512,boolean,"mkdirs(Path f, FsPermission permission) throws IOException
",hadoop,HarFileSystem.java
513,513,void,"copyFromLocalFile(boolean delSrc, boolean overwrite, Path src, Path dst) throws IOException
",hadoop,HarFileSystem.java
515,515,void,"copyToLocalFile(boolean delSrc, Path src, Path dst) throws IOException
",hadoop,HarFileSystem.java
516,516,Path,"startLocalOutput(Path fsOutputFile, Path tmpLocalFile) throws IOException
",hadoop,HarFileSystem.java
517,517,void,"completeLocalOutput(Path fsOutputFile, Path tmpLocalFile) throws IOException
",hadoop,HarFileSystem.java
518,518,void,"setOwner(Path p, String username, String groupname) throws IOException
",hadoop,HarFileSystem.java
519,519,void,"setTimes(Path p, long mtime, long atime) throws IOException
",hadoop,HarFileSystem.java
520,520,void,"setPermission(Path p, FsPermission permission) throws IOException
",hadoop,HarFileSystem.java
521,521,int,"available() throws IOException
",hadoop,HarFileSystem.java
523,523,void,"mark(int readLimit)
",hadoop,HarFileSystem.java
524,524,void,"reset() throws IOException
",hadoop,HarFileSystem.java
528,528,long,"skip(long n) throws IOException
",hadoop,HarFileSystem.java
529,529,long,"getPos() throws IOException
",hadoop,HarFileSystem.java
530,530,void,"seek(final long pos) throws IOException
",hadoop,HarFileSystem.java
531,531,void,"validatePosition(final long pos) throws IOException
",hadoop,HarFileSystem.java
532,532,boolean,"seekToNewSource(long targetPos) throws IOException
",hadoop,HarFileSystem.java
534,534,void,"readFully(long pos, byte[] b, int offset, int length) throws IOException
",hadoop,HarFileSystem.java
536,536,void,"setReadahead(Long readahead) throws IOException
",hadoop,HarFileSystem.java
537,537,void,"setDropBehind(Boolean dropBehind) throws IOException
",hadoop,HarFileSystem.java
538,538,FileStatus,"getPartFileStatus(Path partPath) throws IOException
",hadoop,HarFileSystem.java
539,539,long,"getMasterIndexTimestamp()
",hadoop,HarFileSystem.java
540,540,long,"getArchiveIndexTimestamp()
",hadoop,HarFileSystem.java
541,541,int,"getVersion()
",hadoop,HarFileSystem.java
542,542,void,"parseMetaData() throws IOException
",hadoop,HarFileSystem.java
543,543,HarMetaData,"getMetadata()
",hadoop,HarFileSystem.java
544,544,boolean,"removeEldestEntry(Map.Entry<K, V> eldest)
",hadoop,HarFileSystem.java
545,545,FsServerDefaults,"getServerDefaults() throws IOException
",hadoop,HarFileSystem.java
547,547,long,"getUsed() throws IOException
",hadoop,HarFileSystem.java
548,548,long,"getDefaultBlockSize()
",hadoop,HarFileSystem.java
550,550,short,"getDefaultReplication()
",hadoop,HarFileSystem.java
552,552,String,"getTestString() throws Exception
",hadoop,TestUTF8.java
553,553,void,"testWritable() throws Exception
",hadoop,TestUTF8.java
554,554,void,"testGetBytes() throws Exception
",hadoop,TestUTF8.java
555,555,void,"testIO() throws Exception
",hadoop,TestUTF8.java
556,556,void,"testNullEncoding() throws Exception
",hadoop,TestUTF8.java
557,557,void,"testNonBasicMultilingualPlane() throws Exception
",hadoop,TestUTF8.java
558,558,void,"testInvalidUTF8() throws Exception
",hadoop,TestUTF8.java
559,559,void,"test5ByteUtf8Sequence() throws Exception
",hadoop,TestUTF8.java
560,560,void,"testInvalidUTF8Truncated() throws Exception
",hadoop,TestUTF8.java
562,562,void,"setProgressable(Progressable reporter)
",hadoop,BasicTypeSorterBase.java
563,563,void,"addKeyValue(int recordOffset, int keyLength, int valLength)
",hadoop,BasicTypeSorterBase.java
564,564,void,"setInputBuffer(OutputBuffer buffer)
",hadoop,BasicTypeSorterBase.java
565,565,long,"getMemoryUtilized()
",hadoop,BasicTypeSorterBase.java
566,566,RawKeyValueIterator,"sort()
",hadoop,BasicTypeSorterBase.java
568,568,void,"grow()
",hadoop,BasicTypeSorterBase.java
570,570,Progress,"getProgress()
",hadoop,BasicTypeSorterBase.java
571,571,DataOutputBuffer,"getKey() throws IOException
",hadoop,BasicTypeSorterBase.java
572,572,ValueBytes,"getValue() throws IOException
",hadoop,BasicTypeSorterBase.java
573,573,boolean,"next() throws IOException
",hadoop,BasicTypeSorterBase.java
577,577,void,"writeUncompressedBytes(DataOutputStream outStream) throws IOException
",hadoop,BasicTypeSorterBase.java
578,578,void,"writeCompressedBytes(DataOutputStream outStream) throws IllegalArgumentException, IOException
",hadoop,BasicTypeSorterBase.java
579,579,String[],"getExecString()
",hadoop,TestShell.java
580,580,void,"parseExecResult(BufferedReader lines) throws IOException
",hadoop,TestShell.java
581,581,int,"getRunCount()
",hadoop,TestShell.java
582,582,void,"testInterval() throws IOException
",hadoop,TestShell.java
583,583,void,"assertInString(String string, String search)
",hadoop,TestShell.java
584,584,void,"testShellCommandExecutorToString() throws Throwable
",hadoop,TestShell.java
585,585,void,"testShellCommandTimeout() throws Throwable
",hadoop,TestShell.java
586,586,int,"countTimerThreads()
",hadoop,TestShell.java
587,587,void,"testShellCommandTimerLeak() throws Exception
",hadoop,TestShell.java
589,589,void,"testLogalyzer() throws Exception
",hadoop,TestLogalyzer.java
590,590,void,"checkResult() throws Exception
",hadoop,TestLogalyzer.java
591,591,Path,"createLogFile() throws IOException
",hadoop,TestLogalyzer.java
593,593,ApplicationId,"getApplicationId()
",hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
594,594,void,"setApplicationId(ApplicationId appId)
",hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
595,595,String,"getTargetQueue()
",hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
596,596,void,"setTargetQueue(String queue)
",hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
598,598,void,"mergeLocalToProto()
",hadoop,MoveApplicationAcrossQueuesRequestPBImpl.java
605,605,void,"updateProcessTree()
",hadoop,TestResourceCalculatorProcessTree.java
606,606,String,"getProcessTreeDump()
",hadoop,TestResourceCalculatorProcessTree.java
607,607,long,"getCumulativeRssmem(int age)
",hadoop,TestResourceCalculatorProcessTree.java
608,608,long,"getCumulativeVmem(int age)
",hadoop,TestResourceCalculatorProcessTree.java
609,609,long,"getCumulativeCpuTime()
",hadoop,TestResourceCalculatorProcessTree.java
610,610,boolean,"checkPidPgrpidForMatch()
",hadoop,TestResourceCalculatorProcessTree.java
611,611,void,"testCreateInstance()
",hadoop,TestResourceCalculatorProcessTree.java
612,612,void,"testCreatedInstanceConfigured()
",hadoop,TestResourceCalculatorProcessTree.java
613,613,Collection,"constructorFailParams()
",hadoop,TestServerConstructor.java
614,614,void,"constructorFail()
",hadoop,TestServerConstructor.java
615,615,void,"writeVInt(DataOutput out, int n) throws IOException
",hadoop,Utils.java
616,616,void,"writeVLong(DataOutput out, long n) throws IOException
",hadoop,Utils.java
617,617,int,"readVInt(DataInput in) throws IOException
",hadoop,Utils.java
618,618,long,"readVLong(DataInput in) throws IOException
",hadoop,Utils.java
619,619,void,"writeString(DataOutput out, String s) throws IOException
",hadoop,Utils.java
620,620,String,"readString(DataInput in) throws IOException
",hadoop,Utils.java
621,621,void,"write(DataOutput out) throws IOException
",hadoop,Utils.java
622,622,int,"getMajor()
",hadoop,Utils.java
623,623,int,"getMinor()
",hadoop,Utils.java
624,624,int,"size()
",hadoop,Utils.java
626,626,boolean,"compatibleWith(Version other)
",hadoop,Utils.java
627,627,int,"compareTo(Version that)
",hadoop,Utils.java
630,630,int,"lowerBound(List<? extends T> list, T key, Comparator<? super T> cmp)
",hadoop,Utils.java
631,631,int,"upperBound(List<? extends T> list, T key, Comparator<? super T> cmp)
",hadoop,Utils.java
634,634,void,"testClusterAdmins()
",hadoop,TestJobAclsManager.java
635,635,void,"testClusterNoAdmins()
",hadoop,TestJobAclsManager.java
636,636,void,"testAclsOff()
",hadoop,TestJobAclsManager.java
637,637,void,"testGroups()
",hadoop,TestJobAclsManager.java
638,638,void,"setup() throws Exception
",hadoop,TestEncryptionZones.java
639,639,void,"teardown()
",hadoop,TestEncryptionZones.java
640,640,void,"assertNumZones(final int numZones) throws IOException
",hadoop,TestEncryptionZones.java
641,641,void,"assertZonePresent(String keyName, String path) throws IOException
",hadoop,TestEncryptionZones.java
642,642,void,"testBasicOperations() throws Exception
",hadoop,TestEncryptionZones.java
644,644,void,"testListEncryptionZonesAsNonSuperUser() throws Exception
",hadoop,TestEncryptionZones.java
646,646,void,"testGetEZAsNonSuperUser() throws Exception
",hadoop,TestEncryptionZones.java
648,648,void,"doRenameEncryptionZone(FSTestWrapper wrapper) throws Exception
",hadoop,TestEncryptionZones.java
649,649,void,"testRenameFileSystem() throws Exception
",hadoop,TestEncryptionZones.java
650,650,void,"testRenameFileContext() throws Exception
",hadoop,TestEncryptionZones.java
651,651,FileEncryptionInfo,"getFileEncryptionInfo(Path path) throws Exception
",hadoop,TestEncryptionZones.java
652,652,void,"testReadWrite() throws Exception
",hadoop,TestEncryptionZones.java
653,653,void,"testCipherSuiteNegotiation() throws Exception
",hadoop,TestEncryptionZones.java
654,654,void,"testCreateEZWithNoProvider() throws Exception
",hadoop,TestEncryptionZones.java
655,655,void,"startFileAfterGenerateKey() throws IOException
",hadoop,TestEncryptionZones.java
656,656,Void,"call() throws Exception
",hadoop,TestEncryptionZones.java
658,658,void,"doFault() throws Exception
",hadoop,TestEncryptionZones.java
659,659,void,"doCleanup() throws Exception
",hadoop,TestEncryptionZones.java
660,660,void,"testStartFileRetry() throws Exception
",hadoop,TestEncryptionZones.java
668,668,LoggedJob,"rawNextJob() throws IOException
",hadoop,DeskewedJobTraceReader.java
669,669,LoggedJob,"nextJob() throws IOException, OutOfOrderException
",hadoop,DeskewedJobTraceReader.java
670,670,void,"fillSkewBuffer() throws IOException
",hadoop,DeskewedJobTraceReader.java
671,671,int,"neededSkewBufferSize()
",hadoop,DeskewedJobTraceReader.java
673,673,long,"waitForVerification(int infoPort, FileSystem fs, Path file, int blocksValidated, long newTime, long timeout) throws IOException, TimeoutException
",hadoop,TestDatanodeBlockScanner.java
674,674,void,"testDatanodeBlockScanner() throws IOException, TimeoutException
",hadoop,TestDatanodeBlockScanner.java
675,675,boolean,"corruptReplica(ExtendedBlock blk, int replica) throws IOException
",hadoop,TestDatanodeBlockScanner.java
676,676,void,"testBlockCorruptionPolicy() throws Exception
",hadoop,TestDatanodeBlockScanner.java
677,677,void,"testBlockCorruptionRecoveryPolicy1() throws Exception
",hadoop,TestDatanodeBlockScanner.java
678,678,void,"testBlockCorruptionRecoveryPolicy2() throws Exception
",hadoop,TestDatanodeBlockScanner.java
679,679,void,"blockCorruptionRecoveryPolicy(int numDataNodes, short numReplicas, int numCorruptReplicas) throws Exception
",hadoop,TestDatanodeBlockScanner.java
680,680,void,"testTruncatedBlockReport() throws Exception
",hadoop,TestDatanodeBlockScanner.java
681,681,boolean,"changeReplicaLength(ExtendedBlock blk, int dnIndex, int lenDelta) throws IOException
",hadoop,TestDatanodeBlockScanner.java
682,682,void,"waitForBlockDeleted(ExtendedBlock blk, int dnIndex, long timeout) throws TimeoutException, InterruptedException
",hadoop,TestDatanodeBlockScanner.java
683,683,void,"testReplicaInfoParsing() throws Exception
",hadoop,TestDatanodeBlockScanner.java
684,684,void,"testReplicaInfoParsingSingle(String subDirPath)
",hadoop,TestDatanodeBlockScanner.java
685,685,void,"testDuplicateScans() throws Exception
",hadoop,TestDatanodeBlockScanner.java
687,687,EnumSet<E>,"toEnumSet(final Class<E> clazz, final E... values)
",hadoop,EnumSetParam.java
689,689,String,"getValueString()
",hadoop,EnumSetParam.java
692,692,void,"testDirNoAnnotation() throws Exception
",hadoop,TestHFSTestCase.java
693,693,void,"testJettyNoAnnotation() throws Exception
",hadoop,TestHFSTestCase.java
694,694,void,"testJettyNoAnnotation2() throws Exception
",hadoop,TestHFSTestCase.java
695,695,void,"testHdfsNoAnnotation() throws Exception
",hadoop,TestHFSTestCase.java
696,696,void,"testHdfsNoAnnotation2() throws Exception
",hadoop,TestHFSTestCase.java
697,697,void,"testDirAnnotation() throws Exception
",hadoop,TestHFSTestCase.java
698,698,void,"waitFor()
",hadoop,TestHFSTestCase.java
699,699,boolean,"evaluate() throws Exception
",hadoop,TestHFSTestCase.java
700,700,void,"waitForTimeOutRatio1()
",hadoop,TestHFSTestCase.java
702,702,void,"waitForTimeOutRatio2()
",hadoop,TestHFSTestCase.java
704,704,void,"sleepRatio1()
",hadoop,TestHFSTestCase.java
705,705,void,"sleepRatio2()
",hadoop,TestHFSTestCase.java
706,706,void,"testHadoopFileSystem() throws Exception
",hadoop,TestHFSTestCase.java
707,707,void,"doGet(HttpServletRequest req, HttpServletResponse resp) throws ServletException, IOException
",hadoop,TestHFSTestCase.java
708,708,void,"testJetty() throws Exception
",hadoop,TestHFSTestCase.java
709,709,void,"testException0()
",hadoop,TestHFSTestCase.java
710,710,void,"testException1()
",hadoop,TestHFSTestCase.java
711,711,void,"validateOptions() throws ParseException
",hadoop,RPCCallBenchmark.java
712,712,Options,"buildOptions()
",hadoop,RPCCallBenchmark.java
713,713,void,"processOptions(CommandLine line, Options opts) throws ParseException
",hadoop,RPCCallBenchmark.java
716,716,Server,"startServer(MyOptions opts) throws IOException
",hadoop,RPCCallBenchmark.java
717,717,long,"getTotalCpuTime(Iterable<? extends Thread> threads)
",hadoop,RPCCallBenchmark.java
719,719,TestContext,"setupClientTestContext(final MyOptions opts) throws IOException, InterruptedException
",hadoop,RPCCallBenchmark.java
721,721,void,"doAnAction() throws Exception
",hadoop,RPCCallBenchmark.java
722,722,String,"doEcho(String msg) throws Exception
",hadoop,RPCCallBenchmark.java
723,723,RpcServiceWrapper,"createRpcClient(MyOptions opts) throws IOException
",hadoop,RPCCallBenchmark.java
730,730,void,"setNameNodeLoggingLevel(Level logLevel)
",hadoop,NNThroughputBenchmark.java
731,731,String,"getOpName()
",hadoop,NNThroughputBenchmark.java
732,732,void,"parseArguments(List<String> args) throws IOException
",hadoop,NNThroughputBenchmark.java
733,733,void,"generateInputs(int[] opsPerThread) throws IOException
",hadoop,NNThroughputBenchmark.java
734,734,String,"getExecutionArgument(int daemonId)
",hadoop,NNThroughputBenchmark.java
735,735,long,"executeOp(int daemonId, int inputIdx, String arg1) throws IOException
",hadoop,NNThroughputBenchmark.java
736,736,void,"printResults()
",hadoop,NNThroughputBenchmark.java
737,737,void,"benchmark() throws IOException
",hadoop,NNThroughputBenchmark.java
738,738,boolean,"isInPorgress()
",hadoop,NNThroughputBenchmark.java
739,739,void,"cleanUp() throws IOException
",hadoop,NNThroughputBenchmark.java
740,740,int,"getNumOpsExecuted()
",hadoop,NNThroughputBenchmark.java
741,741,long,"getCumulativeTime()
",hadoop,NNThroughputBenchmark.java
742,742,long,"getElapsedTime()
",hadoop,NNThroughputBenchmark.java
743,743,long,"getAverageTime()
",hadoop,NNThroughputBenchmark.java
744,744,double,"getOpsPerSecond()
",hadoop,NNThroughputBenchmark.java
745,745,String,"getBaseDir()
",hadoop,NNThroughputBenchmark.java
746,746,String,"getClientName(int idx)
",hadoop,NNThroughputBenchmark.java
747,747,void,"incrementStats(int ops, long time)
",hadoop,NNThroughputBenchmark.java
748,748,boolean,"verifyOpArgument(List<String> args)
",hadoop,NNThroughputBenchmark.java
749,749,void,"printStats()
",hadoop,NNThroughputBenchmark.java
752,752,void,"benchmarkOne() throws IOException
",hadoop,NNThroughputBenchmark.java
753,753,boolean,"isInProgress()
",hadoop,NNThroughputBenchmark.java
754,754,void,"terminate()
",hadoop,NNThroughputBenchmark.java
764,764,void,"dummyActionNoSynch(int daemonId, int fileIdx)
",hadoop,NNThroughputBenchmark.java
785,785,int,"getNodePort(int num) throws IOException
",hadoop,NNThroughputBenchmark.java
787,787,String,"getXferAddr()
",hadoop,NNThroughputBenchmark.java
788,788,void,"register() throws IOException
",hadoop,NNThroughputBenchmark.java
790,790,boolean,"addBlock(Block blk)
",hadoop,NNThroughputBenchmark.java
791,791,void,"formBlockReport()
",hadoop,NNThroughputBenchmark.java
792,792,long[],"getBlockReportList()
",hadoop,NNThroughputBenchmark.java
794,794,int,"replicateBlocks() throws IOException
",hadoop,NNThroughputBenchmark.java
795,795,int,"transferBlocks(Block[] blocks, DatanodeInfo[][] xferTargets, String[][] targetStorageIDs) throws IOException
",hadoop,NNThroughputBenchmark.java
796,796,int,"getNumDatanodes()
",hadoop,NNThroughputBenchmark.java
800,800,ExtendedBlock,"addBlocks(String fileName, String clientName) throws IOException
",hadoop,NNThroughputBenchmark.java
807,807,void,"decommissionNodes() throws IOException
",hadoop,NNThroughputBenchmark.java
811,811,double,"getBlocksPerSecond()
",hadoop,NNThroughputBenchmark.java
813,813,void,"runBenchmark(Configuration conf, List<String> args) throws Exception
",hadoop,NNThroughputBenchmark.java
820,820,String,"getExpectedOwner() throws Exception
",hadoop,TestBlobMetadata.java
821,821,String,"getExpectedPermissionString(String permissionString) throws Exception
",hadoop,TestBlobMetadata.java
822,822,void,"testContainerVersionMetadata() throws Exception
",hadoop,TestBlobMetadata.java
