,Unnamed: 0,ID,TYPE,DECLARATION,PROJECT,FILE
2350,2350,2350,void,usedRatio,redis,server.c
2353,2353,2353,double,metric,redis,server.c
2354,2354,2354,void,current_value,redis,server.c
2355,2355,2355,int,current_base,redis,server.c
2356,2356,2356,void,factor,redis,server.c
2360,2360,2360,void,now_ms,redis,server.c
2362,2362,2362,long,time_idx,redis,server.c
2367,2367,2367,long,allow_eviction,redis,server.c
2369,2369,2369,client,in_usage,redis,server.c
2370,2370,2370,client,out_usage,redis,server.c
2371,2371,2371,mstime_t,update_daylight_info,redis,server.c
2372,2372,2372,client,ustime,redis,server.c
2374,2374,2374,size_t,update_cached_time,redis,server.c
2375,2375,2375,client,us,redis,server.c
2376,2376,2376,client,eventLoop,redis,server.c
2378,2378,2378,int,clientData,redis,server.c
2383,2383,2383,void,process_class,redis,server.c
2384,2384,2384,int,sfd,redis,server.c
2386,2386,2386,long,accept_handler,redis,server.c
2389,2389,2389,long,parent_name,redis,server.c
2390,2390,2390,long,sub_name,redis,server.c
2392,2392,2392,void,subcommand,redis,server.c
2393,2393,2393,void,declared_name,redis,server.c
2396,2396,2396,long,commands,redis,server.c
2397,2397,2397,void,oa,redis,server.c
2404,2404,2404,void,container,redis,server.c
2409,2409,2409,mstime_t,strict,redis,server.c
2438,2438,2438,redisOpArray,latency_histogram,redis,server.c
2439,2439,2439,sds,duration_hist,redis,server.c
2445,2445,2445,int,reply,redis,server.c
2457,2457,2457,int,fullerr,redis,server.c
2458,2458,2458,int,namelen,redis,server.c
2459,2459,2459,robj,unlink_unix_socket,redis,server.c
2461,2461,2461,int,error_code,redis,server.c
2467,2467,2467,int,replyFlags,redis,server.c
2478,2478,2478,,num_args,redis,server.c
2480,2480,2480,client,rs,redis,server.c
2489,2489,2489,client,use_map,redis,server.c
2495,2495,2495,char,with_flags,redis,server.c
2505,2505,2505,int,numcmds,redis,server.c
2518,2518,2518,client,histogram_name,redis,server.c
2519,2519,2519,uint64_t,histogram,redis,server.c
2520,2520,2520,client,replstate,redis,server.c
2523,2523,2523,client,tmp,redis,server.c
2529,2529,2529,client,section_dict,redis,server.c
2530,2530,2530,,sections,redis,server.c
2531,2531,2531,client,sec,redis,server.c
2534,2534,2534,client,defaults,redis,server.c
2535,2535,2535,,out_all,redis,server.c
2536,2536,2536,client,out_everything,redis,server.c
2537,2537,2537,,blocking_keys,redis,server.c
2538,2538,2538,client,blocking_keys_on_nokey,redis,server.c
2539,2539,2539,int,watched_keys,redis,server.c
2541,2541,2541,client,all_sections,redis,server.c
2542,2542,2542,client,everything,redis,server.c
2545,2545,2545,commandListFilter,warning,redis,server.c
2547,2547,2547,dict,listener,redis,server.c
2550,2550,2550,client,purpose,redis,server.c
2551,2551,2551,dict,info_type,redis,server.c
2552,2552,2552,int,pname,redis,server.c
2554,2554,2554,client,keys,redis,server.c
2557,2557,2557,client,size_hint,redis,server.c
2561,2561,2561,long,exec_name,redis,server.c
2562,2562,2562,long,allocation_size,redis,server.c
2563,2563,2563,sds,varname,redis,server.c
2569,2569,2569,char,cpulist,redis,server.c
2570,2570,2570,sds,sd_notify_msg,redis,server.c
2571,2571,2571,dict,mode,redis,server.c
2576,2576,2576,double,score,redis,t_zset.c
2577,2577,2577,sds,ele,redis,t_zset.c
2579,2579,2579,zskiplistNode,zsl,redis,t_zset.c
2585,2585,2585,zskiplist,update,redis,t_zset.c
2591,2591,2591,zskiplistNode,curscore,redis,t_zset.c
2593,2593,2593,double,newscore,redis,t_zset.c
2595,2595,2595,double,spec,redis,t_zset.c
2599,2599,2599,zrangespec,range,redis,t_zset.c
2616,2616,2616,dict,start_node,redis,t_zset.c
2617,2617,2617,zskiplist,start_level,redis,t_zset.c
2618,2618,2618,double,rank,redis,t_zset.c
2621,2621,2621,int,min,redis,t_zset.c
2622,2622,2622,unsigned,max,redis,t_zset.c
2625,2625,2625,unsigned,dest,redis,t_zset.c
2626,2626,2626,long,ex,redis,t_zset.c
2642,2642,2642,zlexrangespec,vstr,redis,t_zset.c
2643,2643,2643,zskiplist,vlen,redis,t_zset.c
2644,2644,2644,zlexrangespec,sptr,redis,t_zset.c
2646,2646,2646,zlexrangespec,eptr,redis,t_zset.c
2647,2647,2647,long,cstr,redis,t_zset.c
2648,2648,2648,unsigned,clen,redis,t_zset.c
2649,2649,2649,char,zl,redis,t_zset.c
2672,2672,2672,unsigned,lp,redis,t_zset.c
2686,2686,2686,char,deleted,redis,t_zset.c
2694,2694,2694,unsigned,zobj,redis,t_zset.c
2696,2696,2696,zlexrangespec,val_len_hint,redis,t_zset.c
2700,2700,2700,unsigned,encoding,redis,t_zset.c
2703,2703,2703,double,cap,redis,t_zset.c
2705,2705,2705,char,maxelelen,redis,t_zset.c
2706,2706,2706,unsigned,totelelen,redis,t_zset.c
2708,2708,2708,unsigned,member,redis,t_zset.c
2713,2713,2713,double,in_flags,redis,t_zset.c
2714,2714,2714,unsigned,out_flags,redis,t_zset.c
2716,2716,2716,sds,zs,redis,t_zset.c
2722,2722,2722,long,reverse,redis,t_zset.c
2723,2723,2723,unsigned,output_score,redis,t_zset.c
2725,2725,2725,zlexrangespec,e,redis,t_zset.c
2728,2728,2728,unsigned,zsetobj,redis,t_zset.c
2729,2729,2729,char,zsetsize,redis,t_zset.c
2738,2738,2738,size_t,rangetype,redis,t_zset.c
2742,2742,2742,int,op,redis,t_zset.c
2761,2761,2761,robj,aggregate,redis,t_zset.c
2763,2763,2763,robj,totallen,redis,t_zset.c
2765,2765,2765,int,setnum,redis,t_zset.c
2766,2766,2766,double,dstzset,redis,t_zset.c
2782,2782,2782,zrange_type,dstkey,redis,t_zset.c
2783,2783,2783,client,numkeysIndex,redis,t_zset.c
2785,2785,2785,client,cardinality_only,redis,t_zset.c
2797,2797,2797,zsetopval,value_length_in_bytes,redis,t_zset.c
2803,2803,2803,double,result_count,redis,t_zset.c
2816,2816,2816,size_t,client,redis,t_zset.c
2825,2825,2825,client,withscores,redis,t_zset.c
2834,2834,2834,client,limit,redis,t_zset.c
2850,2850,2850,long,argc_start,redis,t_zset.c
2853,2853,2853,size_t,direction,redis,t_zset.c
2863,2863,2863,zrange_consumer_type,keyv,redis,t_zset.c
2864,2864,2864,zrange_result_handler,keyc,redis,t_zset.c
2865,2865,2865,zrange_result_handler,where,redis,t_zset.c
2866,2866,2866,robj,emitkey,redis,t_zset.c
2868,2868,2868,robj,use_nested_array,redis,t_zset.c
2869,2869,2869,long,reply_nil_when_empty,redis,t_zset.c
2877,2877,2877,zrangespec,numkeys,redis,t_zset.c
2879,2879,2879,long,timeout_idx,redis,t_zset.c
2888,2888,2888,robj,vals,redis,t_zset.c
2890,2890,2890,long,l,redis,t_zset.c
2894,2894,2894,client,numkeys_idx,redis,t_zset.c
2895,2895,2895,zrange_result_handler,is_block,redis,t_zset.c
2901,2901,2901,int,swaptype,redis,pqsort.c
2907,2907,2907,size_t,es,redis,pqsort.c
2908,2908,2908,void,lrange,redis,pqsort.c
2909,2909,2909,void,rrange,redis,pqsort.c
2921,2921,2921,char,hostsocket,redis,redis-benchmark.c
2925,2925,2925,int,cfg,redis,redis-benchmark.c
2941,2941,2941,int,from,redis,redis-benchmark.c
2942,2942,2942,char,thread_id,redis,redis-benchmark.c
2966,2966,2966,char,add,redis,listpack.c
2968,2968,2968,char,slen,redis,listpack.c
2970,2970,2970,long,capacity,redis,listpack.c
2974,2974,2974,char,intenc,redis,listpack.c
2975,2975,2975,unsigned,enclen,redis,listpack.c
2998,2998,2998,char,intbuf,redis,listpack.c
2999,2999,2999,unsigned,entry_size,redis,listpack.c
