,OUT,SWUM,POSSE,STANFORD
566,NM NM NM N,NM NM NM N,N NM N N,N N N N
567,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N NM N N,N N N N N
568,NM NM NM NM,NM NM NM N,N NM N NM,N N N N
569,N NM NM P NPL,NM NM NM NM N,V N N P N,N N N P NPL
570,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
571,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
572,NM NM NM NM NM N,NM NM NM NM NM N,N N N N N N,N N N N N N
573,NM NM NM N,NM NM NM N,N N N N,N N N N
574,NM NM NM N,NM NM NM N,N N N N,N N N N
575,NM NM NM N,NM NM NM N,N N N N,N N N N
576,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
577,NM NM NPL,NM NM N,N N N,N N NPL
578,NM N,NM N,N N,N N
579,UNK,UNK,UNK,UNK
580,NM NM NPL,NM NM N,N NM N,N N NPL
581,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
582,N P N,NM NM N,V P N,N P N
583,N P NM N,NM NM NM N,V P N N,N P N N
584,N P NM NM N,NM NM NM NM N,V P N N N,N P N N N
585,N P NM N,NM NM NM N,V P N N,N P N N
586,NM NM NM N,NM NM NM N,N N N N,N VBP N N
587,N P NM NM N,NM NM NM NM N,V P N N N,N P N N N
588,N NPL P N,NM NM NM N,V N P N,N NPL P N
589,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
590,NM N,NM N,N N,N N
591,NM NM N,NM NM N,N N N,N V V
592,V P N,NM NM N,V P N,V P N
593,NM NM NPL,NM NM N,N N N,N N NPL
594,NM NM NPL,NM NM N,N N N,N N NPL
595,NM NM D NM NPL,NM NM NM NM N,N N NM N N,N N D N NPL
596,NM NM NM NPL,NM NM NM N,N NM N N,N N N NPL
597,NM NM N,NM NM N,N N N,N N N
598,N NM P NM NPL,NM NM NM NM N,V N P N N,N N P N NPL
599,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
600,NM N,NM N,N N,N N
601,NM NM N,NM NM N,N N N,N N VBG
602,NM N,NM N,N N,N N
603,NM N,NM N,N N,N N
604,NM N,NM N,N N,N N
605,NM N,NM N,N N,N N
606,NM N,NM N,N V,N N
607,NM N,NM N,N N,N N
608,NM N,NM N,N N,N N
609,NM NM N,NM NM N,N N N,N V N
610,NM N,NM N,N N,N N
611,N NM N,NM NM N,V NM NM,N N VM
612,NM N,NM N,N N,N N
613,NM N,NM N,N N,V VBG
614,NM NM N,NM NM N,NM N N,N N N
615,NM N,NM N,NM N,N N
616,N NM P,NM NM N,V N P,N N P
617,NM NM NM N,NM NM NM N,N N N N,N N N N
618,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N N N
619,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N N N
620,NM NM NM N,NM NM NM N,N N N N,N VBD N N
621,NM NM NM NM N,NM NM NM NM N,N N N N N,N VBD N N N
622,NM NM N,NM NM N,N N N,N N N
623,NM N,NM N,N N,N N
624,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
625,N NM NM NM P NPL,NM NM NM NM NM N,V N N N P N,N N N N P NPL
626,NM NM NPL,NM NM N,N N N,N N NPL
627,NM NM N,NM NM N,N N N,N N N
628,NM NM NM NPL,NM NM NM N,N N NM N,N VBP NM NPL
629,NM N,NM N,N N,N N
630,NM NM NM N,NM NM NM N,N N N N,N N N N
631,NM NM N,NM NM N,N N N,N N N
632,N,N,N,N
633,NM NM NM N,NM NM NM N,N N N N,N N N N
634,NM N,NM N,NM N,NM N
635,NM NM NM N,NM NM NM N,N N N N,N N N N
636,N NM VM P,NM NM NM N,V N P P,N N N P
637,N NM VM P,NM NM NM N,V N P P,N N N P
638,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
639,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
640,NM NM N,NM NM N,N N N,N N N
641,NM NPL,NM N,N N,N NPL
642,N,N,N,N
643,NM NM N,NM NM N,N N N,N N N
644,NM N,NM N,N N,N N
645,NM NPL,NM N,N N,N NPL
646,NM N,NM N,N N,N N
647,NM N,NM N,N N,N N
648,NM N,NM N,N N,N N
649,NM NM N,NM NM N,N N N,N N N
650,NM NM N,NM NM N,N N N,N N N
651,NM NM NM N,NM NM NM N,N N N N,N V V N
652,NM NM N,NM NM N,N N N,N V N
653,NM NM N,NM NM N,N N N,N N N
654,NM N,NM N,N N,N N
655,NM NM NM NM,NM NM NM N,N N N NM,N N N N
656,N NM NM NM NM VM NPL,NM NM NM NM NM NM N,V N N N N P N,N N N N N N NPL
657,N NM NM VM NPL,NM NM NM NM N,V N N P N,N N N N NPL
658,NM NM NPL,NM NM N,N N N,N N NPL
659,N NM NPL P NPL,NM NM NM NM N,V N N P N,N N NPL P NPL
660,NM N,NM N,N N,N N
661,NM N,NM N,N N,N N
662,NM N,NM N,N N,N N
663,NM NM NPL,NM NM N,N N N,N V NPL
664,NM NM NPL,NM NM N,N NM N,N N NPL
665,NM NM N,NM NM N,N NM N,N N N
666,NM NM N,NM NM N,N NM N,N NM N
667,NM N,NM N,N N,N N
668,NM NM V,NM NM N,N N V,N N VBP
669,N NM P NM,NM NM NM N,V NM P NM,N N P N
670,NM NM N,NM NM N,N N N,N N N
671,NM N,NM N,NM N,N N
672,NM N,NM N,N N,N N
673,NM NM N,NM NM N,N N N,N N N
674,NM NM NM N,NM NM NM N,N N N N,N N N N
675,N NM NM,NM NM N,V N NM,N N N
676,VM DT NM N,DT NM NM N,FAILURE FAILURE FAILURE FAILURE,VM DT N N
677,NM NM NM NPL,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N N NPL
678,N NM NM,NM NM N,V N NM,N N N
679,N NM NM NPL,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N NPL
680,N P P N,NM NM NM N,V P P N,N P P N
681,NM NM N,NM NM N,N N V,N NM N
682,NM NM N,NM NM N,N N V,N N N
683,NM NM N,NM NM N,N N V,N N N
684,NM NM N,NM NM N,N N V,N N N
685,NM NM N,NM NM N,N N V,N N N
686,NM N,NM N,N V,N N
687,NM NM D,NM NM N,NM N N,N N D
688,NM NM D,NM NM N,NM N N,N N D
689,NM NM NM N,NM NM NM N,N N N N,N N N N
690,NM NM N,NM NM N,N N V,N N N
691,NM NM N,NM NM N,N N V,N N N
692,NM NM NM N,NM NM NM N,N N N V,N N N N
693,N NM N,NM NM N,V NM N,N N N
694,NM NM N,NM NM N,N N N,N N N
695,NM NM NM N,NM NM NM N,N N N V,N N N N
696,NM N,NM N,N N,N N
697,NM N,NM N,N N,N N
698,NM NM NM N,NM NM NM N,N N N N,N N N N
699,NM NM NM N,NM NM NM N,N N NM N,N N NM N
700,NM N,NM N,N N,N N
701,NM N,NM N,N N,N N
702,NM NM N,NM NM N,NM N N,N N N
703,UNK,UNK,UNK,UNK
704,NM NM N,NM NM N,NM N N,N N N
705,NM NM NM NPL,NM NM NM N,N NM N N,N N N NPL
706,NM NM NM N,NM NM NM N,N NM N N,N N N N
707,NM N,NM N,N N,N N
708,NM NM N,NM NM N,NM N N,N N N
709,NM N,NM N,NM N,N N
710,N,N,N,NM
711,N,N,N,N
712,NM NM N,NM NM N,N N N,N N N
713,NM N,NM N,N N,N N
714,NM NM N,NM NM N,N N N,N N N
715,NM NM N,NM NM N,NM N N,N N N
716,NM N,NM N,NM N,NM N
717,NM N,NM N,N N,N N
718,NM N,NM N,N N,N N
719,UNK,UNK,UNK,UNK
720,NM NM N N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N V N
721,NM NM N,NM NM N,N N N,N N N
722,NM NM NM N,NM NM NM N,N N N N,N N N N
723,DT,N,FAILURE,DT
724,NM NM N,NM NM N,N N N,N N N
725,NM NM NM N,NM NM NM N,N NM N N,N N N N
726,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
727,NM NM N,NM NM N,N N N,N N N
728,NM NM NM N,NM NM NM N,N N N N,N N N N
729,NM NM D N,NM NM NM N,N N NM N,N N D N
730,NM NM D N,NM NM NM N,N N NM N,N N D N
731,NM NM NPL,NM NM N,N N N,N N NPL
732,NM NM NM N,NM NM NM N,N N N N,N N N N
733,NM NM N,NM NM N,N N N,N N N
734,NM NM N,NM NM N,N N N,N N N
735,NM NM N,NM NM N,N N N,N N N
736,N P N,NM NM N,V P N,N P N
737,NM N,NM N,NM N,NM N
738,N NM NM P NM NPL,NM NM NM NM NM N,V N N P N N,N N N P N NPL
739,N NM NM P NM NM N,NM NM NM NM NM NM N,V N N P N N N,N N N P N N N
740,N NM NM P NM N,NM NM NM NM NM N,V N N P N N,N N N P N N
741,N NM NM P NM NM N,NM NM NM NM NM NM N,V N N P N N N,N N N P N N N
742,N P NM NM N,NM NM NM NM N,V P N NM N,N P N N N
743,N NM NM P N,NM NM NM NM N,V N N P N,N N N P N
744,N NM P N,NM NM NM N,V N P N,N N P N
745,N P N,NM NM N,V P N,N P N
746,N P NM NM N,NM NM NM NM N,V P N NM N,N P N N N
747,N P NM N,NM NM NM N,V P N N,N P N N
748,V P NM NM,NM NM NM N,V P N N,V P V NM
749,N P NM NM N,NM NM NM NM N,V P N N N,N P N N N
750,V P NM N,NM NM NM N,V P N N,V P V N
751,V P NM N,NM NM NM N,V P N N,V P NM N
752,V P NM NPL,NM NM NM N,V P N N,V P NM NPL
753,N P NM N,NM NM NM N,V P N N,N P N N
754,NM N,NM N,NM N,N N
755,NM N,NM N,N N,N N
756,NM NM N,NM NM N,N NM N,N N N
757,NM N,NM N,N N,N N
758,NM NM D NM N,NM NM NM NM N,N N NM N N,N N D N N
759,NM NM NM N,NM NM NM N,N N N N,N N N N
760,NM NM NM NPL N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N,N N N NPL N
761,NM D,NM N,N N,N D
762,NM D,NM N,N N,N D
763,NM D,NM N,N N,N D
764,NM NPL,NM N,N N,N NPL
765,NM NM NM N,NM NM NM N,N N N N,N N N N
766,NM NM N,NM NM N,N NM N,N N N
767,NM NM N,NM NM N,N N N,N N N
768,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
769,NM N,NM N,NM N,N N
770,NM NM N,NM NM N,N N N,N N N
771,NM NM N,NM NM N,N N N,N N N
772,NM NM NM N,NM NM NM N,N N N N,N N N N
773,NM NM N,NM NM N,N N N,N N N
774,NM NM NM N,NM NM NM N,N N N N,N N N N
775,UNK,UNK,UNK,UNK
776,NM NM N,NM NM N,N N N,N N N
777,NM N,NM N,NM N,NM N
778,NM N,NM N,N N,N N
779,NM NM V,NM NM N,N N V,N N V
780,N NM P V,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N P V
781,NM NM NM NPL,NM NM NM N,N NM N N,N N N NPL
782,NM D,NM N,N N,N D
783,NM D,NM N,N N,N D
784,NM N,NM N,N N,N N
785,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
786,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
787,DT N,NM N,NM N,FAILURE FAILURE
788,NM N,NM N,NM N,N N
789,NM N,NM N,NM N,N N
790,NM NM NM N,NM NM NM N,NM N NM N,N N NM N
791,NM NM NM N,NM NM NM N,NM N NM N,N N N N
792,NM N,NM N,N N,N N
793,NM NM N,NM NM N,N N N,N N N
794,NM NM D,NM NM N,N N N,N N D
795,DT NM N,DT DT N,NM NM N,DT N N
796,NM NM N,NM NM N,N N N,N V N
797,NM NM NPL,NM NM N,N NM N,N N NPL
798,DT N,NM N,NM N,FAILURE FAILURE
799,DT NM NM N,DT NM NM N,NM N N N,DT VBP V N
800,UNK,UNK,UNK,UNK
801,UNK,UNK,UNK,UNK
802,NM NM N,NM NM N,N N N,N N N
803,NM NM N,NM NM N,N N N,N N N
804,NM NM N,NM NM N,N N N,N N VBG
805,N NPL NM NM P NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,V N NM N P NM N,N VBZ NM N P N N
806,NM NM NM N,NM NM NM N,N N N N,N N N N
807,VM NM N,DT NM N,FAILURE FAILURE FAILURE,VM N N
808,UNK,UNK,UNK,UNK
809,NM NM P N,NM NM NM N,V N P N,NM N P N
810,VM NM P,DT NM N,FAILURE FAILURE FAILURE,VM N P
811,UNK,UNK,UNK,UNK
812,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
813,NM P,NM N,FAILURE FAILURE,V P
814,NM N,NM N,NM N,NM N
815,NM NM D,NM NM N,NM N N,NM N D
816,NM NM D,NM NM N,NM N N,NM N D
817,NM N,NM N,N N,N N
818,NM NM N,NM NM N,N N N,N N N
819,N,N,N,N
820,NM NM N,NM NM N,N N N,N N N
821,NM NM N,NM NM N,N N N,N N N
822,NM,N,NM,N
823,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N NM NM N,N N N N
824,NM NM NM N,NM NM NM N,N N N N,N N N N
825,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N N N
826,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N N N
827,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N NM NM N N,N N N N N
828,NM NM NPL,NM NM N,N N N,N N NPL
829,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
830,NM N,NM N,NM N,N N
831,N,N,N,FAILURE
832,NM N,NM N,NM N,N N
833,N,N,N,N
834,NM N,NM N,N N,N N
835,NM NM NM NM NM N,NM NM NM NM NM N,N N N N N N,N N N N N N
836,N NM NM NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,V N N N P NM N N,N N N N N N N N
837,N NM NM NM P NM N,NM NM NM NM NM NM N,V N N N P N N,N N N N P N N
838,N P N,NM NM N,V P N,N P N
839,N NM NM NM DT,NM NM NM NM DT,FAILURE FAILURE FAILURE FAILURE FAILURE,N V N N DT
840,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
841,NM NM NM N,NM NM NM N,N N N N,N N N N
842,NM N,NM N,NM N,N N
843,NM NM N,NM NM N,NM N N,N N N
844,UNK,UNK,UNK,UNK
845,NM NM NM NM N,NM NM NM NM N,NM N N N N,NM N N N N
846,NM NM NM N,NM NM NM N,NM N N N,NM N N N
847,N NM P N,NM NM NM N,V N P N,N N P N
848,NM N,NM N,NM N,N N
849,NM NM NPL,NM NM N,N N N,N N NPL
850,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
851,NM NM NM N,NM NM NM N,N N N N,N N N N
852,NM NM N,NM NM N,N N N,N N N
853,NM NM NM NM,NM NM NM N,N N N NM,N N N N
854,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
855,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
856,NM NM NM NPL,NM NM NM N,N N N N,N N N NPL
857,NM NM NPL,NM NM N,N N N,N N NPL
858,NM NM NM NM NPL,NM NM NM NM N,N NM N N N,N NM N N NPL
859,N P N,NM NM N,V P N,N P N
860,NM NM NM N,NM NM NM N,N N N N,N N N N
861,NM NM NM NM N,NM NM NM NM N,N N N NM N,N N N N N
862,NM NM NM N,NM NM NM N,N N N V,N N N N
863,NM NM NM N,NM NM NM N,N N N V,N N N N
864,NM NM NM NM N,NM NM NM NM N,N N N N N,N N N N N
865,NM NM NM NM N,NM NM NM NM N,N N N NM N,N N N N N
866,NM NM NM NM NPL,NM NM NM NM N,N N N N N,N N N N NPL
867,NM N,NM N,N N,N N
868,NM NM NM N,NM NM NM N,N N N N,N N N N
869,N NM NM NM VM NM N,NM NM NM NM NM NM N,V N N N P N N,N N N N N N N
870,NM NM NM NM NM NM NPL,NM NM NM NM NM NM N,N N N N N N N,N N N N N N NPL
871,UNK,UNK,UNK,UNK
872,UNK,UNK,UNK,UNK
873,UNK,UNK,UNK,UNK
874,NM NM N,NM NM N,N N N,N N N
875,NM N,NM N,NM N,N N
876,NM CJ NM NM N,NM NM NM NM N,N N N N N,N CJ N N N
877,NM NM P NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,VM VBG P N N
878,NM NM NM N,NM NM NM N,NM N N N,N N N N
879,N,N,NM,NM
880,NM N,NM N,N N,V N
881,NM N,NM N,N N,N N
882,NM N,NM N,NM N,NM N
883,N NM NM NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N
884,NM N,NM N,NM N,N N
885,N,N,N,N
886,N,N,N,N
887,N,N,N,N
888,NM NM N,NM NM N,N N N,N N N
889,NM N,NM N,NM N,N N
890,UNK,UNK,UNK,UNK
891,NM N,NM N,NM N,NM N
892,NM N,NM N,NM N,N N
893,UNK,UNK,UNK,UNK
894,NM N,NM N,NM N,NM N
895,NM NM,NM N,N NM,N N
896,NM N,NM N,NM N,N N
897,N,N,N,N
898,NM N,NM N,NM N,N N
899,NM NM NPL,NM NM N,NM NM N,NM NM NPL
900,NM N,NM N,NM N,NM N
901,NM NM N,NM NM N,N N N,N N N
902,NM NM N,NM NM N,N N N,N N N
903,NM N,NM N,N N,N N
904,NPL N,NM N,N N,NPL VBP
905,NM N,NM N,N N,N N
906,NM NM N,NM NM N,N NM N,N N N
907,N,N,NM,NM
908,NM N,NM N,NM N,N N
909,NM NM N,NM NM N,N N N,N N N
910,NM N,NM N,N N,NM N
911,NM NM N,NM NM N,NM N N,NM NM N
912,NM NM N,NM NM N,NM N N,NM N N
913,N,N,NM,NM
914,NM N,NM N,NM N,NM N
915,NM N,NM N,N N,N N
916,NM N,NM N,N N,N N
917,NM N,NM N,NM N,N N
918,NM N,NM N,NM N,NM N
919,N,N,N,N
920,NM N,NM N,NM N,NM N
921,N,N,N,N
922,N,N,N,NM
923,NM N,NM N,N N,N N
924,NM N,NM N,N N,N N
925,NM NM N,NM NM N,N N N,N N N
926,NM N,NM N,N N,N N
927,NM NM NM N,NM NM NM N,N N N N,N N N N
928,NM NM N,NM NM N,N N N,N N N
929,NM N,NM N,N N,N N
930,NM N,NM N,N N,N N
931,NM NM NM N,NM NM NM N,N N N N,V N N N
932,NM NM N,NM NM N,N N N,NM N N
933,NM NM N,NM NM N,N N N,VBN VBN N
934,NM NM N,NM NM N,N N N,N N N
935,NM N,NM N,N N,N N
936,NM NM N,NM NM N,N N N,N N N
937,NM NM NM N,NM NM NM N,N N N N,N N N N
938,NM NM N,NM NM N,NM NM N,N N N
939,NM NM N,NM NM N,NM N N,N N N
940,NM NM N,NM NM N,NM NM N,N N N
941,NM N,NM N,NM N,N N
942,NM NM N,NM NM N,NM N N,N N N
943,NM NM N,NM NM N,NM N N,N N N
944,N,N,N,N
945,NM N,NM N,N N,V N
946,NM N,NM N,N N,N N
947,NM NM NM,NM NM N,N N NM,N N N
948,NM N,NM N,N N,N N
949,NM NM N,NM NM N,N N N,N N N
950,NM N,NM N,N N,N N
951,NM N,NM N,NM N,N N
952,NM NM N,NM NM N,NM N N,N N N
953,N,N,N,N
954,N,N,N,N
955,NM N,NM N,N N,N N
956,NM N,NM N,N N,N N
957,N,N,N,N
958,NM N,NM N,N N,N V
959,NM N,NM N,N N,N N
960,NM N,NM N,N N,N N
961,N,N,N,N
962,NM NM N,NM NM N,N NM N,N NM N
963,NM N,NM N,N N,N N
964,NM N,NM N,N N,N N
965,NM N,NM N,N N,N N
966,NM N,NM N,N N,N N
967,NM NM N,NM NM N,N N N,N N N
968,NM NM N,NM NM N,NM N N,NM N N
969,NM NM N,NM NM N,NM N N,N N N
970,NM NM NM CJ NM N,NM NM NM NM NM N,NM N N N N N,NM N N CJ N N
971,NM NM NM V NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,NM NM N N N NM N,NM N N VBG N N N
972,NM NM N,NM NM N,NM N N,N N N
973,NM NM NM N,NM NM NM N,NM NM N N,N N N N
974,N NM NM P N,NM NM NM NM N,V N N P N,N N VBG P N
975,N NM NM NM P N,NM NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N N VBG N P N
976,NM NM N,NM NM N,N N N,N N N
977,NM NM NM NM NM NM N,NM NM NM NM NM NM N,N N N N N N N,N N N N N N N
978,NM NM NM NM NM NM N,NM NM NM NM NM NM N,N N N N N N N,N N N N N N N
979,N NM NM NM NM P NM N,NM NM NM NM NM NM NM N,V N N N N P N N,N N N N N P N N
980,N NM NM NM NM P NM N,NM NM NM NM NM NM NM N,V N N N N P N N,N N N N N P N N
981,NM NM NM NM NM NM N,NM NM NM NM NM NM N,N N N NM N N N,V N VBG VBN N N N
982,NM NPL N,FAILURE FAILURE FAILURE,NM N N,N NPL VBP
983,NM NM N,NM NM N,N NM N,N N N
984,NM NM N,NM NM N,NM N N,N N N
985,NM N,NM N,NM N,N N
986,NM NM N,NM NM N,N N N,V N N
987,NM N,NM N,N N,N N
988,N,N,N,N
989,NM N,NM N,NM N,NM N
990,NM NM N,NM NM N,N N N,N N N
991,NM NM N,NM NM N,N N N,N N N
992,NM N,NM N,N N,N N
993,NM N,NM N,N N,N N
994,NM N,NM N,NM N,N N
995,NM NM N,NM NM N,NM N N,N N N
996,NM NM N,NM NM N,N NM N,V VBG N
997,NM NM N,NM NM N,N N N,N N N
998,NM D NM N,NM NM NM N,N NM N N,N D N N
999,NM D N,NM NM N,N NM N,N D N
1000,NM NM N,NM NM N,N N N,N N N
1001,NM NM N,NM NM N,NM N N,N N N
1002,N P NM N,NM NM NM N,V P NM N,N P N VBG
1003,N VM NM N,NM NM NM N,V P NM N,N N N VBG
1004,NM NM N,NM NM N,N NM N,N N N
1005,V NM NM,NM NM N,V NM NM,V VBG NM
1006,NM NM,NM N,N NM,NM NM
1007,NM N,NM N,NM N,N N
1008,NM NM N,NM NM N,NM N N,VBG N N
1009,NM N,NM N,N N,N N
1010,NM N,NM N,N N,N N
1011,NM N,NM N,NM N,N N
1012,NM NM N,NM NM N,NM N N,VBG N N
1013,NM N,NM N,NM N,NM N
1014,NM N,NM N,NM N,N N
1015,NM NM NPL,NM NM N,N NM N,V N NPL
1016,NM NM N,NM NM N,N NM N,N N N
1017,NM NPL NPL,NM NM N,N N N,N NPL NPL
1018,NM NM NM N,NM NM NM N,N NM N N,V N N N
1019,NM NM N,NM NM N,N NM N,N N N
1020,NM N,NM N,N N,N N
1021,NM NM N,NM NM N,N N N,N N N
1022,NM NM N,NM NM N,NM NM N,NM NM N
1023,NM NM NM NM N,NM NM NM NM N,NM N N NM N,NM N N N N
1024,NM N,NM N,NM N,VBN N
1025,UNK,UNK,UNK,UNK
1026,NM NM N,NM NM N,N N N,N N N
1027,NM N,NM N,NM N,N N
1028,NM N,NM N,N N,N N
1029,NM NM N,DT NM N,NM N N,NM N N
1030,NM N,NM N,NM N,N N
1031,NM N,NM N,NM N,N N
1032,NM N,NM N,NM N,N N
1033,NM NM N,NM NM N,N N N,N N N
1034,N,N,N,N
1035,NM N,NM N,N N,N N
1036,N,N,N,FAILURE
1037,N P NM N,NM NM NM N,V P N N,N P N N
1038,NM N,NM N,N N,N N
1039,NM NM N,NM NM N,N N N,N N N
1040,NM NM N,NM NM N,N N N,N N N
1041,DT DT N,NM NM N,N N N,FAILURE FAILURE FAILURE
1042,N,N,N,N
1043,NM NM NM NM NPL,NM NM NM DT N,N N N P N,N N N N NPL
1044,N,N,V,N
1045,NM NM NM N,NM NM NM N,N N N N,N N N N
1046,NM N,NM N,NM N,N N
1047,NM NM NM N,NM NM NM N,N NM N N,N N N N
1048,NM NM N,NM NM N,N N N,N N N
1049,NM NM NM N,NM NM NM N,NM N N N,VBN N N N
1050,NM NM N,NM NM N,NM N N,VBN N N
1051,NM NM NM N,NM NM NM N,NM N NM N,VBN N N N
1052,NM NM D NM N,NM NM NM NM N,N N NM N N,N N D N N
1053,NM NM D NM NM N,NM NM NM NM NM N,N N NM NM NM N,N N D N N N
1054,NM NM N,NM NM N,NM N N,N N N
1055,N NM D NPL NM N,NM NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N N D NPL N N
1056,NM NM N,NM NM N,N N N,N N N
1057,NM N,NM N,N N,N N
1058,N,N,N,N
1059,NPL N,NM N,N N,NPL VBP
1060,N,N,N,N
1061,NM N,NM N,N N,N N
1062,NM N,NM N,N N,N N
1063,NM NM NM N,NM NM NM N,NM NM N N,N VBD N N
1064,NM NM NM N,NM NM NM N,NM NM N N,N NM N N
1065,NM NM NM NM N,NM NM NM NM N,NM NM N N N,N NM N N N
1066,NM NM NM NM N,NM NM NM NM N,NM NM NM N N,N VBD NM N N
1067,NM N,NM N,N N,N N
1068,NM NM N,NM NM N,NM N N,N N N
1069,NM NM N,NM NM N,NM N N,N N N
1070,NM NM N,NM NM N,N N N,N N N
1071,NM NM N,NM NM N,N N N,N N N
1072,NM NM N,NM NM N,N N N,V N N
1073,NM NM N,NM NM N,N N N,N N N
1074,NM N,NM N,N N,N N
1075,NM NM N,NM NM N,NM N N,N N N
1076,NM NM N,NM NM N,NM N N,N N N
1077,NM NM NM N,NM NM NM N,NM NM N N,N N N N
1078,NM NM NM N,NM NM NM N,NM NM N N,N N N N
1079,NM NM NM N,NM NM NM N,NM NM N N,N N N N
1080,NM N,NM N,N N,N N
1081,NM N,NM N,N N,N N
1082,NM NM N,NM NM N,N N N,N N N
1083,NM NM N,NM NM N,NM NM N,N VBD N
1084,NM NM N,NM NM N,NM NM N,N NM N
1085,NM NM NM N,NM NM NM N,NM NM N N,N NM N N
1086,NM NM NM N,NM NM NM N,NM NM NM N,N VBD NM N
1087,NM N,NM N,N N,N N
1088,N,N,N,N
1089,NM N,NM N,N N,V N
1090,N,N,N,N
1091,NM N,NM N,NM N,VBN N
1092,NM N,NM N,NM N,NM N
1093,NM N,NM N,N N,N N
1094,N,N,N,N
1095,NM N,NM N,NM N,NM N
1096,NM NM N,NM NM N,NM NM N,NM NM N
1097,NM N,NM N,NM N,NM N
1098,NM NM N,NM NM N,NM NM N,NM NM N
1099,NM NM N,NM NM N,NM NM N,NM NM N
1100,N,N,N,N
1101,N,N,N,N
1102,NM N,NM N,N N,N N
1103,NM N,NM N,N N,N N
1104,N,N,N,N
1105,NPL NM,NM N,N N,NPL NM
1106,NM NM,NM N,NM N,N NM
1107,NM N,NM N,N N,N N
1108,NPL NM NM N,NM NM NM N,N N N N,NPL VBP N N
1109,NM NM N,NM NM N,N N N,N N N
1110,NM NM N,NM NM N,N N N,N N N
1111,NM N,NM N,N N,N N
1112,NPL NM NM N,NM NM NM N,N NM N N,NPL NM N N
1113,NM NM NM N,NM NM NM N,NM NM N N,N NM N N
1114,NM NM N,NM NM N,N N N,N N N
1115,NM NM N,NM NM N,N N N,N N N
1116,NM N,NM N,NM N,N N
1117,NM N,NM N,N N,N N
1118,NM N,NM N,N N,N N
1119,NM NM N,NM NM N,N N N,N N N
1120,NM NM N,NM NM N,N N N,N N N
1121,N,N,N,N
1122,NM NM N,NM NM N,N N N,N V N
1123,NM NM N,NM NM N,N N N,N N N
1124,NM NM N,NM NM N,N NM N,N N N
1125,NM NM N,NM NM N,N N N,N N N
1126,NM NM N,NM NM N,N N N,N N N
1127,NM NM NM N,NM NM NM N,N N N N,N N N N
1128,NM N,NM N,N N,N N
1129,NM N,NM N,N N,N N
1130,NM N,NM N,NM N,N N
1131,NM NM N,NM NM N,N N N,N VBD N
1132,NM N,NM N,N N,N N
1133,NM N,NM N,N N,N N
1134,NM N,NM N,N N,N N
1135,NM NM N,NM NM N,N N N,N N N
1136,N,N,N,N
1137,NM NM N,NM NM N,N N N,N N N
1138,NM N,NM N,N N,N N
1139,NM NM N,NM NM N,N N N,N N V
1140,NM N,NM N,NM N,N N
1141,NM NM N,NM NM N,N NM N,NM NM N
1142,NM N,NM N,NM N,N N
1143,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
