,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
582,test to datetime,VB TO NN,NN TO VB,NN IN NN,NN TO NN,NN TO VB,NN IN NN,NN IN NN
583,test to datetime unit,VB TO NN NN,NN TO VB NN,NN IN NN NN,NN TO NN NN,NN IN JJ NN,NN IN NN NN,NN IN NN NN
584,test to datetime data frame,VB TO NN NN NN,NN TO VB NNS NN,NN IN NN NNS NN,NN TO NN NNS NN,NN IN NN NNS NN,NN IN NN NNS NN,NN IN NN NN NN
585,test to datetime misc,VB TO NNP NNP,NN TO VB NN,NN IN NN NN,NN TO NN NN,NN IN NNP NN,NN IN NN NN,NN IN NN NN
586,test guess datetime format,VB NN NN NN,NN NN NN NN,NN VBP NN NN,NN VB NN IN,NN VB NNP NN,NN NN NN NN,NN NN NN NN
587,test to datetime infer format,VB TO NN NN NN,NN TO VB NN NN,NN IN NN VBP NN,NN TO NN NN IN,NN IN NNP NNP NN,NN IN NN NN NN,NN IN NN NN NN
588,test days in month,VB NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN
589,test datetime parsing wrappers,VB NN NN NNS,NN NN VBG NNS,NN NN VBG NNS,NN NN NN NNS,VB NN VBG NNS,NN NN NN NNS,NN NN NN NNS
590,test origin,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
591,test should cache,VB MD VB,NN MD VB,NN MD NN,NN MD VB,NN MD VB,NN MD VB,NN MD VB
592,test to time,VB TO NN,NN TO NN,NN IN NN,NN TO NN,NN IN NN,NN IN NN,NN IN NN
593,test index reductions,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
594,test series reductions,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NNP NNS,NN NN NNS,NN NN NNS
595,test datetime 64 series reductions,VB NN CD NN NNS,NN NN CD NN NNS,NN NN CD NN NNS,NN NN CD NN NNS,NN NNP CD NN NNS,NN NN CD NN NNS,NN NN CD NN NNS
596,test categorical series reductions,VB JJ NN NNS,RB JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS,VB JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS
597,test series mode,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NN NN NN
598,test datetime like stat reductions,VB NN IN NN NNS,NN NN IN NN NNS,NN NN IN NN NNS,NN NN IN NN NNS,VB RB IN JJ NNS,NN NN UH NN NNS,NN NN UH NN NNS
599,test series stat reductions,VB NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS,NNP NNP NNP NNS,NN NN NN NNS,NN NN NN NNS
600,test eval,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
601,test type casting,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
602,test alignment,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
603,test operations,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
604,test math,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
605,test scope,VB NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
606,test validate,VB VB,NN NN,NN VBP,NN NN,NN NN,NN VB,NN NN
607,test selection,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
608,test grouping,VB NN,NN NN,NN NN,NN NN,NN VBG,NN NN,NN NN
609,test get group,VB VB NN,NN NN NN,NN VBP NN,NN VB NN,NN VB NN,NN VB NN,NN VB NN
610,test iteration,VB NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
611,test numeric only,VB JJ RB,NN NN RB,NN JJ RB,NN JJ RB,NN RB RB,NN NN RB,NN JJ RB
612,test engine,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
613,test counting,VB NN,NN NN,NN NN,NN VBG,NN VBG,NN NN,NN NN
614,raising object exception,VBG NN NN,VBG JJ NN,VBG NN NN,VBG NN NN,VBG NN NN,VBG NN NN,VBG NN NN
615,raising object,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,NN NN
616,test group by,VB VB IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN
617,group var test mixin,NN NN NN NN,NN VBZ NN NN,NN NN NN NN,NN NN NN NN,NNP NNP VB NNP,NN NN NN NN,NN NN NN NN
618,test group var float64,VB NN NN NNP,NN NN NN NN,NN NN NN NN,NN NN VBZ VBG,NNP NNP NNP VBD,NN NN NN NN,NN NN NN NN
619,test group var float32,VB NN NN NNP,NN NN NN NN,NN NN NN NN,NN NN VBZ VBG,NNP NNP NNP NNP,NN NN NN NN,NN NN NN NN
620,test named aggregation series,VB JJ NN NN,NN VBN NN NN,NN VBN NN NN,NN VBD NN NN,NN VBN NN NN,NN VBN NN NN,NN VBN NN NN
621,test named aggregation data frame,VB JJ NN NNS NN,NN VBN NN NNS NN,NN VBN NN NNS NN,NN VBN NN NNS NN,NN VBN NN NNS NN,NN VBN NN NNS NN,NN VBN NN NNS NN
622,test lambda mangling,VB NN NN,NN NN NN,NN NN NN,NN NN VBG,NN NN VBG,NN NN NN,NN NN NN
623,fn class,NNP NN,JJ NN,NNP NN,NN NN,NNP NN,NN NN,NN NN
624,test data frame plots,VB NNS NN NNS,NN NNS NN NNS,NN NNS NN NNS,NN NNS NN NNS,NN NNP NN NNS,NN NN NN NNS,NN NNS NN NNS
625,test data frame group by plots,VB NNS NN VB IN NNS,NN NNS NN NN IN NNS,NN NNS NN NN IN NNS,NN NNS NN NN IN NNS,NN NNP NN NN IN NNS,NN NN NN NN IN NNS,NN NN NN NN IN NNS
626,test series plots,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NNP NNS,NN NN NNS,NN NN NNS
627,test ts plot,VB NNP NN,NN NN NN,NN NNS NN,NN NNS NN,NN IN NN,NN VBZ NN,VB NN NN
628,test get standard colors,VB VB JJ NNS,NN VB JJ NNS,NN VBP JJ NNS,NN VB JJ NNS,NN VBP JJ NNS,NN VB JJ NNS,NN VB JJ NNS
629,test registration,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
630,test date time converter,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
631,test period converter,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
632,axis,NN,NN,NN,NN,VB,NNP,NN
633,test time delta converter,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NNP NN,NN NN NN NN,NN NN NN NN
634,mock axis,VB NN,NN NN,JJ NN,JJ NN,RB VB,NN NN,VB NN
635,test data frame color,VB NNS NN NNP,NN NNS NN NN,NN NNS NN NN,NN NNS NN NN,NN NNP NN NN,NN NN NN NN,NN NNS NN NN
636,test hist with by,VB NNP IN IN,NN NN IN IN,NN NN IN IN,NN NN IN IN,NN NN IN IN,NN NN IN RB,NN NN IN IN
637,test box with by,VB NN IN IN,NN NN IN IN,NN NN IN IN,NN NN IN IN,NN NNP IN IN,NN NN IN RB,NN NN IN IN
638,test data frame plots subplots,VB NNS NN NNS NNS,NN NNS NN NNS NNS,NN NNS NN NNS NNS,NN NNS NN NNS NNS,NN NNP NN VBZ NNS,NN NN NN VBZ NNS,NN NNS NN NNS NNS
639,test data frame plots groupby,VB NN NN NNS NNP,NN NNS NN NNS VBP,NN NNS NN NNS NN,NN NNS NN NNS NN,NN NNP NN NNS VBD,NN NN NN NNS NN,NN NNS NN NNS NN
640,test frame legend,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
641,test types,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
642,base,NN,NN,NN,NN,NN,NN,NN
643,test pd api,VB NNP NNP,NN NN NN,NN NN NN,NN NN RB,NN NNP NN,NN NN NN,NN NN NN
644,test api,VB NNP,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
645,test errors,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
646,test util,VB NNP,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
647,test testing,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
648,test block,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
649,test block manager,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
650,test block placement,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
651,test can hold element,VB MD VB NN,NN MD VB NN,NN MD VB NN,NN MD VB NN,NN MD VB NN,NN MD VB NN,NN MD VB NN
652,test should store,VB MD VB,NN MD VB,NN MD VB,NN MD VB,NN MD VB,NN MD VB,NN MD VB
653,test pad backfill,VB VB NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
654,test infinity,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
655,test hash table unsorted,VB NN NN JJ,NN NN NN VBD,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ
656,test py object hash table with nans,VB NNP NN NN NN IN NNPS,NN NN VBP NN NN IN NNS,NN NN NN NN NN IN NNS,NN JJ NN NN NN IN NNS,NNP NNP VBP NN NN IN NNS,NN NN NN NN NN IN NNS,NN NN NN NN NN IN NNS
657,test hash table with nans,VB NN NN IN NNPS,NN NN NN IN NNS,NN NN NN IN NNS,NN NN NN IN NNS,NN NN NN IN NNS,NN NN NN IN NNS,NN NN NN IN NNS
658,test help functions,VB NN NNS,NN NN NNS,NN NN NNS,VB VB NNS,NN VB NNS,NN NN VBZ,NN NN NNS
659,test help functions with nans,VB NN NNS IN NNPS,NN NN NNS IN NNS,NN NN VBZ IN NNS,VB VB NNS IN NNS,NN VB NNS IN NNS,NN NN NNS IN NNS,NN NN VBZ IN NNS
660,test misc,VB NNP,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
661,test indexer,VB NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
662,test config,VB NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
663,test get dummies,VB VB NNS,NN NN NNS,NN VBP NNS,NN VB NNS,NN VB NNS,NN VB NNS,NN VB NNS
664,test union categoricals,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NNP NNS,NN NN NNS,NN NN NNS
665,test cross tab,VB JJ NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
666,test cartesian product,VB JJ NN,NN JJ NN,NN JJ NN,NN NN NN,NN NNP NN,NN JJ NN,NN NN NN
667,test melt,VB NN,NN NN,NN NN,NN NN,NN VBP,NN NN,NN NN
668,test l reshape,VB FW VB,NN NN NN,NN NN VB,NN NN NN,VB NNP NN,NN NN VB,NN NNP VB
669,test wide to long,VB JJ TO JJ,NN JJ TO VB,NN RB IN JJ,NN JJ TO JJ,VB JJ IN RB,NN JJ IN JJ,NN RB IN RB
670,test pivot table,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
671,mock unstacker,VB NN,NN NN,JJ NN,JJ NN,RB JJ,JJ NN,VB JJ
672,test pivot,NN NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
673,test merge multi,VB VB JJ,NN NN NN,NN VBP JJ,NN VBP NNS,NNP NNP NNP,NN NN NN,NN VB NN
674,test join multi multi,VB VB JJ JJ,NN NN NN NN,NN VBP JJ JJ,NN VB JJ NNS,NN NNP NNP NNP,NN VB JJ NN,NN VB JJ NN
675,test merge ordered,VB VB JJ,NN NN VBD,NN NN VBN,NN VBP VBN,NNP NNP VBD,NN NN VBN,NN VB VBN
676,not a data frame,RB DT NNS NN,RB DT NN NN,RB DT NN NN,RB DT NN NN,RB DT NN NN,RB DT NN NN,RB DT NN NN
677,test merge d types,VB VB NN NNS,NN NN NN NNS,NN NN NN NNS,NN VB VBN NNS,NNP NNP NNP NNS,NN NN NN NNS,NN NN NN NNS
678,test merge categorical,VB VB JJ,NN NN JJ,NN NN JJ,NN VBP NN,NN VBP JJ,NN NN JJ,NN VB JJ
679,test merge on indexes,VB VB IN NNS,NN NN IN NNS,NN NN IN NNS,NN VBP IN NNS,NN VBP IN NNS,NN NN IN NNS,NN VB IN NNS
680,test as of merge,VB IN IN VB,NN IN IN NN,NN IN IN NN,NN IN IN VBP,NN IN IN NN,NN IN IN NN,NN IN IN NN
681,test empty concat,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
682,test invalid concat,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
683,test datetime concat,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
684,test timezone concat,VB NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN
685,test period concat,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
686,test concatenate,VB VB,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
687,custom iterator 1,JJ NN CD,NN NN CD,NN NN CD,NN NN CD,NNP NNP CD,NN NN CD,JJ NN CD
688,custom iterator 2,JJ NN CD,NN NN CD,NN NN CD,NN NN CD,NNP NN CD,NN NN CD,JJ NN CD
689,test concat append common,VB NN VB NN,NN NN VBP JJ,NN NN VBP JJ,NN NN VBP JJ,NN NNP VBP JJ,NN NN VBP JJ,NN NN NN NN
690,test series concat,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN VBD,NN NN NN
691,test index concat,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
692,test multi index concat,VB JJ NN NN,NN NN NN NN,NN JJ NN NN,NN NNS NN NN,NNP NNP NN NN,NN NN NN NN,NN JJ NN NN
693,test categorical concat,VB JJ NN,RB JJ NN,NN JJ NN,NN NN NN,VB JJ NN,NN JJ NN,NN JJ NN
694,test concat sort,VB NN NN,NN NN NN,NN NN RB,NN NN NN,VB NNP NN,NN NN NN,NN NN NN
695,test data frame concat,VB NNS NN NN,NN NNS NN NN,NN NNS NN NN,NN NNS NN NN,NN NNP NN NN,NN NN NN VBD,NN NNS NN NN
696,test stata,VB NNP,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
697,test basic,VB JJ,NN NN,NN JJ,NN NN,NN JJ,NN JJ,NN JJ
698,test parquet py arrow,VB NN NNP NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NNP NNP NN,NN NN UH NN,NN NN NN NN
699,test parquet fast parquet,VB NN JJ NN,NN NN RB NN,NN NN JJ NN,NN NN RB NN,NN NNP JJ NN,NN NN JJ NN,NN NN JJ NN
700,test compression,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
701,test protocol,VB NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
702,mock read response,VB NN NN,NN VBD NN,JJ VBN NN,JJ VBN NN,RB VBD NN,JJ VB NN,VB VB NN
703,my tz,PRP$ NNP,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
704,custom fs path,JJ NNP NN,NN NNS NN,NN NNS NN,NN NNS NN,NN JJ NN,NN VBZ NN,JJ NN NN
705,test common io capabilities,VB JJ NNP NNS,NN JJ NN NNS,NN JJ NN NNS,NN JJ NN NNS,NN NNP NNP NNS,NN JJ IN NNS,NN JJ NN NNS
706,test m map wrapper,VB FW NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NNP NNP NN,NN NN NN NN,NN NN NN NN
707,test error,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
708,mock sqlite connection,VB NNP NN,NN NN NN,JJ NN NN,JJ JJ NN,RB JJ NN,JJ NN NN,VB NN NN
709,dummy exception,JJ NN,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,NN NN
710,temporary,JJ,JJ,JJ,JJ,JJ,JJ,JJ
711,test,NN,NN,NN,NN,NN,NN,NN
712,test memory fs,VB NN NNP,NN NN NN,NN NN NNS,NN NN NNS,NN NN IN,NN NN VBZ,NN NN NN
713,test clipboard,VB NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
714,test read html,VB VB NNP,NN NN NN,NN VBD NN,NN VBD RB,NN VBD NNS,NN VBD NN,NN NN NN
715,unseekable string io,JJ NNP NNP,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NNS,JJ NN IN,JJ NN NN
716,mock file,VB NN,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,VB NN
717,error thread,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
718,test feather,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
719,my mapping,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
720,test p print thing,VB NNP NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,VB NNP NN NN,NN NN NN NN,NN NN NN NN
721,test format base,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NNP,NN NN NN,NN NN NN
722,test data frame formatting,VB NNS NN NN,NN NNS NN NN,NN NNS NN VBG,NN NNS NN NN,NN NNP NN VBG,NN NN NN NN,NN NNS NN NN
723,a,FW,DT,DT,DT,DT,LS,DT
724,test series formatting,VB NN NN,NN NN NN,NN NN VBG,NN NN VBG,NN NNP VBG,NN NN NN,NN NN NN
725,test generic array formatter,VB JJ NN NN,NN JJ NN NN,NN JJ NN NN,NN JJ NN NN,VB NNP NNP NNP,NN JJ NN NN,NN JJ NN NN
726,d type stub,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,DT NN NN,XX NN NN,NNP NN NN
727,ext type stub,NN NN NN,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
728,test float array formatter,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,VB NNP NNP NN,NN NN NN NN,NN NN NN NN
729,test timedelta 64 formatter,VB NNP CD NN,NN NN CD NN,NN NN CD NN,NN NN CD NN,NNP NNP CD NN,NN NN CD NN,NN NN CD NN
730,test datetime 64 formatter,VB NNP CD NN,NN NN CD NN,NN NN CD NN,NN NN CD NN,NN NNP CD NN,NN NN CD NN,NN NN CD NN
731,test format percentiles,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
732,test table schema repr,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NNP VBD,NN NN NN NN,NN NN NN NN
733,test html index,VB NNP NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN <UNK> NN
734,test repr html,VB NN NNP,NN NN NN,NN NN NN,NN NN NN,VB JJ NNS,NN NN NN,NN NN NN
735,test eng formatter,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
736,test to csv,VB TO NNP,NN TO VB,NN IN NN,NN TO MD,NN TO VB,NN IN NN,NN IN NN
737,mock encoding,VB NN,NN VBG,JJ NN,JJ NN,JJ VBG,NN VBG,VB NN
738,test data frame to string formatters,VB NNS NN TO NN NNS,NN NNS NN TO VBG NNS,NN NNS NN IN NN NNS,NN NNS NN TO NN NNS,NN NNP NN IN NN NNS,NN NN NN IN NN NNS,NN NNS NN IN NN NNS
739,test data frame to string col space,VB NNS NN TO NN NNP NN,NN NNS NN TO VBG JJ NN,NN NNS NN IN NN NN NN,NN NNS NN TO NN NN NN,NN NNP NN IN NN NNP NN,NN NN NN IN NN NN NN,NN NNS NN IN NN NN NN
740,test data frame to string header,VB NNS NN TO NN NN,NN NNS NN TO VBG NN,NN NNS NN IN NN NN,NN NNS NN TO NN NN,NN NNP NN TO NN NN,NN NN NN IN NN NN,NN NNS NN IN NN NN
741,test data frame to string line width,VB NNS NN TO NN NN NN,NN NNS NN TO VBG NN NN,NN NNS NN IN NN NN NN,NN NNS NN TO NN NN IN,NN NNP NN IN NN NN NNP,NN NN NN IN NN NN NN,NN NNS NN IN NN NN NN
742,test to string numeric formatting,VB TO NN JJ NN,NN TO VBG JJ NN,NN IN NN JJ VBG,NN TO NN JJ VBG,NN IN VBG IN NN,NN TO VB JJ NN,NN TO VB JJ NN
743,test data frame to string,VB NNS NN TO NN,NN NNS NN TO NN,NN NNS NN IN NN,NN NNS NN TO NN,NN NNP NN TO VB,NN NN NN IN NN,NN NNS NN IN NN
744,test series to string,VB NN TO NN,NN NN TO VBG,NN NN IN NN,NN NN TO NN,NN NNP TO VB,NN NN TO VB,NN NN TO VB
745,test to latex,VB TO NNP,NN TO VB,NN IN NN,NN TO MD,NN IN NNP,NN IN NN,NN IN NN
746,test to latex long table,VB TO NNP JJ NN,NN TO VB RB JJ,NN IN NN JJ NN,NN TO RB JJ NN,NN IN NNP JJ NN,NN IN NN JJ NN,NN IN NN JJ NN
747,test to latex header,VB TO NNP NN,NN TO VB NN,NN IN NN NN,NN TO JJ NN,NN IN NN NN,NN IN NN NN,NN IN NN NN
748,test to latex bold,VB TO NNP NN,NN TO VB JJ,NN IN NN JJ,NN TO RB JJ,NN IN NNP NNP,NN IN NN JJ,NN IN NN JJ
749,test to latex caption label,VB TO NN NN NN,NN TO VB NN NN,NN IN NN NN NN,NN TO JJ NN NN,NN IN NN NN NN,NN IN NN NN NN,NN IN NN NN NN
750,test to latex escape,VB TO NN NN,NN TO VB NN,NN IN NN NN,NN TO RB VB,NN IN NNP VB,NN IN NN NN,NN IN NN NN
751,test to latex position,VB TO NN NN,NN TO VB NN,NN IN NN NN,NN TO RB VB,NN IN NN NN,NN IN NN NN,NN IN NN NN
752,test to latex formatters,VB TO NN NNS,NN TO VB NNS,NN IN NN NNS,NN TO RB NNS,NN IN NNP NNS,NN IN NN NNS,NN IN NN NNS
753,test to latex multiindex,VB TO NN NNP,NN TO VB NN,NN IN NN NN,NN TO RB VB,NN IN NNP NN,NN IN NN NN,NN IN NN NN
754,custom styler,JJ NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,JJ NN
755,test styler,VB NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
756,test x port,VB FW NN,NN NN NN,NN NN NN,NN NN NN,NN -LRB- NN,NN NN NN,NN NN NN
757,test sas,VB NNP,NN NN,NN NNS,NN NNS,NN VBP,NN VBZ,NN NN
758,test sas 7 b dat,VB NNP CD CD NNP,NN NN CD NN NN,NN NNS CD LS DT,NN VBD CD NN NN,NN NNP CD NNP NN,NN NN CD NN NN,NN NN CD NN NN
759,test hdf store subclass,VB NNP NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NNP NN NN,NN NN NN NN,NN NN NN NN
760,test read py tables hdf5,VB VB NNP NNS NNP,NN NN NN NNS VBP,NN VBD NNP NNS NN,NN VB JJ NNS .,NN VBD NNP VBZ NNP,NN VBD NN NNS JJ,NN NN NN NNS NN
761,table 1,NN CD,JJ CD,NN CD,NN CD,NN CD,NN CD,NN CD
762,table 2,NN CD,JJ CD,NN CD,NN CD,NN CD,NN CD,NN CD
763,table 3,NN CD,JJ CD,NN CD,NN CD,NN CD,NN CD,NN CD
764,test readers,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
765,test excel file read,VB NNP NN NN,NN NN NN NN,NN VBP NN NN,NN NN NN VBN,NN NNP NN NN,NN NN NN VBD,NN NN NN NN
766,test round trip,VB JJ NN,NN NN NN,NN JJ NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
767,test excel writer,VB NNP NN,NN NN NN,NN VBP NN,NN VB NN,NN NNP NN,NN JJ NN,NN NN NN
768,test excel writer engine tests,VB NNP NN NN NNS,NN NN NN NN NNS,NN VBP NN NN NNS,NN VB NN NN NNS,NN NNP NN NN NNS,NN NN NN NN NNS,NN NN NN NN NNS
769,dummy class,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,NN NN
770,test fs path,VB NNP NN,NN NN NN,NN NNS NN,NN NNS NN,VB PRP$ NN,NN VBZ NN,NN NN NN
771,test build schema,VB VB NN,NN NN NN,NN NN NN,NN VB NN,NN NNP NNP,NN VB NN,NN VB NN
772,test table schema type,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NNP VBP,NN NN NN NN,NN NN NN NN
773,test table orient,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
774,test table orient reader,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN JJ NN,NN NN NNP NN,NN NN NN NN,NN NN NN NN
775,my reader,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
776,test pandas container,VB NNP NN,NN NN NN,NN NNS NN,NN NNS NN,NN NNP NN,NN NNS NN,NN NNS NN
777,binary thing,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
778,test object,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
779,test json normalize,VB NNP VB,NN NN NN,NN NN VBP,NN NN NN,NNP NNP NNP,NN NN VB,NN NN VB
780,test nested to record,VB VBN TO VB,NN VBD TO VB,NN VBN IN NN,NN VBD TO VB,NN VBD TO VB,NN VBN TO VB,NN VBN TO VB
781,test ultra json tests,VB JJ NNP NNS,NN JJ NN NNS,NN NN NN NNS,NN JJ NN NNS,VB JJ NN NNS,NN AFX NN NNS,NN JJ NN NNS
782,o 2,FW CD,RB CD,IN CD,IN CD,LS CD,NFP CD,NN CD
783,o 1,FW CD,RB CD,IN CD,IN CD,NN CD,NFP CD,NN CD
784,dict test,NN NN,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
785,test numpy json tests,VB NNP NNP NNS,NN NN NN NNS,NN NN NN NNS,NN JJ NN NNS,NNP NNP NNP NNS,NN JJ NN NNS,NN NN NN NNS
786,test pandas json tests,VB NNP NNP NNS,NN NN NN NNS,NN NNS NN NNS,NN NNS NN NNS,NN VBZ NN NNS,NN NNS NN VBZ,NN NNS NN NNS
787,invalid dialect,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
788,base parser,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
789,c parser,NNP NN,NNS NN,NN NN,NN NN,NNP NN,NN NN,NN NN
790,c parser high memory,NNP NN JJ NN,NNS VBP JJ NN,NN NN JJ NN,NN NN JJ NN,NNP NNP JJ NN,NN NN JJ NN,NN NN JJ NN
791,c parser low memory,NNP NNP NNP NNP,NNS VBP JJ NN,NN NN JJ NN,SYM NN JJ NN,NNP NNP JJ NN,NN NN JJ NN,NN NN JJ NN
792,python parser,NNP NN,NNS NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
793,py arrow parser,NNP NN NN,NN NN NN,NNP NN NN,JJ NN NN,NNP NNP NN,UH NN NN,NN NN NN
794,test s 3,VB FW CD,NN NN CD,NN POS CD,NN VBZ CD,NNP NNP CD,NN NNS CD,NN POS CD
795,no next buffer,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN,DT JJ NN
796,test text reader,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
797,test unsupported features,VB JJ NNS,NN JJ NNS,NN JJ NNS,NN JJ NNS,VB JJ NNS,NN JJ NNS,VB JJ NNS
