,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
231,check start time in db,VB NN NN IN NN,VB JJ NN IN NN,VB NN NN IN NN,VB VB NN IN NN,VB VB NN IN NNP,VB NN NN IN NN,VB NN NN IN NN
232,create start time lookup key,VB NN NN NN NN,VB JJ NN NN NN,VB VB NN NN NN,VB NN NN NN NN,VB JJ NN NNP NN,VB NN NN NN NN,VB NN NN NN NN
233,create entity marker key,VB NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
234,add primary filter to key,VB JJ NN TO NN,VB JJ NN TO VB,VB JJ NN IN NN,VB JJ NN TO NN,VB JJ NN IN JJ,VB JJ NN IN NN,VB JJ NN IN NN
235,create entity event key,VB NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
236,get entity event,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
237,create primary filter key,VB NN NN NN,NN JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
238,add primary filter,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
239,create other info key,VB JJ NN NN,NN JJ JJ NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
240,parse remaining key,VB JJ NN,NN VBG NN,VB VBG JJ,JJ VBG NN,NN VBG JJ,NN VBG NN,VB VBG NN
241,create related entity key,VB JJ NN NN,NN JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
242,add related entity,VB JJ NN,RB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
243,create reverse related entity key,VB JJ JJ NN NN,NN NN JJ NN NN,VB RB VBN NN NN,VB NN VBN NN NN,VB RB VBN NN NN,VB JJ JJ NN NN,VB JJ JJ NN NN
244,clear start time cache,VB NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ VBP NN NN,JJ NN NN NN,JJ NN NN NN
245,get start time read cache size,VB NN NN VB NN NN,VB JJ NN JJ NN NN,VB VB NN VBN NN NN,VB VB NN VBN NN NN,VB JJ NN VBD NN NN,VB NN NN VB NN NN,VB NN NN VB NN NN
246,get start time write cache size,VB NN NN VB NN NN,VB JJ NN JJ NN NN,VB VB NN NN NN NN,VB VB NN VB NN NN,VB VB NN VB NN NN,VB NN NN VB NN NN,VB NN NN VB NN NN
247,get entity types,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
248,delete keys with prefix,VB NNS IN NN,JJ NNS IN NN,JJ NNS IN NN,JJ NNS IN NN,JJ NNS IN NN,JJ NNS IN NN,VB NNS IN NN
249,delete next entity,VB JJ NN,JJ JJ NN,VB JJ NN,JJ JJ NN,JJ JJ NN,NN JJ NN,VB JJ NN
250,discard old entities,VB JJ NNS,RB JJ NNS,VB JJ NNS,JJ JJ NNS,JJ JJ NNS,VB JJ NNS,VB JJ NNS
251,get db iterator,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NNP NN,VB NN NN,VB NN NN
252,load version,VB NN,NN NN,NN NN,NN NN,VB NN,NN NN,NN NN
253,store version,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
254,db store version,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VBP NN NN,NN NN NN,NN NN NN
255,get current version,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
256,check version,VB NN,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
257,get container id,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN <UNK>,VB NN NN,VB NN NN
258,set container id,VB NN NN,VBN NN NN,JJ NN NN,VBN NN NN,VBN NN <UNK>,NN NN NN,VB NN NN
259,get allocated resource,VB JJ NN,NN VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN
260,set allocated resource,VB JJ NN,VBN VBD NN,VBN VBN NN,VBN VBN NN,VBD VBN NN,NN VBN NN,VB VBN NN
261,get assigned node,VB JJ NN,NN VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN
262,set assigned node,VB JJ NN,NN VBD NNS,VBN VBN NN,NN VBN NN,VBN VBN NN,VB VBN NN,VB VBN NN
263,get priority,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
264,set priority,VB NN,VBN NN,VBN NN,VBN NN,VB NN,VBN NN,VB NN
265,set start time,VB NN NN,VBN NN NN,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VB NN NN
266,parse,VB,NN,VB,NN,VB,NN,NN
267,get domain,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
268,test register node manager request,VB NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN VB NNP NN NN,NN NN NN NN NN,NN NN NN NN NN
269,test register node manager request with null arrays,VB NN NN NN NN IN JJ NNS,NN NN NN NN NN IN JJ NNS,NN NN NN NN NN IN JJ NNS,NN NN NN NN NN IN JJ NNS,NN VB NNP NN NN IN JJ NNS,NN NN NN NN NN IN JJ NNS,NN NN NN NN NN IN JJ NNS
270,init,VB,NN,NN,NN,NNP,NN,NN
271,do filter,VB NN,VBP NN,VBP NN,VB NN,VB VB,VB NN,VB NN
272,destroy,VB,NN,VB,VB,VB,VB,VB
273,do cross filter,VB JJ NN,VB NNS VB,VB VB NN,VB NN NN,VBP VB NN,VBP VB NN,VB NN NN
274,get allowed headers header,VB VBN NNS NN,NN VBN NNS RBR,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN
275,get allowed methods header,VB VBN NNS NN,NN VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN,VB VBN NNS NN
276,initialize allowed methods,VB VBN NNS,NN VBD NNS,VB VBN NNS,NN VBN NNS,VBG VBN NNS,VB VBN NNS,VB VBN NNS
277,initialize allowed headers,VB VBN NNS,NN VBD NNS,VB VBN NNS,NN VBD NNS,NN VBD NNS,VB VBN NNS,VB VBN NNS
278,initialize allowed origins,VB VBN NNS,NN VBD NNS,VB VBN NNS,NN VBD NNS,NN VBN NNS,VB VBN NNS,VB VBN NNS
279,initialize max age,VB JJ NN,VB NNS NN,VB NN NN,NN NN NN,VB NNP NN,VB NN NN,VB NN NN
280,encode header,VB NN,NN NN,VBP NN,JJ NN,NNP NN,VB NN,VB NN
281,is cross origin,VBZ JJ NN,VBZ JJ NN,VBZ JJ NN,VBZ NN NN,VBZ NNP NN,VBZ NN NN,VBZ NN NN
282,is origin allowed,VBZ NN VBD,VBZ NN VBD,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
283,are headers allowed,VBP NNS VBD,VBP NNS VBD,VBP NNS VBN,VBP NNS VBN,VBP NNS VBN,VBP NNS VBN,VBP NNS VBN
284,is method allowed,VBZ NN VBD,VBZ NN VBD,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
285,get host,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
286,set host,VB NN,NN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
287,get port,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
288,set port,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
289,build,VB,NN,NN,VB,VB,VB,VB
290,test reflect,VB VB,NN NN,NN VBP,NN VB,NN VBP,NN VB,NN VB
291,emit record,VB NN,NN NN,VB NN,NN NN,VB NN,VB NN,VB NN
292,emit metric,VB NN,NN JJ,VB JJ,NN JJ,VB JJ,VB NN,VB NN
293,get units,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
294,get slope,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
295,get tmax,VB NNP,VB NN,VB NN,VB NN,VB JJ,VB NNP,VB NN
296,get dmax,VB NNP,VB NN,VB NN,VB NN,VB JJ,VB NN,VB NN
297,xdr string,NNP NN,NN NN,NN NN,JJ NN,NNP NNP,FW NN,NN NN
298,pad,NN,NN,NN,NN,NN,NN,NN
299,xdr int,NNP NN,NNS NN,NN NN,NN NN,NNP NN,FW FW,NN NN
300,tear down,VB RP,VB RP,VB RP,VB RB,VB RP,VB RP,VB RB
301,create keys as json,VB NNS IN NN,NN NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NNP,VB NNS IN NN
302,test,VB,NN,NN,NN,NN,NN,NN
303,transition,NN,NN,NN,NN,NN,NN,NN
304,get master container,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
305,get attempt id,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN <UNK>,VB NN IN,VB NN NN
306,get app attempt credentials,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
307,get state,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
308,get final tracking url,VB JJ VBG NNP,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
309,get diagnostics,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
310,get final application status,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VBP JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
311,get am container exit status,VB FW NN NN NN,VB VBP JJR NN NN,VB VBP NN NN NN,VB VBP NN NN NN,VB VBP NN NN NN,VB VBP NN NN NN,VB VBP NN NN NN
312,get app id,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NNP <UNK>,VB NN IN,VB NN NN
313,get submit time,VB NN NN,VB JJ NN,VB VB NN,VB VB NN,VB NN NN,VB JJ NN,VB VB NN
314,get attempt count,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
315,get application submission context,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
316,get attempt,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
317,get user,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
318,get token state,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB NN NN
319,get master key state,VB NN NN NN,VB NN NN NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN,VB NN JJ NN
320,get dt sequence number,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB NNP NN NN,VB NN NN NN,VB NN NN NN
321,get application state,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
322,get rm dt secret manager state,VB VB FW NN NN NN,VB JJ NN JJ NN NN,VB NNP NNP JJ NN NN,VB NN IN JJ NN NN,VB NNP NNP JJ NN NN,VB NN NN JJ NN NN,VB NN NN NN NN NN
323,get am rm token secret manager state,VB NN VB NN NN NN NN,VB VBP VB JJ JJ NN NN,VB VBP JJ JJ JJ NN NN,VB VBP JJ JJ NN NN NN,VB VBP NN VBN JJ NN NN,VB PRP VBP JJ JJ NN NN,VB VBP NN NN JJ NN NN
324,set rm dispatcher,VB VB NN,VBN NN NN,VBN NN NN,VBN NN NN,VBD NNP NN,NN NN NN,VB NN NN
325,service start,NN NN,NN NN,NN NN,NN NN,NN VB,NN NN,NN NN
326,init internal,VB NN,NN JJ,FW JJ,NN JJ,VBD JJ,NN JJ,NN JJ
327,start internal,VB NN,NN JJ,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
328,close internal,VB NN,JJ JJ,JJ JJ,RB JJ,VB JJ,RB JJ,JJ JJ
329,get and increment epoch,VB CC VB NN,NN CC NN NN,VB CC NN NN,VB CC VB NN,VB CC NN NNP,VB CC NN NN,VB CC VB NN
330,load state,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
331,store new application,VB JJ NN,RB JJ NN,VB JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
332,update application state,VB NN NN,JJ NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
333,store application state internal,VB NN NN NN,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ
334,update application state internal,JJ NN NN JJ,JJ NN NN JJ,NN NN NN JJ,VB NN NN JJ,NN NN NN JJ,NN NN NN JJ,NN NN NN JJ
335,store new application attempt,VB JJ NN NN,RB JJ NN NN,VB JJ NN NN,NN JJ NN NN,VB JJ NN NN,NN JJ NN NN,NN JJ NN NN
336,update application attempt state,VB NN NN NN,JJ NN NN NN,NN NN NN NN,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
337,store application attempt state internal,VB NN NN NN NN,NN NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ
338,update application attempt state internal,VB NN NN NN NN,JJ NN NN NN JJ,NN NN NN NN JJ,VB NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ,NN NN NN NN JJ
339,store rm delegation token and sequence number,VB VB NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN
340,store rm delegation token and sequence number state,VB VB NN NN CC NN NN NN,NN NN NN NN CC NN NN NN,NN NN NN NN CC NN NN NN,NN NN NN NN CC NN NN NN,NN NN NN NN CC NN NN NN,NN NN NN NN CC NN NN NN,NN NN NN NN CC NN NN NN
341,remove rm delegation token,VB VB NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBN,VB NN NN NN,VB NN NN NN
342,remove rm delegation token state,VB VB NN NN NN,VB NN NN NN NN,VB NN NN JJ NN,VB NN NN JJ NN,VB NN NN NN NN,VB NN NN JJ NN,VB NN NN NN NN
343,update rm delegation token and sequence number,VB VB NN NN CC NN NN,JJ NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN,VB NN NN NN CC NN NN,NN NN NN NN CC NN NN,NN NN NN NN CC NN NN
344,update rm delegation token and sequence number internal,VB VB NN NN CC NN NN NN,JJ NN NN NN CC NN NN JJ,NN NN NN NN CC NN NN JJ,NN NN NN NN CC NN NN JJ,VB NN NN NN CC NN NN JJ,NN NN NN NN CC NN NN JJ,NN NN NN NN CC NN NN JJ
345,store rm dt master key,VB VB FW NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN JJ NN NN,NN NNP NNP NNP NNP,NN NN NN NN NN,NN NN NN NN NN
346,store rm dt master key state,VB VB FW NN JJ NN,NN NN NN NN NN NN,NN NN NN NN JJ NN,NN NN JJ NN NN NN,NN NNP NNP NNP JJ NN,NN NN NN NN JJ NN,NN NN NN NN NN NN
347,remove rm dt master key,VB VB FW NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN JJ NN NN,VB NNP NNP NNP NN,VB NN NN NN NN,VB NN NN NN NN
348,remove rm dt master key state,VB VB FW NN NN NN,VB NN NN NN NN NN,VB NN NN NN JJ NN,VB NN JJ NN NN NN,VB NNP NNP NNP JJ NN,VB NN NN NN JJ NN,VB NN NN NN NN NN
349,store or update am rm token secret manager state,VB CC VB NN VB NN JJ NN NN,NN CC JJ VBP JJ NN JJ NN NN,NN CC NN VBP JJ JJ JJ NN NN,NN CC NN VBP JJ JJ NN NN NN,NN CC VB VBP NNP VBN JJ NN NN,NN CC NN VBP UH JJ JJ NN NN,NN CC NN VBP NN NN JJ NN NN
350,remove application,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
351,remove application state internal,VB NN NN NN,VB NN NN JJ,VB NN NN JJ,VB NN NN JJ,VB NN NN JJ,VB NN NN JJ,VB NN NN JJ
352,get credentials from app attempt,VB NNS IN NN NN,NN NNS IN JJ NN,VB NNS IN NN NN,VB NNS IN NN NN,VB NNS IN NN NN,VB NNS IN NN NN,VB NNS IN NN NN
353,handle store event,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN
354,notify store operation failed,VB NN NN VBD,JJ NN NN VBD,VB NN NN VBD,VBP NN NN VBN,VB NN NN VBD,VB NN NN VBN,VB NN NN VBN
355,notify application,VB NN,DT NN,VB NN,VBP NN,VB NN,VB NN,VB NN
356,notify application attempt,VB NN NN,DT NN NN,VB NN NN,VBP NN NN,VB NN NN,VB NN NN,VB NN NN
357,handle,VB,NN,VB,NN,VB,VB,VB
358,delete store,VB NN,NN NN,JJ NN,JJ NN,JJ NN,NN NN,VB NN
359,journal,NN,NN,NN,NN,NNP,NN,NN
360,start log segment,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
361,fence,VB,NN,NN,NN,NN,NN,NN
362,test sorted map writable,VB VBD NN JJ,NN VBD RBR JJ,NN VBN NN NN,NN VBD NN NN,NN VBD NN JJ,NN VBN NN JJ,NN VBN NN NN
363,test foreign class,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
364,test equals and hash code,VB NNS CC NN NN,NN NNS CC NN NN,NN VBZ CC NN NN,NN NNS CC NN NN,NN VBZ CC NN NN,NN VBZ CC NN NN,NN VBZ CC NN NN
365,test put all,VB VBD DT,NN VBD DT,NN VBD DT,NN VB PDT,NN VBD DT,NN VBN DT,NN VBN DT
366,get scheme,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
367,initialize metadata cache,VB NNS NN,VB NNS NN,VB NN NN,NN NN NN,VB NNP NNP,VB NN NN,VB NN NN
368,initialize,VB,VB,VB,NN,NN,VB,VB
369,get conf,VB NN,VB NN,VB NN,VB NN,VB JJ,VB NN,VB NN
370,get har version,VB NNP NN,VB JJ NN,VB JJ NN,VB RB NN,VB NN NN,VB NN NN,VB NN NN
371,archive path,VB NN,JJ NN,NN NN,NN NN,JJ NN,JJ NN,NN NN
372,decode har uri,VB NNP NNP,NN NN NN,VB NN NN,JJ RB .,NNP NNP NN,NN FW FW,VB NN NN
373,decode string,VB NN,NN NN,VB NN,JJ NN,JJ NN,NN NN,VB NN
374,decode file name,VB NN NN,NN NN NN,VB NN NN,JJ NN NN,JJ NN NN,NN NN NN,VB NN NN
375,get working directory,VB VBG NN,VB VBG NN,VB VBG NN,VB VBG NN,VB VBG NN,VB VBG NN,VB VBG NN
376,get initial working directory,VB JJ VBG NN,VB JJ VBG NN,VB JJ VBG NN,VB JJ NN NN,VB JJ VBG NN,VB JJ VBG NN,VB JJ NN NN
377,get status,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
378,get har auth,VB NNP NN,VB JJ NN,VB JJ NN,VB RB NN,VB UH NN,VB UH NN,VB PRP NN
379,get canonical uri,VB JJ NNP,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
380,canonicalize uri,VB NNP,NN NN,VB NNP,NN NN,VB NNP,VB NN,VB NN
381,get uri,VB NNP,VB JJ,VB NNP,VB NN,VB JJ,VB NN,VB NN
382,check path,VB NN,VB NN,VB NN,NN NN,VB NN,VB NN,VB NN
383,resolve path,VB NN,VB NN,NN NN,NN NN,VB NN,VB NN,VB NN
384,get path in har,VB NN IN NNP,VB NN IN NN,VB NN IN NN,VB NN IN RB,VB NN IN NN,VB NN IN NN,VB NN IN NN
385,make relative,VB JJ,VB NN,VB JJ,VB JJ,VB JJ,VB NN,VB NN
386,make qualified,VB JJ,VB JJ,VB JJ,VB VBN,VB JJ,VB JJ,VB JJ
387,fix block locations,VB NN NNS,NN NN NNS,NN NN NNS,VB NN NNS,VB NN NNS,NN NN NNS,VB NN NNS
388,get file block locations,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB VB NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
389,get har hash,VB NNP NN,VB JJ NN,VB JJ NN,VB RB .,VB JJ NN,VB NN NN,VB NN NN
390,file statuses in index,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN,NN NNS IN NN
391,to file status,TO NN NN,TO VB NN,TO VB NN,TO NN NN,TO VB NN,TO VB NN,TO VB NN
392,is dir,VBZ NN,VBZ JJ,VBZ NN,VBZ NN,VBZ JJ,VBZ NN,VBZ NN
393,get name,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
394,get part name,VB NN NN,VB NN NN,VBP JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
395,get start index,VB NN NN,VB JJ NN,VB VB NN,VB NN NN,VB VB NN,VB VB NN,VB NN NN
396,get length,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
397,get modification time,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
398,get file status,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
399,get file har status,VB NN NNP NN,VB JJ NN NN,VB NN NN NN,VB VB RB NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
400,get file checksum,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
401,open,VB,JJ,JJ,JJ,VB,JJ,JJ
402,get child file systems,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
403,create,VB,NN,VB,VB,VB,VB,VB
404,create non recursive,VB RB JJ,NN NNS VBP,VB AFX JJ,VB JJ JJ,VB AFX JJ,VB AFX JJ,VB AFX JJ
405,append,VB,NN,VBP,NN,VB,VB,VB
406,set replication,VB NN,VBN NN,JJ NN,VBN NN,VBN NN,NN NN,VB NN
407,rename,VB,NN,VB,NN,JJ,VB,VB
408,delete,VB,NN,JJ,NN,VB,NN,VB
409,list status,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
410,get home directory,VB NN NN,VB NN NN,VB RB NN,VB NN NN,VB NN NN,VB RB NN,VB NN NN
411,set working directory,VB JJ NN,VBN VBG NN,VBN VBG NN,VBN VBG NN,VBD VBG NN,NN VBG NN,VB NN NN
412,mkdirs,NNP,NNS,NNS,NNS,NNS,NNP,NNS
413,copy from local file,VB IN JJ NN,NN IN JJ NN,NN IN JJ NN,NN IN JJ NN,VBP IN JJ NN,NN IN JJ NN,NN IN JJ NN
414,copy to local file,VB TO JJ NN,NN TO JJ NN,NN IN JJ NN,NN TO JJ NN,VBP IN JJ NN,NN IN JJ NN,VB IN JJ NN
415,start local output,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
416,complete local output,VB JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN
417,set owner,VB NN,NN NN,NN NN,VBN NN,VBN NN,NN NN,VB NN
418,set times,VB NNS,VBN NNS,VBN NNS,VBN NNS,VBN NNS,VBN NNS,VB NNS
419,set permission,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN,VB NN
420,available,JJ,JJ,JJ,JJ,JJ,JJ,JJ
421,mark,VB,NN,NN,NN,NN,NN,NN
422,reset,VB,NN,NN,VB,VB,VB,VB
423,skip,VB,NN,VB,NN,VB,NN,VB
424,get pos,VB NN,VB NN,VB NNS,VB NNS,VB JJ,VB NN,VB NN
425,seek,VB,NN,VB,VB,VB,VB,VB
426,validate position,VB NN,NN NN,VB NN,NN NN,NN NN,VB NN,VB NN
427,seek to new source,VB TO JJ NN,NN TO JJ NN,VB TO JJ NN,VB TO JJ NN,VB IN JJ NN,VB IN JJ NN,VB IN JJ NN
428,read fully,VB RB,VB RB,VB RB,VBN RB,VB RB,VB RB,VB RB
429,set readahead,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
430,set drop behind,VB NN IN,VBN NN IN,VBN NN IN,VBN NN IN,VBN NN IN,VBN NN RB,VB NN RB
431,get part file status,VB JJ NN NN,VB NN NN NN,VBP JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
432,get master index timestamp,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
433,get archive index timestamp,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN
434,get version,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
435,parse meta data,VB NN NNS,NN NN NNS,VB NN NNS,JJ NN NNS,VB JJ NNS,NN JJ NNS,VB NN NNS
436,get metadata,VB NNS,VB NNS,VB NN,VB NNS,VB NNP,VB NN,VB NN
437,remove eldest entry,VB JJS NN,VB JJS NN,VB JJS NN,VB JJ NN,VB JJS NN,VB JJS NN,VB JJS NN
438,get server defaults,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
439,get used,VB VBN,NN VBN,VB VBN,VB VBN,VB VBN,VB JJ,VB VBN
440,get default block size,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
441,get default replication,VB JJ NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
442,get test string,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
443,test writable,VB JJ,NN NN,NN NN,NN NN,NNP NNP,NN JJ,NN NN
444,test get bytes,VB VB NNS,NN NN NNS,NN VBP NNS,NN VB NNS,NN VB NNS,NN VB NNS,NN VB NN
445,test i o,VB NN NN,NN NN VBP,NN PRP IN,NN NN IN,VBP PRP VBP,NN PRP VBP,NN PRP VBP
446,test null encoding,VB JJ VBG,NN NN VBG,NN JJ NN,NN NN VBG,NN NNP NN,NN NN NN,NN JJ NN
447,test non basic multilingual plane,VB RB JJ JJ NN,NN NN JJ JJ NN,NN AFX JJ JJ NN,NN JJ JJ JJ NN,VB AFX JJ JJ NN,NN AFX JJ JJ NN,NN AFX JJ JJ NN
448,test invalid utf8,VB JJ NNP,NN NN NN,NN JJ NN,NN NN .,VB NNP NN,NN NN NN,NN JJ NN
449,test 5 byte utf8 sequence,VB CD NN NNP NN,NN CD NN JJ NN,NN CD NN NN NN,NN CD NN CD NN,NN CD NN NNP NN,NN CD NN CD NN,NN CD NN NN NN
450,test invalid utf8 truncated,VB JJ NNP JJ,NN JJ NN VBD,NN JJ NN VBN,NN JJ NNS .,NN NNP NNP VBD,NN NN CD VBN,NN JJ NN VBN
451,set progressable,VB JJ,VBN JJ,VBN NN,VBN NN,VBN NN,VBN JJ,VB JJ
452,add key value,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
453,set input buffer,VB NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBD NN NN,VBN NN NN,VB NN NN
454,get memory utilized,VB NN JJ,VB NN JJ,VB NN VBN,VB NN VBN,VB NN VBN,VB NN VBN,VB NN VBN
