,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
1366,test secondary namenode error 1,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD
1367,test secondary namenode error 2,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD
1368,test secondary namenode error 3,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD,VB JJ NN NN CD,NN JJ NN NN CD,NN JJ NN NN CD
1369,test secondary fails with error before setting headers,VB JJ NNS IN NN IN VBG NNS,NN JJ NNS IN NN IN VBG NNS,NN JJ VBZ IN NN IN VBG NNS,NN JJ VBZ IN NN IN VBG NNS,VBP JJ VBZ IN NN IN VBG NNS,NN JJ VBZ IN NN IN VBG NNS,NN NN VBZ IN NN IN VBG NNS
1370,do secondary fails to return image,VB JJ NNS TO VB NN,VBP JJ NNS TO VB NN,VBP JJ VBZ TO VB NN,VBP JJ VBZ TO VB NN,VBP JJ VBZ TO VB NN,VB JJ NNS TO VB NN,VB NN VBZ TO VB NN
1371,file path containing,NN NN VBG,JJ NN NN,NN NN VBG,NN NN VBG,NN NN VBG,NN NN VBG,NN NN VBG
1372,is time unit,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
1373,is work unit,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
1374,parse rate opt,VB NN NN,NN NN NN,VB NN VBP,JJ NN NN,NN NN NN,NN NN NN,NN NN NN
1375,parse unit,VB NN,NN NN,VB NN,JJ NN,NN NN,NN NN,NN NN
1376,set reps,VB NNS,VBN NNS,VBN NNS,VBN NNS,VBD NNS,NN NNS,VB NNS
1377,set units,VB NNS,VBN NNS,VBN NNS,VBN NNS,VBN NNS,VBN NNS,VB NNS
1378,set unit name,VB NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VB NN NN
1379,add time,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1380,set error,VB NN,VBN NN,VBN NN,VBN NN,VB NN,VB NN,VB NN
1381,set modifiers,VB NNS,NN NNS,VBN NNS,VBN NNS,VBN NNS,NN NNS,VB NNS
1382,get reps per run,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN
1383,get units per rep,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN
1384,get units per run,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN
1385,get modifiers,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1386,get num runs,VB NN NNS,VB JJ NNS,VB NNP NNS,VB NN NNS,VB JJ NNS,VB NN NNS,VB NN NNS
1387,get time,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1388,get reps per second,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN RB,VB NNS IN NN,VB NNS IN NN
1389,get units per second,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN RB,VB NNS IN NN,VB NNS IN NN
1390,get total reps,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1391,get total units,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
1392,get total time,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1393,get average reps per second,VB JJ NNS IN NN,NN JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN RB,VB JJ NNS IN NN,VB JJ NNS IN NN
1394,get average units per second,VB JJ NNS IN NN,NN JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN RB,VB JJ NNS IN NN,VB JJ NNS IN NN
1395,get average string,VB JJ NN,NN JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1396,summarize,VB,VB,VB,NN,VB,VB,VB
1397,visit,VB,NN,NN,NN,VB,VB,VB
1398,load options,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
1399,save options,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1400,get file chooser,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1401,save or discard last results,VB CC VB JJ NNS,NN CC NN JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS
1402,input user str,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
1403,save results,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1404,start gui,VB NNP,NN NN,VB NNP,NN NN,VB NN,VB NN,VB NN
1405,get preferred size,VB JJ NN,VB VBN NN,VB VBN NN,VB VBN NN,VB JJ NN,VB JJ NN,VB VBN NN
1406,action performed,NN VBN,NN VBD,NN VBN,NN VBN,NN VBD,NN VBD,NN VBN
1407,run tests,VB NNS,NN NNS,NN NNS,NN NNS,VB NNS,VB NNS,VB NNS
1408,window closing,NN VBG,NN NN,NN NN,NN VBG,NN NN,NN NN,NN NN
1409,set title,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,NN NN,VB NN
1410,set description,VB NN,VBN NN,VBN NN,VBN NN,VB NN,NN NN,VB NN
1411,record,VB,NN,NN,NN,NN,NN,NN
1412,make alpha color,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
1413,init test,VB NN,NN NN,JJ NN,NN NN,JJ NN,NN NN,NN NN
1414,pixels touched,NNS VBN,NNS VBD,NNS VBD,NNS VBN,VBZ JJ,NNS VBD,NNS VBN
1415,create context,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1416,get output size,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1417,init context,VB NN,NN NN,JJ NN,NN NN,JJ NN,NN NN,NN NN
1418,cleanup test,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1419,get short name,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1420,get description,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1421,scale for point,VB IN VB,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN
1422,scale for transform,VB IN VB,NN IN NN,NN IN VB,NN IN VB,NN IN NN,NN IN NN,NN IN NN
1423,init contents,VB NNS,NN NNS,FW NNS,NN NNS,JJ NNS,NN NNS,NN NNS
1424,run test,VB NN,VB NN,VB NN,NN NN,VBN NN,VB NN,VB NN
1425,init iio write formats,VB NNP VBP NNS,NN VBZ JJ NNS,FW FW NN NNS,NN RB VB NNS,NNP VBP NN NNS,NN NNP VBP NNS,NN NN VB NNS
1426,is compatible,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
1427,image started,NN VBD,NN VBD,NN VBD,NN VBN,NN VBD,NN VBD,NN VBD
1428,image progress,NN VB,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1429,image complete,NN VB,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ
1430,thumbnail started,NN VBD,NN VBD,JJ VBN,NN VBN,NNP VBD,NN VBD,NN VBD
1431,thumbnail progress,NN VB,NN NN,JJ NN,NN NN,NN NN,JJ NN,NN NN
1432,thumbnail complete,NN VB,NN NN,JJ JJ,NN JJ,NNP JJ,NN JJ,NN JJ
1433,write aborted,VB VBN,RB JJ,VB JJ,VB VBN,NNP VBD,VB VBN,VB VBN
1434,init iio read formats,VB NNP VBP NNS,NN NN VBD NNS,FW FW VBD NNS,NN NN VBD NNS,NNP NNP NNP NNS,NN NNP VBD NNS,NN NN NN NNS
1435,sequence started,NN VBD,NN VBD,NN VBD,NN VBN,NN VBD,NN VBD,NN VBD
1436,sequence complete,NN VB,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ
1437,read aborted,NN VBN,NN VBD,VB JJ,VBN VBN,VBN VBN,VB VBN,VB VBN
1438,get abbreviated modifier description,VB JJ NN NN,NN VBN JJR NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN,VB JJ NN NN
1439,get modifier value name,VB NN NN NN,VB JJR NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1440,init output,VB NN,NN NN,JJ NN,NN NN,JJ NN,NN NN,NN NN
1441,create image output stream,VB NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1442,close original stream,VB JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN,JJ JJ NN
1443,create buffered image,VB JJ NN,NN VBD NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN
1444,init input,VB NN,NN NN,JJ NN,NN NN,NNP NN,NN NN,NN NN
1445,create image input stream,VB NN NN NN,NN NN NN NN,VB NN NN NN,VBP NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1446,get unit name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1447,get image,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1448,get j component,VB FW NN,VB JJ NN,VB NN NN,VB RB NN,VB NNP NN,VB NN NN,VB NN NN
1449,restore default,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1450,set option,VB NN,NN NN,NN NN,NN NN,VBN NN,NN NN,VB NN
1451,make gradient colors,VB NN NNS,VB NN NNS,VB NN NNS,VB JJ NNS,VB JJ NNS,VB NN NNS,VB NN NNS
1452,make linear,VB NN,NN NN,VB JJ,VB NN,VB JJ,VB JJ,VB NN
1453,make radial,VB NN,VB NN,VB JJ,VB JJ,VB JJ,VB JJ,VB JJ
1454,make texture paint,VB NN NN,VB NN NN,VB NN NN,VBP NN NN,VB NN NN,VB NN NN,VB NN NN
1455,float object list,NN NN NN,NN VBP NN,VB NN NN,VB NN NN,VB NN NN,NN NN NN,VB NN NN
1456,float string list,NN NN NN,NN VBG NN,VB NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN
1457,int string list,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN
1458,get string,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1459,get simple string,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1460,physical font name for,JJ NN NN IN,JJ NN NN IN,JJ NN NN IN,JJ JJ NN IN,JJ JJ NN IN,JJ NN NN IN,JJ NN NN IN
1461,get val string,VB NN NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB NN NN
1462,first,JJ,RB,RB,RB,RB,RB,RB
1463,last,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1464,current,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1465,previous,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1466,set index,VB NN,NN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
1467,get begin index,VB JJ NN,VB JJ NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
1468,get end index,VB JJ NN,VB JJ NN,VB NN NN,VB NN NN,VB NNP NN,VB NN NN,VB NN NN
1469,get index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1470,clone,VB,NN,NN,NN,VBD,JJ,NN
1471,values,NNS,NNS,NNS,NNS,NNS,NNS,NNS
1472,create image type list,VB NN NN NN,NN NN JJ NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1473,get color space,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1474,create image list,VB NN NN,NN NN NN,VB NN NN,VBP NN NN,VB NN NN,VB NN NN,VB NN NN
1475,make image,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1476,get transparency,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1477,set value from string,VBN NN IN NN,VBN NN IN VBG,VBN NN IN NN,VBN NN IN NN,VBN NN IN NN,VBN NN IN NN,VB NN IN NN
1478,modify test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1479,restore test,VB NN,RB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1480,read results,VB NNS,JJ NNS,VBD NNS,VBN NNS,VBD NNS,VB NNS,VB NNS
1481,add result set,VB NN NN,JJ NN VBN,VB NN NN,VB NN VBN,VB NN VBN,VB NN VBN,VB NN NN
1482,read result set,VB NN NN,JJ NN VBN,VB NN NN,VBD NN NN,VBN NN VBN,VB NN VBN,VB NN NN
1483,read result,VB NN,NN NN,VB NN,VBN NN,VB NN,VB NN,VB NN
1484,get string attribute,VB NN NN,VB VBG NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1485,get long attribute,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1486,get int attribute,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB DT NN
1487,get title,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1488,get key enumeration,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1489,get result enumeration,VB NN NN,VB NN NN,VB VBP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1490,get result by key,VB NN IN NN,VB NN IN JJ,VB NN IN JJ,VB NN IN NN,VB NN IN JJ,VB NN IN NN,VB NN IN NN
1491,get result set,VB NN NN,VB NN NN,VB NN NN,VB NN VBN,VB NN VBN,VB NN VBN,VB NN NN
1492,has more elements,VBZ JJ NNS,VBZ JJR NNS,VBZ JJR NNS,VBZ JJR NNS,VBZ JJR NNS,VBZ JJR NNS,VBZ JJR NNS
1493,next element,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1494,set end time,VB NN NN,VBN NN NN,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VB NN NN
1495,get end time,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1496,set property,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
1497,get properties,VB NNS,NN NNS,VB NNS,VBP NNS,VB NNS,VB NNS,VB NNS
1498,add result,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1499,set name,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
1500,get short key,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1501,make key,VB NN,VB NN,VB JJ,VB NN,VB JJ,VB NN,VB NN
1502,get reps,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1503,add option,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1504,get options,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1505,get spread,VB NN,VB NN,VB VBN,VB NN,VB VBN,VB VBN,VB NN
1506,get score,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1507,get best score,VB JJS NN,VB JJS NN,VB JJS NN,VB JJS NN,VB JJS NN,VB JJS NN,VB JJS NN
1508,get all scores,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
1509,calc percent,VB NN,NN NN,NN NN,NN NN,NNP NN,NNP NN,NN NN
1510,format,NN,NN,NN,NN,NN,NN,NN
1511,set mode,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
1512,open file,VB NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1513,generate series report,VB NNS NN,JJ NN NN,VBP NN NN,VB NN NN,VB NNP NN,VB NN NN,VB NN NN
1514,print iio table,VB NNP NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,VB DT NN
1515,print wiki table,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,VB NN NN
1516,print html table,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,VB NN NN
1517,print html cell,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,VB NN NN
1518,to sorted array,TO VBN NN,TO VBN NN,IN VBN NN,TO JJ NN,IN JJ NN,TO VB NN,IN VBN NN
1519,sort 2,VB CD,NN CD,RB CD,NN CD,RB CD,RB CD,NN CD
1520,magic,NN,NN,NN,NN,NN,NN,NN
1521,set group level,VB NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,NN NN NN,VB NN NN
1522,add group,VB NN,NNS NN,VB NN,VB NN,VB NN,VB NN,VB NN
1523,get display group name,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1524,get group,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1525,generate report,VB NN,NN NN,VBP NN,VB NN,VB NN,VB NN,VB NN
1526,generate comparison report,VB NN NN,NN NN NN,VBP NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1527,generate group summary report,VB NN NN NN,NN NN JJ NN,VBP NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1528,generate test case summary report,VB NN NN NN NN,NN NN NN JJ NN,VBP NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN
1529,get test results table for summary,VB NN NNS NN IN NN,VB NN NNS JJ IN JJ,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN
1530,get status table for summary,VB NN NN IN NN,NN NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
1531,get performance table for testcase,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
1532,generate test case report,VB NN NN NN,NN NN NN NN,VBP NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1533,get footer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1534,get header,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1535,get header title,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1536,generate sys props report,VB NN NNS NN,NN NN NNS NN,VBP NNS NNS VBP,VB NNS NNS NN,VB NN NNS VBP,VB NNS NNS NN,VB NN NNS NN
1537,select color,VB NN,NN NN,JJ NN,JJ NN,JJ NN,NN NN,VB NN
1538,calculate speedup percentage,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
1539,add dependency,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1540,add dependencies,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1541,run one test,VB CD NN,VB CD NN,VB CD NN,VBN CD NN,VB CD NN,VB CD NN,VB CD NN
1542,run test loop,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1543,calibrate,VB,NN,VB,NN,VB,NN,VB
1544,adjust width,VB NN,NN NN,VB NN,VBP NN,VB NNP,VB NN,VB NN
1545,get modifier,VB NN,VB JJR,VB NN,VB NN,VB NN,VB NN,VB NN
1546,get filter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1547,recurse and run,VB CC VB,NN CC VB,VB CC VB,NN CC NN,JJ CC VB,VB CC VB,NN CC NN
1548,run all tests,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
1549,start timing,VB NN,NN NN,VB VBG,NN VBG,VB VBG,VB NN,VB NN
1550,stop timing,VB NN,NN NN,VB VBG,NN VBG,VB VBG,VB VBG,VB NN
1551,get time millis,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNP,VB NN NNS,VB NN NNS
1552,get time nanos,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1553,get canvas,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1554,get src image,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN
1555,stop,VB,NN,VB,NN,VB,VB,NN
1556,is stopped,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN
1557,set test image,VB NN NN,VBN NN NN,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VB NN NN
1558,set src image,VB NN NN,VBN JJ NN,VBN NN NN,VBN NN NN,VB NN NN,VBN NN NN,VB NN NN
1559,erase,VB,NN,VB,NN,NN,UH,VB
1560,get graphics,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1561,get width,VB NN,VB NN,VB NN,VB NN,VB VB,VB NN,VB NN
1562,get height,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1563,get rep count,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NNP NN,VB NN VB,VB NN NN
1564,get test time,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1565,sync,VB,NN,NN,NN,NN,NN,NN
1566,idle,VB,JJ,JJ,JJ,JJ,JJ,NN
1567,set modifier,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN,VB NN
1568,is enabled,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN
1569,get int value,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB DT NN
1570,remove modifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1571,flush to screen,VB TO NN,NN TO VB,JJ TO VB,RB TO NN,JJ TO VB,NN IN NN,VB IN NN
1572,get impl,VB NN,VB NN,VB NN,VB NN,VB NNS,VB JJ,VB NN
1573,get iterator,VB NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
1574,get tree name,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1575,get parent,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1576,get node name,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
1577,set next,VB JJ,VBN JJ,VBN JJ,VBN IN,VB RB,VBN RB,VB RB
1578,traverse,VB,NN,VB,NN,VB,NN,VB
1579,add child,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1580,get child iterator,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1581,get recursive child iterator,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
1582,get first child,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1583,is bordered,VBZ JJ,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN
1584,is tabbed,VBZ JJ,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ JJ
1585,is hidden,VBZ JJ,VBZ JJ,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ JJ
1586,is horizontal,VBZ JJ,VBZ JJ,VBZ JJ,VBZ VBG,VBZ JJ,VBZ JJ,VBZ JJ
1587,set bordered,VB JJ,NN VBD,VBN VBN,VBN VBN,VBD VBN,NN VBN,VB VBN
1588,set tabbed,VB JJ,NN VBD,VBN VBN,VBN VBN,VBN VBN,NN VBN,VB NN
1589,set hidden,VB JJ,VBN NN,VBN JJ,NN VBN,VBD NNP,VB VBN,VB JJ
1590,set horizontal,VB JJ,VBN NN,VBN JJ,VBN NN,VBN JJ,VBN JJ,VB NN
1591,add enable buttons,VB VB NNS,VB JJ NNS,VB VB NNS,VB VB NNS,VB JJ NNS,VB JJ NNS,VB NN NNS
1592,restore all defaults,VB DT NNS,RB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
1593,write all,VB DT,VB DT,VB DT,VB PDT,VB DT,VB DT,VB DT
1594,set destination,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN
1595,get long description,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1596,is default,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ NN,VBZ JJ
1597,get option string,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1598,update gui,VB NNP,JJ NN,NN NN,NN NN,VB NN,NN NN,NN NN
1599,item state changed,NN NN VBD,NN NN VBD,NN NN VBD,NN NN VBN,NN NN VBD,NN NN VBD,NN NN VBD
1600,insert string,VB NN,NN NN,NN NN,NN NN,JJ NN,VB NN,VB NN
1601,trim,VB,NN,NN,NN,VB,NN,NN
1602,set num rows,VB NN NNS,VBN NN NNS,VBN NN NNS,VBN NN NNS,VBD JJ NNS,NN NN NNS,VB NN NNS
1603,value changed,NN VBD,NN VBD,NN VBD,NN VBN,NN VBD,NN VBN,NN VBN
1604,find value index,VB NN NN,VB NN NN,VB NN NN,VBP NN NN,VB NN NN,VB NN NN,VB NN NN
1605,make names,VB NNS,VB NNS,VB NNS,VBP NNS,VB NNS,VB NNS,VB NNS
1606,make values,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1607,get boolean value,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB NN NN
1608,set value,VB NN,VBN NN,VBN NN,VBN NN,VBN NN,VB NN,VB NN
1609,remove,VB,VB,VB,VB,VB,VB,VB
1610,add layout component,VB NN NN,VB CD NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
1611,remove layout component,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
1612,preferred layout size,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN JJ NN,JJ NN NN,VBN NN NN
1613,minimum layout size,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
1614,layout container,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
